ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A5WV54,A5WV54_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7DZF0,F7DZF0_ORNAN,ENSOANP00000000592,ORNAN,13.0,1,1,1,1,1,1,1,1,1,1,1,1,,1
A2E5C9,A2E5C9_TRIVA,nan,TRIVA,10.0,,,1,1,1,,1,1,1,1,1,1,,1
B0Y4G3,B0Y4G3_ASPFC,nan,ASPFC,7.0,,,,,1,1,1,1,1,1,1,,,
Q4P5G9,Q4P5G9_USTMA,nan,USTMA,6.0,,,,,1,1,1,1,,1,1,,,
Q6C9J1,Q6C9J1_YARLI,nan,YARLI,6.0,,,,,1,1,1,,1,1,1,,,
A7EN35,A7EN35_SCLS1,nan,SCLS1,6.0,,,,,1,1,,1,1,1,1,,,
Q5ALJ2,Q5ALJ2_CANAL,nan,CANAL,6.0,,,,,1,,,1,1,1,1,,1,
Q5A0L4,Q5A0L4_CANAL,nan,CANAL,6.0,,,,,,1,1,1,1,1,,,1,
A2DZF4,A2DZF4_TRIVA,nan,TRIVA,5.0,,1,,,,1,,1,,,1,,,1
Q5KJP7,Q5KJP7_CRYNJ,nan,CRYNJ,4.0,,1,,,,1,1,1,,,,,,
A7ELE8,A7ELE8_SCLS1,nan,SCLS1,3.0,,,,,,,1,,,1,1,,,
Q7S2L4,nan,nan,nan,3.0,,,,,,1,,,1,1,,,,
Q0UMU6,Q0UMU6_PHANO,nan,PHANO,2.0,,,,,,,,,1,1,,,,
A9T2K2,A9T2K2_PHYPA,nan,PHYPA,2.0,,,,,,1,1,,,,,,,
A7F463,A7F463_SCLS1,nan,SCLS1,2.0,,,,,,,,,,1,1,,,
Q9SW43,Q9SW43_ARATH,nan,ARATH,2.0,,,,,,,1,,,,,1,,
Q9SZP6,Q9SZP6_ARATH,nan,ARATH,2.0,,,,,,1,,,,,,1,,
B5YNG1,B5YNG1_THAPS,nan,THAPS,1.0,,,,,,,,,,,,1,,
Q55GW0,Q55GW0_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
A7RUT4,A7RUT4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q7QJ49,Q7QJ49_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q9SW42,Q9SW42_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q9VUX4,Q9VUX4_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
