ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A8WFZ4,A8WFZ4_DANRE,nan,DANRE,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
F6WET0,F6WET0_XENTR,ENSXETP00000045349,XENTR,12.0,1,1,,1,1,1,1,1,1,,1,1,1,1
F1PRD3,F1PRD3_CANFA,ENSCAFP00000010847,CANFA,10.0,1,,,,1,1,1,1,1,,1,1,1,1
F7EC84,F7EC84_MACMU,ENSMMUP00000035770,MACMU,8.0,,,,,1,1,,1,1,,1,1,1,1
H2Q296,H2Q296_PANTR,ENSPTRP00000004802,PANTR,6.0,,,,,1,,1,,1,,1,1,1,
D3ZVI0,D3ZVI0_RAT,nan,RAT,5.0,,,,,1,,,,1,,1,1,1,
Q1HCM0,FGFP3_MOUSE,nan,MOUSE,5.0,,,,,1,,,,1,,1,1,1,
Q8TAT2,FGFP3_HUMAN,nan,HUMAN,5.0,,,,,1,,,,1,,1,1,1,
F1MVC5,F1MVC5_BOVIN,ENSBTAP00000051346,BOVIN,4.0,,,,,1,,,,1,,1,1,,
O70514,FGFP1_MOUSE,nan,MOUSE,2.0,1,,,,,,1,,,,,,,
Q9QY10,FGFP1_RAT,nan,RAT,2.0,1,,,,,,1,,,,,,,
F7DVQ9,F7DVQ9_MONDO,ENSMODP00000035501,MONDO,1.0,,,,,,,,,,1,,,,
E2RLM9,E2RLM9_CANFA,ENSCAFP00000022519,CANFA,1.0,,,,,,,,,,1,,,,
F7HE07,F7HE07_MACMU,ENSMMUP00000010688,MACMU,1.0,,,,,,,,,,1,,,,
H2RAA8,H2RAA8_PANTR,ENSPTRP00000053680,PANTR,1.0,,,,,,,,,,1,,,,
H2SWM7,H2SWM7_TAKRU,ENSTRUP00000016815,TAKRU,1.0,,,,,,,,,,,,1,,
H2US16,H2US16_TAKRU,ENSTRUP00000039739,TAKRU,1.0,,,,,,,,,,1,,,,
Q9BYJ0,FGFP2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
nan,nan,ENSBTAP00000046743,BOVIN,1.0,,,,,,,,,,1,,,,
