ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
D6MUD5,D6MUD5_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2VE16,H2VE16_TAKRU,ENSTRUP00000047461,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7EWE9,F7EWE9_MONDO,ENSMODP00000016529,MONDO,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F1PHX8,F1PHX8_CANFA,ENSCAFP00000029402,CANFA,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
F6Z3X0,F6Z3X0_CIOIN,ENSCINP00000003025,CIOIN,10.0,,1,1,1,,,1,1,1,1,1,1,1,
P20908,CO5A1_HUMAN,nan,HUMAN,9.0,,,1,1,1,,1,,1,,1,1,1,1
F6ZCA5,F6ZCA5_ORNAN,ENSOANP00000006184,ORNAN,9.0,,,1,1,1,,1,,1,,1,1,1,1
O88207,CO5A1_MOUSE,nan,MOUSE,8.0,,,1,1,1,,1,,1,,1,1,1,
Q9JI03,CO5A1_RAT,nan,RAT,8.0,,,1,1,1,,1,,1,,1,1,1,
Q9IAU4,Q9IAU4_CHICK,nan,CHICK,8.0,1,1,1,1,1,,,,1,,1,,,1
nan,nan,ENSPTRP00000036846,PANTR,6.0,,,1,1,1,,,,,,1,1,1,
A9V8A7,A9V8A7_MONBE,nan,MONBE,2.0,,,,,,,,,,,1,,1,
A9V9M1,A9V9M1_MONBE,nan,MONBE,2.0,,,,,,,,,1,,1,,,
nan,nan,ENSGALP00000038244,CHICK,2.0,,,,,,,,,,,,1,1,
Q7PM40,Q7PM40_ANOGA,nan,ANOGA,2.0,,,,,,,,1,,,,,1,
C4PXT3,nan,nan,nan,2.0,,,,,,,,1,1,,,,,
F7C074,F7C074_XENTR,ENSXETP00000048340,XENTR,2.0,,,,,,,,,,,,1,1,
F7AU79,F7AU79_XENTR,ENSXETP00000027836,XENTR,2.0,,1,,,,,,,1,,,,,
Q7Z8R5,PALI_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
Q9ADP6,Q9ADP6_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
nan,nan,ENSPTRP00000001753,PANTR,1.0,,,,,,,,,1,,,,,
Q4P641,Q4P641_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
Q9SU69,Q9SU69_ARATH,nan,ARATH,1.0,,,,1,,,,,,,,,,
Q4P6J7,Q4P6J7_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
Q9NA83,Q9NA83_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
Q4QCD1,Q4QCD1_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
Q6CAD9,Q6CAD9_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
Q89I18,Q89I18_BRADU,nan,BRADU,1.0,,,,1,,,,,,,,,,
Q61245,COBA1_MOUSE,nan,MOUSE,1.0,,,,,,,,,1,,,,,
Q7S9Z4,Q7S9Z4_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,1,,,
Q86L43,Q86L43_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q6CD03,Q6CD03_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
Q6CD38,Q6CD38_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
P17140,CO4A2_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q7Q532,Q7Q532_ANOGA,nan,ANOGA,1.0,,,,1,,,,,,,,,,
Q7RW88,Q7RW88_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,1,,,
Q7S7S6,Q7S7S6_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,1,,,
Q6MX26,Q6MX26_MYCTU,nan,MYCTU,1.0,,,,,,,,,,,1,,,
A2EE33,A2EE33_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
P12107,COBA1_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
A7S288,A7S288_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A2ES22,A2ES22_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
A2FG38,A2FG38_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
A2G5D8,A2G5D8_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
A2G7S8,A2G7S8_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
A2GD56,A2GD56_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
