ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2RWQ6,H2RWQ6_TAKRU,ENSTRUP00000004576,TAKRU,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
E7FF15,E7FF15_DANRE,ENSDARP00000087316,DANRE,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
H2QN62,H2QN62_PANTR,ENSPTRP00000026322,PANTR,11.0,,1,1,,1,1,1,1,1,,1,1,1,1
F1MTP8,F1MTP8_BOVIN,ENSBTAP00000044349,BOVIN,11.0,,1,1,,1,1,1,1,1,,1,1,1,1
E2R023,E2R023_CANFA,ENSCAFP00000016423,CANFA,11.0,,1,1,,1,1,1,1,1,,1,1,1,1
Q3UGP9,LRC58_MOUSE,nan,MOUSE,11.0,,1,1,,1,1,1,1,1,,1,1,1,1
Q96CX6,LRC58_HUMAN,nan,HUMAN,11.0,,1,1,,1,1,1,1,1,,1,1,1,1
D3ZWP8,D3ZWP8_RAT,nan,RAT,11.0,,1,1,,1,1,1,1,1,,1,1,1,1
F7HJX5,F7HJX5_MACMU,ENSMMUP00000000096,MACMU,11.0,,1,1,,1,1,1,1,1,,1,1,1,1
F6PGI7,F6PGI7_MONDO,ENSMODP00000022720,MONDO,11.0,,1,1,,1,1,1,1,1,,1,1,1,1
A7SVP7,A7SVP7_NEMVE,nan,NEMVE,10.0,,,1,,1,1,1,1,1,,1,1,1,1
F7B001,F7B001_XENTR,ENSXETP00000039051,XENTR,9.0,,,,,1,1,1,1,1,,1,1,1,1
F1NM69,F1NM69_CHICK,ENSGALP00000024103,CHICK,9.0,,1,1,,,1,1,1,1,,,1,1,1
F7AVU7,F7AVU7_ORNAN,ENSOANP00000006337,ORNAN,8.0,,1,,,,1,1,1,1,,,1,1,1
Q9N4Z5,Q9N4Z5_CAEEL,nan,CAEEL,8.0,,,1,,,1,1,1,1,,,1,1,1
C3Y3G5,C3Y3G5_BRAFL,nan,BRAFL,8.0,,,,,,1,1,1,1,,1,1,1,1
Q7PHD0,nan,nan,nan,7.0,,,1,,,1,,1,1,,,1,1,1
Q9W2U2,Q9W2U2_DROME,nan,DROME,7.0,,,1,,,1,,1,1,,,1,1,1
B7PZ63,B7PZ63_IXOSC,nan,IXOSC,7.0,,,,,,1,1,1,1,,,1,1,1
A9V242,A9V242_MONBE,nan,MONBE,5.0,,,,,,1,,1,1,,,1,,1
C3XWQ2,C3XWQ2_BRAFL,nan,BRAFL,3.0,,,,,1,,,,,,1,1,,
A6V4W2,A6V4W2_PSEA7,nan,PSEA7,2.0,,,,,,,,,,,1,,1,
Q8TNI4,Q8TNI4_METAC,nan,METAC,2.0,,,,,,,,,,,1,,1,
Q9FMS0,Q9FMS0_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q8F3G3,Q8F3G3_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q8RWE5,PIRL8_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q8F857,Q8F857_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q8F7S1,Q8F7S1_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q8F3F6,Q8F3F6_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q8F3F9,Q8F3F9_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q8F3F8,Q8F3F8_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q8F2B3,Q8F2B3_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q8F213,Q8F213_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q8F212,Q8F212_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q8RWI2,Q8RWI2_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q8VYG9,PIRL9_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9VE49,Q9VE49_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q8W4Q3,PIRL3_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9T048,DRL27_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9FFJ3,PIRL1_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9FKE2,Q9FKE2_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9SZ66,Q9SZ66_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9M0P9,Q9M0P9_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9LRV8,PIRL2_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q8F118,Q8F118_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q9LRR5,DRL21_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9LFN1,Q9LFN1_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q9FN83,Q9FN83_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q8F119,Q8F119_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
A2E0B3,A2E0B3_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
Q8F116,Q8F116_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
O64566,PIRL6_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
A7EHF3,A7EHF3_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
A7ELD4,A7ELD4_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
A8BG63,A8BG63_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
A9THG8,A9THG8_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
A9TJT7,A9TJT7_PHYPA,nan,PHYPA,1.0,,,,,,,,,1,,,,,
A9TS86,A9TS86_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,1,,,
A9V5X2,A9V5X2_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A9V6I5,A9V6I5_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
B8C1S8,B8C1S8_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
C4PZC5,nan,nan,nan,1.0,,,,,,,,,,,,,1,
O48573,O48573_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
O49469,O49469_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
P0CB16,DRL25_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q8F115,Q8F115_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q0UJ81,Q0UJ81_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q4PB57,Q4PB57_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
Q4QD11,Q4QD11_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,1,,,
Q54HA8,Q54HA8_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54PM1,Q54PM1_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
A2FQF9,A2FQF9_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
Q5A5K1,Q5A5K1_CANAL,nan,CANAL,1.0,,,,,,,,,1,,,,,
Q5G5D8,PIRL7_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q5KDK1,Q5KDK1_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,1,,,
Q5KLU2,Q5KLU2_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,1,,,
Q7S718,Q7S718_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,1,,,
Q8CXT4,Q8CXT4_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,,1,,
Q54WS8,Q54WS8_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
