ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
E7FFF3,E7FFF3_DANRE,ENSDARP00000105158,DANRE,6.0,,,,,,1,1,1,,,,1,1,1
E1BQN2,E1BQN2_CHICK,nan,CHICK,4.0,,,,,,,1,,,,,1,1,1
H2SNT0,H2SNT0_TAKRU,ENSTRUP00000014067,TAKRU,4.0,,,,,,1,1,1,,,,,,1
F7AE47,F7AE47_ORNAN,ENSOANP00000017247,ORNAN,3.0,,,,,,,1,,,,,1,,1
Q6ZNL6,FGD5_HUMAN,nan,HUMAN,3.0,,,,,,,1,,,,,1,,1
F1MUW3,F1MUW3_BOVIN,ENSBTAP00000016893,BOVIN,3.0,,,,,,,1,,,,,,1,1
H2QM43,H2QM43_PANTR,ENSPTRP00000025282,PANTR,3.0,,,,,,,1,,,,,1,,1
F6RZS2,F6RZS2_MONDO,ENSMODP00000008846,MONDO,2.0,,,,,,,1,,,,,,,1
F7HES7,F7HES7_MACMU,ENSMMUP00000024270,MACMU,2.0,,,,,,,1,,,,,,,1
Q80UZ0,FGD5_MOUSE,nan,MOUSE,2.0,,,,,,,1,,,,,,,1
F1PLT6,F1PLT6_CANFA,ENSCAFP00000006751,CANFA,2.0,,,,,,,1,,,,,,,1
F1LTE6,F1LTE6_RAT,ENSRNOP00000040013,RAT,2.0,,,,,,,1,,,,,,,1
F7AAU5,F7AAU5_XENTR,ENSXETP00000010450,XENTR,1.0,,,,,,,,,,,,,,1
A7T5T9,A7T5T9_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
H2TTS4,H2TTS4_TAKRU,ENSTRUP00000028082,TAKRU,1.0,,,,,,,,1,,,,,,
E1C743,nan,nan,nan,1.0,,,,,,,,,,,,,,1
A7RKE8,A7RKE8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
