ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F1R744,F1R744_DANRE,ENSDARP00000104032,DANRE,2.0,,,,,,,,,,,,1,1,
G3V896,G3V896_RAT,ENSRNOP00000023618,RAT,2.0,,,,,,,,,,,,1,1,
Q9JIL2,CCL28_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q9NRJ3,CCL28_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
Q9Y4X3,CCL27_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
F1MZ86,F1MZ86_BOVIN,ENSBTAP00000019846,BOVIN,1.0,,,,,,,,,,,,1,,
H2QF78,H2QF78_PANTR,ENSPTRP00000017715,PANTR,1.0,,,,,,,,,,,,,1,
H2R0Y1,H2R0Y1_PANTR,ENSPTRP00000041448,PANTR,1.0,,,,,,,,,,,,1,,
H2UR28,H2UR28_TAKRU,ENSTRUP00000039401,TAKRU,1.0,,,,,,,,,,,,1,,
O15444,CCL25_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
O35903,CCL25_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
Q32PX4,Q32PX4_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
Q91Y39,Q91Y39_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
nan,nan,ENSBTAP00000050670,BOVIN,1.0,,,,,,,,,,,,,1,
