ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
O93301,O93301_DANRE,nan,DANRE,6.0,1,,1,1,,,,,1,1,,1,,
Q9YGR5,Q9YGR5_CHICK,nan,CHICK,3.0,1,,1,,,,,,1,,,,,
Q304D6,nan,nan,nan,2.0,,,,,,,,,,1,,1,,
A7RRZ9,A7RRZ9_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7SYG7,A7SYG7_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
C3XXE1,C3XXE1_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
F6R8A8,F6R8A8_CIOIN,ENSCINP00000006024,CIOIN,1.0,,,,,,,,,,1,,,,
F6RH28,F6RH28_CIOIN,ENSCINP00000023947,CIOIN,1.0,,,,,,,,,,,,1,,
F6URN5,F6URN5_CIOIN,ENSCINP00000011547,CIOIN,1.0,,,,,,,,,,1,,,,
F7ADT8,F7ADT8_CIOIN,ENSCINP00000019521,CIOIN,1.0,,,,,,,,,,1,,,,
F7AFJ0,F7AFJ0_CIOIN,ENSCINP00000014067,CIOIN,1.0,,,,,,,,,,1,,,,
Q7QL20,Q7QL20_ANOGA,nan,ANOGA,1.0,,,,1,,,,,,,,,,
nan,nan,ENSXETP00000035157,XENTR,1.0,,,,,,,,,,1,,,,
