ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
P51047,MR1AL_DANRE,nan,DANRE,6.0,,,1,1,,,,1,,1,,1,1,
C3YZ39,C3YZ39_BRAFL,nan,BRAFL,3.0,,,,,,,,1,,,,1,1,
H2UJ01,H2UJ01_TAKRU,ENSTRUP00000036922,TAKRU,3.0,,,,,,,,,,1,,1,1,
H2RZQ9,H2RZQ9_TAKRU,ENSTRUP00000005630,TAKRU,3.0,,,,,,,,,,1,,1,1,
C3ZZL5,C3ZZL5_BRAFL,nan,BRAFL,3.0,,,,,,,,1,,,,1,1,
C3Y4N0,C3Y4N0_BRAFL,nan,BRAFL,3.0,,,,,,,,1,,,,1,1,
Q9JLR8,Q9JLR8_RAT,nan,RAT,2.0,,,1,1,,,,,,,,,,
F6XUW8,F6XUW8_XENTR,ENSXETP00000054156,XENTR,2.0,,,,,,,,,,,,1,1,
F6QU28,F6QU28_XENTR,ENSXETP00000054527,XENTR,2.0,,,1,,,,,,,1,,,,
C3Y9H9,C3Y9H9_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
C3Z7V8,C3Z7V8_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,1,
C3ZHF1,C3ZHF1_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
Q9NDM2,GUTR1_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
Q7YXG8,Q7YXG8_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q62953,MTR1L_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
C3ZTG6,C3ZTG6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,1,
A7RFM1,A7RFM1_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7RKP0,A7RKP0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A8DV96,A8DV96_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7T2K5,A7T2K5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SSI2,A7SSI2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SB34,A7SB34_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7SAY6,A7SAY6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7S8N0,A7S8N0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7S5H8,A7S5H8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7S385,A7S385_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7RSP6,A7RSP6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7RQA4,A7RQA4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
Q9W534,MOODY_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
