ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
P61801,APTX_XENTR,ENSXETP00000052107,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7Z2E3,APTX_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6Z018,F6Z018_ORNAN,ENSOANP00000015665,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1PHH9,F1PHH9_CANFA,ENSCAFP00000002638,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QX46,H2QX46_PANTR,ENSPTRP00000035654,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B1AXX8,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7C3L1,F7C3L1_MACMU,ENSMMUP00000010163,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6ZPP5,F6ZPP5_MONDO,ENSMODP00000004116,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8K4H4,APTX_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5EA08,Q5EA08_BOVIN,ENSBTAP00000018534,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P61798,APTX_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P61799,APTX_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P61800,APTX_TAKRU,ENSTRUP00000024613,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5KJZ8,Q5KJZ8_CRYNJ,nan,CRYNJ,11.0,1,1,,,1,1,1,1,1,1,1,,1,1
Q7S845,Q7S845_NEUCR,nan,NEUCR,11.0,1,,,1,1,1,1,1,1,1,1,1,1,
C3ZFB4,C3ZFB4_BRAFL,nan,BRAFL,11.0,1,1,,,1,1,1,1,,1,1,1,1,1
Q4PB44,Q4PB44_USTMA,nan,USTMA,11.0,1,,,,1,1,1,1,1,1,1,1,1,1
B0XUX9,B0XUX9_ASPFC,nan,ASPFC,11.0,1,,,1,1,1,1,1,1,1,1,1,1,
Q6C515,Q6C515_YARLI,nan,YARLI,10.0,,,,,1,1,1,1,1,1,1,1,1,1
F6TMD1,F6TMD1_CIOIN,ENSCINP00000017819,CIOIN,10.0,,,1,1,1,1,1,1,,,1,1,1,1
