ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q1LWP7,Q1LWP7_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7TSC1,PRC2A_MOUSE,nan,MOUSE,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
Q6MG48,PRC2A_RAT,nan,RAT,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
E1BAF6,E1BAF6_BOVIN,ENSBTAP00000026236,BOVIN,13.0,1,1,1,1,1,1,,1,1,1,1,1,1,1
F7AHS1,F7AHS1_MONDO,ENSMODP00000019641,MONDO,12.0,1,1,1,1,1,1,,1,1,1,1,1,,1
E2RQE3,E2RQE3_CANFA,ENSCAFP00000000801,CANFA,12.0,1,1,1,1,1,1,,1,1,1,1,1,,1
H2QSN1,H2QSN1_PANTR,ENSPTRP00000030668,PANTR,12.0,1,1,1,1,1,1,,1,1,1,1,1,,1
F7GK35,F7GK35_MACMU,ENSMMUP00000007009,MACMU,12.0,1,1,1,1,1,1,,1,1,1,1,1,,1
H2RPP5,H2RPP5_TAKRU,ENSTRUP00000002108,TAKRU,11.0,1,1,,1,,1,1,1,1,1,,1,1,1
F6WJL9,F6WJL9_XENTR,ENSXETP00000005326,XENTR,11.0,1,1,,1,1,1,,1,1,,1,1,1,1
P48634,PRC2A_HUMAN,nan,HUMAN,7.0,,,1,1,,,,1,1,1,,1,,1
C9JXZ3,nan,nan,nan,6.0,,,,,1,,,1,1,1,1,,,1
C4QJ45,nan,nan,nan,5.0,1,1,,,1,1,,,,,1,,,
C9JAS0,nan,nan,nan,5.0,,,,,,,,1,1,1,1,,,1
Q9GZI0,Q9GZI0_CAEEL,nan,CAEEL,4.0,,,,,1,1,,,,1,1,,,
A7RWE2,A7RWE2_NEMVE,nan,NEMVE,4.0,,,,,,1,1,1,,1,,,,
C9JTL3,nan,nan,nan,4.0,,,,,,,,1,1,1,,,,1
C9JI93,nan,nan,nan,4.0,,,,,,,,1,1,1,,,,1
C9JI26,nan,nan,nan,4.0,,,,,,,,1,1,1,,,,1
nan,nan,ENSP00000392291,HUMAN,3.0,,,,,,,,1,,1,,,,1
nan,nan,ENSCINP00000006620,CIOIN,3.0,,,,,,1,,1,,,,1,,
C3ZCJ9,C3ZCJ9_BRAFL,nan,BRAFL,3.0,,,,,,1,,1,,1,,,,
B7P1V6,B7P1V6_IXOSC,nan,IXOSC,2.0,,,,,,,,,1,1,,,,
Q9W2U7,Q9W2U7_DROME,nan,DROME,2.0,1,1,,,,,,,,,,,,
Q9SB63,MOS1_ARATH,nan,ARATH,2.0,,,,,,1,1,,,,,,,
B7P1V5,B7P1V5_IXOSC,nan,IXOSC,2.0,,,,,,1,,1,,,,,,
E1BQ98,E1BQ98_CHICK,nan,CHICK,2.0,,,,,,1,,1,,,,,,
F6V0G0,F6V0G0_CANFA,ENSCAFP00000029490,CANFA,1.0,,,,,,,,1,,,,,,
Q8IKG1,Q8IKG1_PLAF7,nan,PLAF7,1.0,,,,1,,,,,,,,,,
Q6C4S5,Q6C4S5_YARLI,nan,YARLI,1.0,,,,1,,,,,,,,,,
Q7PWG9,Q7PWG9_ANOGA,nan,ANOGA,1.0,,,,1,,,,,,,,,,
Q5F461,Q5F461_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
Q54RR9,Y9844_DICDI,nan,DICDI,1.0,,,,1,,,,,,,,,,
C3ZTG1,C3ZTG1_BRAFL,nan,BRAFL,1.0,,,,1,,,,,,,,,,
E1BGB2,E1BGB2_BOVIN,ENSBTAP00000010939,BOVIN,1.0,,,,,,,,1,,,,,,
A9SAC9,A9SAC9_PHYPA,nan,PHYPA,1.0,,,,1,,,,,,,,,,
nan,nan,ENSXETP00000022937,XENTR,1.0,,,,,,,,,,1,,,,
