ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q25C93,FEZF1_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2UYC4,H2UYC4_TAKRU,ENSTRUP00000041953,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A0PJY2,FEZF1_HUMAN,nan,HUMAN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
D3ZPD6,D3ZPD6_RAT,nan,RAT,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q0VDQ9,FEZF1_MOUSE,nan,MOUSE,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
H2QVA5,H2QVA5_PANTR,ENSPTRP00000033619,PANTR,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F6S3M2,F6S3M2_MONDO,ENSMODP00000019294,MONDO,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F1NV55,F1NV55_CHICK,ENSGALP00000014521,CHICK,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
E1B8C8,E1B8C8_BOVIN,ENSBTAP00000006726,BOVIN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q0P4W9,FEZF1_XENTR,ENSXETP00000049215,XENTR,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
F7FAW2,F7FAW2_MACMU,ENSMMUP00000028368,MACMU,9.0,,,1,1,1,,1,,1,,1,1,1,1
Q7PVG1,Q7PVG1_ANOGA,nan,ANOGA,8.0,,1,,,1,1,1,1,,,1,1,,1
B7P214,B7P214_IXOSC,nan,IXOSC,7.0,,,,,1,,1,1,,,1,1,1,1
Q9VQ56,Q9VQ56_DROME,nan,DROME,6.0,,1,,,1,,,1,,,1,1,,1
A7SS19,A7SS19_NEMVE,nan,NEMVE,5.0,,,,,,,1,1,,1,,1,,1
O62425,O62425_CAEEL,nan,CAEEL,4.0,,,,,,,,1,,1,,1,,1
C3ZA84,C3ZA84_BRAFL,nan,BRAFL,3.0,,,,,,,,1,,1,,,,1
C4Q895,nan,nan,nan,3.0,,,,,,,,1,,,,1,,1
nan,nan,ENSCINP00000015745,CIOIN,3.0,,,,,,,,1,,,,1,,1
