ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6UJG9,F6UJG9_MONDO,ENSMODP00000019041,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6PI05,F6PI05_XENTR,ENSXETP00000047668,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1NZ28,F1NZ28_CHICK,ENSGALP00000018747,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1MX70,F1MX70_BOVIN,ENSBTAP00000011710,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
D3ZMB6,nan,nan,nan,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6SHV4,F6SHV4_MACMU,ENSMMUP00000001380,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6TKR1,F6TKR1_ORNAN,ENSOANP00000015980,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3XUD9,C3XUD9_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QME1,H2QME1_PANTR,ENSPTRP00000025530,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2UAK7,H2UAK7_TAKRU,ENSTRUP00000033974,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q4V8U5,ANO10_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8BH79,ANO10_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9NW15,ANO10_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1PP70,F1PP70_CANFA,ENSCAFP00000006680,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6XJF3,F6XJF3_CIOIN,ENSCINP00000007396,CIOIN,12.0,1,1,1,1,1,1,1,1,1,,1,1,,1
A7STD6,A7STD6_NEMVE,nan,NEMVE,12.0,1,1,1,1,1,1,,1,1,1,1,1,,1
Q7Q1I4,Q7Q1I4_ANOGA,nan,ANOGA,10.0,,1,1,,1,1,1,1,,,1,1,1,1
Q59PV1,Q59PV1_CANAL,nan,CANAL,9.0,,,,,1,1,1,1,1,,1,1,1,1
Q7S8J4,Q7S8J4_NEUCR,nan,NEUCR,9.0,,,,,1,1,1,1,1,,1,1,1,1
A0MFS9,CACLC_ARATH,nan,ARATH,9.0,,,,1,1,1,1,1,1,,1,1,1,
B0YES0,B0YES0_ASPFC,nan,ASPFC,9.0,,,,,1,1,1,1,1,,1,1,1,1
Q6CB66,Q6CB66_YARLI,nan,YARLI,8.0,,,,,1,1,1,1,,,1,1,1,1
Q4P618,Q4P618_USTMA,nan,USTMA,8.0,,,,,1,1,,1,1,,1,1,1,1
Q0V1N7,Q0V1N7_PHANO,nan,PHANO,8.0,,,,,1,1,,1,1,,1,1,1,1
Q5KNZ5,Q5KNZ5_CRYNJ,nan,CRYNJ,8.0,,,,,1,1,1,1,1,,1,1,,1
A7F670,A7F670_SCLS1,nan,SCLS1,8.0,,,,,1,1,,1,1,,1,1,1,1
O97132,O97132_DROME,nan,DROME,7.0,,1,,1,1,,,,,,1,1,1,1
A9RCS9,A9RCS9_PHYPA,nan,PHYPA,7.0,,,1,,1,1,,1,1,,1,,,1
P38250,IST2_YEAST,nan,YEAST,7.0,,,,,1,1,,,1,,1,1,1,1
O13621,YNG5_SCHPO,nan,SCHPO,6.0,,,,,1,,,,1,,1,1,1,1
B8C6T3,B8C6T3_THAPS,nan,THAPS,6.0,,,,,1,1,,1,1,,1,,,1
B0YEM7,B0YEM7_ASPFC,nan,ASPFC,6.0,,,,,,,,1,1,,1,1,1,1
Q4QG80,Q4QG80_LEIMA,nan,LEIMA,4.0,,,,,1,,,,1,,1,1,,
A7T7Z0,A7T7Z0_NEMVE,nan,NEMVE,4.0,,,,,,,1,,,1,,1,,1
Q55GA1,Q55GA1_DICDI,nan,DICDI,4.0,,,,,1,,,,1,1,1,,,
B7PC83,B7PC83_IXOSC,nan,IXOSC,3.0,,,,,,,,,,,,1,1,1
A7SYT2,A7SYT2_NEMVE,nan,NEMVE,2.0,,,,,,,,,,1,,1,,
C4QHH8,nan,nan,nan,2.0,,,,1,,,,,,,,,,1
B8BRZ9,B8BRZ9_THAPS,nan,THAPS,2.0,,,,,,,1,,,,1,,,
Q7PMB1,Q7PMB1_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
A9VEL0,A9VEL0_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
Q54BH1,Q54BH1_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
C4Q6W1,nan,nan,nan,1.0,,,,,,,,,,,,,,1
Q9V416,Q9V416_DROME,nan,DROME,1.0,,,,,,,,,,1,,,,
