ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q58EJ6,Q58EJ6_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2SAP9,H2SAP9_TAKRU,ENSTRUP00000009476,TAKRU,13.0,1,1,1,1,1,1,1,1,1,1,1,1,,1
H2QFR0,H2QFR0_PANTR,ENSPTRP00000018208,PANTR,7.0,,,1,,,,1,,1,1,1,1,1,
F6PPF4,F6PPF4_MACMU,ENSMMUP00000003237,MACMU,7.0,,,1,,,,1,,1,1,1,1,1,
Q9BX97,PLVAP_HUMAN,nan,HUMAN,7.0,,,1,,,,1,,1,1,1,1,1,
E2RJM9,E2RJM9_CANFA,ENSCAFP00000022597,CANFA,6.0,,,1,,,,,,1,1,1,1,1,
F1MHE4,F1MHE4_BOVIN,ENSBTAP00000050022,BOVIN,6.0,,,1,,,,,,1,1,1,1,1,
F6PRM1,F6PRM1_ORNAN,ENSOANP00000011749,ORNAN,6.0,,,1,,,,,,1,1,1,1,1,
Q9WV78,PLVAP_RAT,nan,RAT,6.0,,,1,,,,,,1,1,1,1,1,
Q91VC4,PLVAP_MOUSE,nan,MOUSE,6.0,,,1,,,,,,1,1,1,1,1,
H2T982,H2T982_TAKRU,ENSTRUP00000021222,TAKRU,3.0,,,,,,,,,1,1,,1,,
A9V034,A9V034_MONBE,nan,MONBE,2.0,,,,,,,,,,,,1,1,
Q9VF37,Q9VF37_DROME,nan,DROME,1.0,,,,,,,,,,,,,1,
A8BQF9,A8BQF9_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,,,1,
P32380,SP110_YEAST,nan,YEAST,1.0,,,,,,,,,,,,,1,
A9UR64,A9UR64_MONBE,nan,MONBE,1.0,,,,,,,,,,,,1,,
F7DA68,F7DA68_MONDO,ENSMODP00000023555,MONDO,1.0,,,,,,,,,,,,1,,
F6ZBH1,F6ZBH1_XENTR,ENSXETP00000019292,XENTR,1.0,,,,,,,,,,,,1,,
nan,nan,ENSGALP00000002662,CHICK,1.0,,,,,,,,,,,,1,,
