ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q60H66,Q60H66_DANRE,nan,DANRE,8.0,,,1,,,1,1,1,1,1,,,1,1
H2RUY0,H2RUY0_TAKRU,ENSTRUP00000003948,TAKRU,4.0,,,,,,1,,1,,1,,,1,
Q767I7,Q767I7_RAT,nan,RAT,3.0,,,,,,,,1,,,,,1,1
H2RV08,H2RV08_TAKRU,ENSTRUP00000003976,TAKRU,3.0,,,1,,,,1,,,,,,1,
Q767H9,Q767H9_RAT,nan,RAT,3.0,,,,,,,,1,,,,,1,1
Q767I3,Q767I3_RAT,nan,RAT,3.0,,,,,,,,1,,,,,1,1
Q767I5,Q767I5_RAT,nan,RAT,3.0,,,,,,,,1,,,,,1,1
Q767J0,Q767J0_RAT,nan,RAT,3.0,,,,,,,,1,,,,,1,1
Q767J1,Q767J1_RAT,nan,RAT,3.0,,,,,,,,1,,,,,1,1
Q9Y5I0,PCDAD_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,,1,1
nan,nan,ENSCAFP00000009004,CANFA,2.0,,,,,,,,,,,,,1,1
Q9Y5H9,PCDA2_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,,1,1
Q9Y5I1,PCDAB_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,,1,1
Q9Y5H8,PCDA3_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,,1,1
Q9Y5I2,PCDAA_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,,1,1
Q9Y5I3,PCDA1_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,,1,1
Q9Y5H7,PCDA5_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,,1,1
Q9UN72,PCDA7_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,,1,1
nan,nan,ENSCAFP00000009021,CANFA,2.0,,,,,,,,,,,,,1,1
Q9UN75,PCDAC_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,,1,1
nan,nan,ENSCAFP00000009029,CANFA,2.0,,,,,,,,,,,,,1,1
nan,nan,ENSPTRP00000055776,PANTR,2.0,,,,,,,,,,,,,1,1
nan,nan,ENSPTRP00000055514,PANTR,2.0,,,,,,,,,,,,,1,1
nan,nan,ENSPTRP00000047966,PANTR,2.0,,,,,,,,,,,,,1,1
nan,nan,ENSPTRP00000042347,PANTR,2.0,,,,,,,,,,,,,1,1
