ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q90XE6,Q90XE6_DANRE,nan,DANRE,13.0,1,1,1,1,,1,1,1,1,1,1,1,1,1
H2TH95,H2TH95_TAKRU,ENSTRUP00000024045,TAKRU,11.0,1,1,1,1,,1,1,1,1,,1,1,1,
A7S016,A7S016_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,1,,1,
B7P1E1,B7P1E1_IXOSC,nan,IXOSC,2.0,,,,,,,,,,,,1,1,
F6V2L6,F6V2L6_MONDO,ENSMODP00000014365,MONDO,2.0,,,,,,,,,,,1,1,,
Q4H2J7,Q4H2J7_CIOIN,ENSCINP00000003105,CIOIN,2.0,,,,,,,,,,,1,,1,
F1PSS3,F1PSS3_CANFA,ENSCAFP00000025201,CANFA,2.0,,,,,,,,,,,1,1,,
Q0P5B6,Q0P5B6_BOVIN,ENSBTAP00000043340,BOVIN,2.0,,,,,,,,,,,1,1,,
A9UZE9,A9UZE9_MONBE,nan,MONBE,2.0,,,,,,,,,,1,1,,,
Q5KIX2,Q5KIX2_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,1,,,,,
Q5KCH0,nan,nan,nan,1.0,,,,,,,,,,,1,,,
Q5KCF9,Q5KCF9_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,1,,,
Q4PCX5,Q4PCX5_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
Q5JT82,KLF17_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q5A4D7,Q5A4D7_CANAL,nan,CANAL,1.0,,,,,,,,,,,1,,,
Q59WD1,Q59WD1_CANAL,nan,CANAL,1.0,,,,,,,,,,,1,,,
Q59U34,nan,nan,nan,1.0,,,,,,,,,,,1,,,
Q59U10,BCR1_CANAL,nan,CANAL,1.0,,,,,,,,,,,1,,,
Q4PDZ6,Q4PDZ6_USTMA,nan,USTMA,1.0,,,,,,,,,1,,,,,
Q5KJY7,Q5KJY7_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,1,,,
A4IFB2,A4IFB2_BOVIN,ENSBTAP00000002751,BOVIN,1.0,,,,,,,,,,1,,,,
Q4P262,Q4P262_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
Q6CC08,Q6CC08_YARLI,nan,YARLI,1.0,,,,,,,,,1,,,,,
Q2MGN0,Q2MGN0_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q24266,BTD_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q13887,KLF5_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q13886,KLF9_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q13351,KLF1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q12139,YP022_YEAST,nan,YEAST,1.0,,,,,,,,,,,1,,,
Q12132,USV1_YEAST,nan,YEAST,1.0,,,,,,,,,,,1,,,
Q0UVH9,Q0UVH9_PHANO,nan,PHANO,1.0,,,,,,,,,1,,,,,
Q0U925,Q0U925_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q0U6N6,Q0U6N6_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q01713,KLF9_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
Q65ZG6,Q65ZG6_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q7PG84,Q7PG84_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q6H8R9,PACC_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
P78978,PACC_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
nan,nan,ENSMODP00000036483,MONDO,1.0,,,,,,,,,,1,,,,
nan,nan,ENSMODP00000006905,MONDO,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCAFP00000007494,CANFA,1.0,,,,,,,,,,1,,,,
nan,nan,ENSBTAP00000042214,BOVIN,1.0,,,,,,,,,,,1,,,
Q9Z0Z7,KLF5_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q9XW26,Q9XW26_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
Q9VJL7,Q9VJL7_DROME,nan,DROME,1.0,,,,,,,,,,,,,1,
Q9UW14,PACC_CANAL,nan,CANAL,1.0,,,,,,,,,,,1,,,
Q9UTA1,YL8J_SCHPO,nan,SCHPO,1.0,,,,,,,,,1,,,,,
Q9P6Z0,Q9P6Z0_NEUCS,nan,NEUCR,1.0,,,,,,,,,,,1,,,
Q9N5X6,Q9N5X6_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q9ESF3,Q9ESF3_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
Q9BXK1,KLF16_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q93727,Q93727_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
Q8TD94,KLF14_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q8TB69,ZN519_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q8CFA7,KLF17_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q7SDG5,Q7SDG5_NEUCR,nan,NEUCR,1.0,,,,,,,,,1,,,,,
Q7S912,Q7S912_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,1,,,
Q7S8U3,nan,nan,nan,1.0,,,,,,,,,,,1,,,
Q7RXC0,Q7RXC0_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,1,,,
Q7QFN6,Q7QFN6_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q7QEF9,Q7QEF9_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7QCG1,Q7QCG1_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
Q7Q1A1,Q7Q1A1_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,1,,,
Q7PWN9,Q7PWN9_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
Q7PJP7,Q7PJP7_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,,1,
Q00453,RGM1_YEAST,nan,YEAST,1.0,,,,,,,,,,,1,,,
P33400,PACC_YEAST,nan,YEAST,1.0,,,,,,,,,,,1,,,
P58334,KLF16_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
P53035,MIG2_YEAST,nan,YEAST,1.0,,,,,,,,,,,,,,1
E1B7V1,E1B7V1_BOVIN,ENSBTAP00000021593,BOVIN,1.0,,,,,,,,,,,1,,,
D4ADL6,D4ADL6_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
D4ADI3,D4ADI3_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
D3ZVG6,D3ZVG6_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
D3ZUE7,D3ZUE7_RAT,nan,RAT,1.0,,,,,,,,,,,,1,,
C4QFC8,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4Q876,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4Q1Z9,nan,nan,nan,1.0,,,,,,,,1,,,,,,
C3YQM4,C3YQM4_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3Y175,C3Y175_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
C3XWK2,C3XWK2_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,1,,,
B7QGZ3,B7QGZ3_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,1,,,
B7P607,B7P607_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B2GUY9,B2GUY9_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
B0YB47,B0YB47_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
B0XY20,B0XY20_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
B0XX88,B0XX88_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
B0XTN9,B0XTN9_ASPFC,nan,ASPFC,1.0,,,,,,,,,1,,,,,
B0XS89,B0XS89_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
B0BNN2,B0BNN2_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
A9ULE3,A9ULE3_XENTR,ENSXETP00000041305,XENTR,1.0,,,,,,,,,,,1,,,
A8JUN6,A8JUN6_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
A7T150,A7T150_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7S4C2,A7S4C2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
A7F0T0,A7F0T0_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
A7EWN2,A7EWN2_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
A7EPV6,A7EPV6_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
E1BCW6,E1BCW6_BOVIN,ENSBTAP00000051551,BOVIN,1.0,,,,,,,,,,,1,,,
E2RCB6,E2RCB6_CANFA,ENSCAFP00000033964,CANFA,1.0,,,,,,,,,,,1,,,
F1ME27,F1ME27_BOVIN,ENSBTAP00000036194,BOVIN,1.0,,,,,,,,,,,1,,,
F7GX31,F7GX31_MACMU,ENSMMUP00000003409,MACMU,1.0,,,,,,,,,,1,,,,
P46099,KLF1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
A7ECD5,A7ECD5_SCLS1,nan,SCLS1,1.0,,,,,,,,,1,,,,,
O35739,KLF9_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
O14258,ACE2_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,,,1,
H2TML2,H2TML2_TAKRU,ENSTRUP00000025918,TAKRU,1.0,,,,,,,,,,,1,,,
H2S957,H2S957_TAKRU,ENSTRUP00000008933,TAKRU,1.0,,,,,,,,,,,1,,,
H2RST2,H2RST2_TAKRU,ENSTRUP00000003199,TAKRU,1.0,,,,,,,,,,,1,,,
H2QYJ0,H2QYJ0_PANTR,ENSPTRP00000037504,PANTR,1.0,,,,,,,,,,,,1,,
H2QFH4,H2QFH4_PANTR,ENSPTRP00000018005,PANTR,1.0,,,,,,,,,,,1,,,
H2QEB0,H2QEB0_PANTR,ENSPTRP00000016832,PANTR,1.0,,,,,,,,,,,,1,,
H2Q7N0,H2Q7N0_PANTR,ENSPTRP00000010076,PANTR,1.0,,,,,,,,,,1,,,,
H2PYV8,H2PYV8_PANTR,ENSPTRP00000001136,PANTR,1.0,,,,,,,,,,,1,,,
F7FZ78,F7FZ78_ORNAN,ENSOANP00000007969,ORNAN,1.0,,,,,,,,,,,1,,,
F1MUX8,F1MUX8_BOVIN,ENSBTAP00000016862,BOVIN,1.0,,,,,,,,,,,,1,,
F7FAS0,F7FAS0_MACMU,ENSMMUP00000016398,MACMU,1.0,,,,,,,,,,,1,,,
F7EH15,F7EH15_XENTR,ENSXETP00000025282,XENTR,1.0,,,,,,,,,,1,,,,
F7CZG5,F7CZG5_ORNAN,ENSOANP00000014818,ORNAN,1.0,,,,,,,,,,1,,,,
F6YH50,F6YH50_MONDO,ENSMODP00000003360,MONDO,1.0,,,,,,,,,,,1,,,
F6XHI0,F6XHI0_MACMU,ENSMMUP00000000317,MACMU,1.0,,,,,,,,,,,1,,,
F6WXX2,F6WXX2_MACMU,ENSMMUP00000014716,MACMU,1.0,,,,,,,,,,,1,,,
F6UKN0,F6UKN0_MACMU,ENSMMUP00000007867,MACMU,1.0,,,,,,,,,,,1,,,
F6UIH2,F6UIH2_CIOIN,ENSCINP00000022836,CIOIN,1.0,,,,,,,,,,,,1,,
F6U8D0,F6U8D0_ORNAN,ENSOANP00000016517,ORNAN,1.0,,,,,,,,,,,,1,,
F6SHE8,F6SHE8_ORNAN,ENSOANP00000016559,ORNAN,1.0,,,,,,,,,,,1,,,
F1PC73,F1PC73_CANFA,ENSCAFP00000007193,CANFA,1.0,,,,,,,,,,,1,,,
F1NY43,F1NY43_CHICK,ENSGALP00000027313,CHICK,1.0,,,,,,,,,,1,,,,
nan,nan,ENSPTRP00000035914,PANTR,1.0,,,,,,,,,,,1,,,
