ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7S2A8,Q7S2A8_NEUCR,nan,NEUCR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q0UJF4,Q0UJF4_PHANO,nan,PHANO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6CCJ7,Q6CCJ7_YARLI,nan,YARLI,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5KDE2,Q5KDE2_CRYNJ,nan,CRYNJ,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B0YEB7,B0YEB7_ASPFC,nan,ASPFC,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q54VB8,Q54VB8_DICDI,nan,DICDI,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q4PCQ8,Q4PCQ8_USTMA,nan,USTMA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7E5U7,A7E5U7_SCLS1,nan,SCLS1,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A9RJ32,A9RJ32_PHYPA,nan,PHYPA,13.0,1,1,1,1,1,1,1,1,1,1,1,,1,1
Q9LDF5,Q9LDF5_ARATH,nan,ARATH,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
B0R3X8,B0R3X8_HALS3,nan,HALS3,12.0,1,1,1,1,1,,1,1,,1,1,1,1,1
Q9RVG1,HBD_DEIRA,nan,DEIRA,10.0,1,1,,1,,,1,1,,1,1,1,1,1
Q8RES5,Q8RES5_FUSNN,nan,FUSNN,10.0,1,1,,1,,,1,1,,1,1,1,1,1
P45856,HBD_BACSU,nan,BACSU,10.0,1,1,,1,,,1,1,,1,1,1,1,1
Q45223,HBD_BRADU,nan,BRADU,8.0,,1,1,,,,1,1,,,1,1,1,1
O53753,nan,nan,nan,8.0,1,1,,1,,,1,1,,1,1,1,,
Q61425,HCDH_MOUSE,nan,MOUSE,7.0,1,1,,,,1,1,1,,,,1,1,
Q6DI22,Q6DI22_DANRE,nan,DANRE,7.0,1,1,,,,1,1,1,,,,1,1,
Q16836,HCDH_HUMAN,nan,HUMAN,7.0,1,1,,,,1,1,1,,,,1,1,
E1BZH9,E1BZH9_CHICK,nan,CHICK,7.0,1,1,,,,1,1,1,,,,1,1,
Q9WVK7,HCDH_RAT,nan,RAT,7.0,1,1,,,,1,1,1,,,,1,1,
B8LDA6,B8LDA6_THAPS,nan,THAPS,7.0,1,1,,,,1,1,1,1,1,,,,
Q4Q1W2,Q4Q1W2_LEIMA,nan,LEIMA,6.0,1,1,,,,1,1,1,1,,,,,
Q8EYS5,Q8EYS5_LEPIN,nan,LEPIN,6.0,1,,,1,,,1,1,,1,1,,,
H2T9P9,H2T9P9_TAKRU,ENSTRUP00000021389,TAKRU,5.0,1,1,,,,1,1,1,,,,,,
H2QQ04,H2QQ04_PANTR,ENSPTRP00000028089,PANTR,5.0,1,1,,,,1,1,1,,,,,,
P76083,PAAH_ECOLI,nan,ECOLI,5.0,1,1,,,,,1,1,,,,1,,
A7RQC1,A7RQC1_NEMVE,nan,NEMVE,5.0,1,1,,,,1,1,1,,,,,,
Q5XGI2,Q5XGI2_XENTR,ENSXETP00000045623,XENTR,5.0,1,1,,,,1,1,1,,,,,,
F1N338,F1N338_BOVIN,ENSBTAP00000002654,BOVIN,5.0,1,1,,,,1,1,1,,,,,,
P41938,HCDH2_CAEEL,nan,CAEEL,5.0,,1,,,,1,1,1,,,,,1,
C3Z5Q5,C3Z5Q5_BRAFL,nan,BRAFL,5.0,1,1,,,,1,1,1,,,,,,
F7DIY3,F7DIY3_MACMU,ENSMMUP00000030606,MACMU,5.0,1,1,,,,1,1,1,,,,,,
F7CNR4,F7CNR4_ORNAN,ENSOANP00000012342,ORNAN,5.0,1,1,,,,1,1,1,,,,,,
F6ZBI7,F6ZBI7_MONDO,ENSMODP00000025773,MONDO,5.0,1,1,,,,1,1,1,,,,,,
F6XHT8,F6XHT8_CANFA,ENSCAFP00000016506,CANFA,5.0,1,1,,,,1,1,1,,,,,,
F6U6L5,F6U6L5_CIOIN,ENSCINP00000007745,CIOIN,5.0,1,1,,,,1,1,1,,,,,,
Q89GX2,Q89GX2_BRADU,nan,BRADU,4.0,,,,,,,,1,,1,1,1,,
B7QIS3,B7QIS3_IXOSC,nan,IXOSC,4.0,1,,,,,1,1,1,,,,,,
O88051,O88051_STRCO,nan,STRCO,4.0,,1,,,,,1,,,1,1,,,
Q97UK9,Q97UK9_SULSO,nan,SULSO,4.0,,1,,,,,1,1,,1,,,,
Q7UXV2,Q7UXV2_RHOBA,nan,RHOBA,4.0,,,,,,,1,1,,1,1,,,
Q7Q3A1,Q7Q3A1_ANOGA,nan,ANOGA,3.0,,,,,,1,1,1,,,,,,
Q9V397,Q9V397_DROME,nan,DROME,3.0,,,,,,1,1,1,,,,,,
A2EHA5,A2EHA5_TRIVA,nan,TRIVA,3.0,,,,,,1,1,1,,,,,,
B1L7P7,B1L7P7_KORCO,nan,KORCO,3.0,,,,,,,1,1,,1,,,,
O44608,O44608_CAEEL,nan,CAEEL,3.0,,,,1,,,,1,,,,,1,
A9WIC0,A9WIC0_CHLAA,nan,CHLAA,3.0,,,,,,,1,1,,1,,,,
A9UVM1,A9UVM1_MONBE,nan,MONBE,3.0,,,,,1,,,,,1,1,,,
Q9ZBJ9,Q9ZBJ9_STRCO,nan,STRCO,2.0,,,,,,,,1,,,1,,,
P34439,HCDH1_CAEEL,nan,CAEEL,2.0,,,,,,,,1,,,,,1,
P21177,FADB_ECOLI,nan,ECOLI,2.0,,,,,,,,,,1,1,,,
A6V382,FADB_PSEA7,nan,PSEA7,2.0,,,,,,,,,,1,1,,,
A6V7G4,A6V7G4_PSEA7,nan,PSEA7,2.0,,,,,,,1,1,,,,,,
Q9K4C6,Q9K4C6_STRCO,nan,STRCO,2.0,,,1,,,,,,,,1,,,
Q97VU5,Q97VU5_SULSO,nan,SULSO,1.0,,,,,,,,1,,,,,,
Q93J60,Q93J60_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q97UX0,Q97UX0_SULSO,nan,SULSO,1.0,,,,,,,,1,,,,,,
A9UPC3,A9UPC3_MONBE,nan,MONBE,1.0,1,,,,,,,,,,,,,
Q9DBM2,ECHP_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q89SH2,Q89SH2_BRADU,nan,BRADU,1.0,,,,,,,,,,,1,,,
Q9RZ10,Q9RZ10_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,1,,,
Q9VXI1,Q9VXI1_DROME,nan,DROME,1.0,,1,,,,,,,,,,,,
B7PL78,B7PL78_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
Q08426,ECHP_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q89HA7,Q89HA7_BRADU,nan,BRADU,1.0,,,,,,,,,,,1,,,
A6V1K1,A6V1K1_PSEA7,nan,PSEA7,1.0,,,,,,,,1,,,,,,
E2RNS3,E2RNS3_CANFA,ENSCAFP00000019481,CANFA,1.0,,,,,,,,,,1,,,,
F6WFJ4,F6WFJ4_ORNAN,ENSOANP00000022455,ORNAN,1.0,,,,,,,,,,1,,,,
Q7QJA0,nan,nan,nan,1.0,1,,,,,,,,,,,,,
F7CYY8,F7CYY8_MONDO,ENSMODP00000003242,MONDO,1.0,,,,,,,,,,1,,,,
Q7D836,Q7D836_MYCTO,nan,MYCTU,1.0,,,,,,,,,,,1,,,
Q6NYL3,ECHP_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
F7GFA8,F7GFA8_MACMU,ENSMMUP00000007317,MACMU,1.0,,,,,,,,,,1,,,,
H2QNW2,H2QNW2_PANTR,ENSPTRP00000027013,PANTR,1.0,,,,,,,,,,1,,,,
H2TN79,H2TN79_TAKRU,ENSTRUP00000026135,TAKRU,1.0,,,,,,,,,,1,,,,
O69856,O69856_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
P07896,ECHP_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
Q4Q939,Q4Q939_LEIMA,nan,LEIMA,1.0,,,,,,,,,,1,,,,
E1BMH4,E1BMH4_BOVIN,ENSBTAP00000053200,BOVIN,1.0,,,,,,,,,,1,,,,
