ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q55C56,Q55C56_DICDI,nan,DICDI,10.0,1,1,,,,1,1,1,1,,1,1,1,1
B0YAF3,B0YAF3_ASPFC,nan,ASPFC,3.0,1,,,,,1,,1,,,,,,
A8B6I7,A8B6I7_GIAIC,nan,GIAIC,2.0,,,,,,,,,1,,,,1,
Q7UYH5,Q7UYH5_RHOBA,nan,RHOBA,2.0,,,,,,,1,,,,1,,,
A8BHR8,A8BHR8_GIAIC,nan,GIAIC,2.0,,,,,,,,,1,,,,1,
A8BNR8,A8BNR8_GIAIC,nan,GIAIC,2.0,,,,,,1,1,,,,,,,
A8BIX1,A8BIX1_GIAIC,nan,GIAIC,2.0,,,,,,,,,1,,,,1,
B7QG11,B7QG11_IXOSC,nan,IXOSC,2.0,,,,,,,,,1,,,,1,
P72763,P72763_SYNY3,nan,SYNY3,2.0,,,,,,,1,,,,,,1,
A2G715,A2G715_TRIVA,nan,TRIVA,2.0,,,,,,,,,1,,,,1,
H2QDM5,H2QDM5_PANTR,ENSPTRP00000016145,PANTR,1.0,,,,,,,,,1,,,,,
F7CMQ8,F7CMQ8_ORNAN,ENSOANP00000024337,ORNAN,1.0,,,,,,,,,,,,1,,
F7BE47,F7BE47_ORNAN,ENSOANP00000008489,ORNAN,1.0,,,,,,,,,,,,1,,
F7BGG4,F7BGG4_MONDO,ENSMODP00000006061,MONDO,1.0,,,,,,,,,1,,,,,
F7CGA7,F7CGA7_ORNAN,ENSOANP00000009811,ORNAN,1.0,,,,,,,,,1,,,,,
H2QID6,H2QID6_PANTR,ENSPTRP00000020986,PANTR,1.0,,,,,,,,,,,,,1,
F7CUK6,F7CUK6_XENTR,ENSXETP00000018003,XENTR,1.0,,,,,,,,,,,,,1,
H2QEB1,H2QEB1_PANTR,ENSPTRP00000016835,PANTR,1.0,,,,,,,,,,,,1,,
F7E2X1,F7E2X1_ORNAN,ENSOANP00000007642,ORNAN,1.0,,,,,,,,,,,,1,,
F7E7S4,F7E7S4_MONDO,ENSMODP00000032626,MONDO,1.0,,,,,,,,,,,,1,,
F7AW27,F7AW27_MACMU,ENSMMUP00000006459,MACMU,1.0,,,,,,,,,,,,1,,
F7FQ26,F7FQ26_MACMU,ENSMMUP00000033252,MACMU,1.0,,,,,,,,,,,,1,,
F7GKA9,F7GKA9_MONDO,ENSMODP00000023496,MONDO,1.0,,,,,,,,,,,,1,,
F7HQW1,F7HQW1_MACMU,ENSMMUP00000008127,MACMU,1.0,,,,,,,,,1,,,,,
G3X6E6,G3X6E6_BOVIN,ENSBTAP00000005473,BOVIN,1.0,,,,,,,,,1,,,,,
F7F6E1,F7F6E1_ORNAN,ENSOANP00000002977,ORNAN,1.0,,,,,,,,,1,,,,,
F6WEK6,F6WEK6_ORNAN,ENSOANP00000010648,ORNAN,1.0,,,,,,,,,,,,1,,
F6X4M8,F6X4M8_MONDO,ENSMODP00000012651,MONDO,1.0,,,,,,,,,1,,,,,
H2SQG4,H2SQG4_TAKRU,ENSTRUP00000014651,TAKRU,1.0,,,,,,,,,1,,,,,
C4Q9P8,nan,nan,nan,1.0,,,,,,,,,,,,,1,
D3Z322,nan,nan,nan,1.0,,,,,,,,,,,,,1,
D3ZG73,D3ZG73_RAT,ENSRNOP00000055540,RAT,1.0,,,,,,,,,,,,,1,
D3ZMF0,nan,nan,nan,1.0,,,,,,,1,,,,,,,
D4AAF1,D4AAF1_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
E1C607,E1C607_CHICK,nan,CHICK,1.0,,,,,,,,,1,,,,,
E2RRF6,E2RRF6_CANFA,ENSCAFP00000021077,CANFA,1.0,,,,,,,,,,,,1,,
E7F0U4,E7F0U4_DANRE,ENSDARP00000065997,DANRE,1.0,,,,,,,1,,,,,,,
E7F6L6,E7F6L6_DANRE,ENSDARP00000097594,DANRE,1.0,,,,,,,,,1,,,,,
F1MSK0,F1MSK0_BOVIN,ENSBTAP00000005565,BOVIN,1.0,,,,,,,,,1,,,,,
F1MY81,F1MY81_BOVIN,ENSBTAP00000004242,BOVIN,1.0,,,,,,,1,,,,,,,
F1N330,F1N330_BOVIN,ENSBTAP00000019653,BOVIN,1.0,,,,,,,,,,,,,1,
F1NP45,F1NP45_CHICK,ENSGALP00000000647,CHICK,1.0,,,,,,,,,1,,,,,
F1P6B5,F1P6B5_CANFA,ENSCAFP00000002595,CANFA,1.0,,,,,,,,,,,,1,,
F1PA98,F1PA98_CANFA,ENSCAFP00000002917,CANFA,1.0,,,,,,,,,,,,,1,
F1PAH3,F1PAH3_CANFA,ENSCAFP00000019236,CANFA,1.0,,,,,,,,,1,,,,,
F1PND8,F1PND8_CANFA,ENSCAFP00000013802,CANFA,1.0,,,,,,,,,1,,,,,
F1PRD8,F1PRD8_CANFA,ENSCAFP00000008529,CANFA,1.0,,,,,,,1,,,,,,,
F1QYI9,F1QYI9_DANRE,ENSDARP00000102007,DANRE,1.0,,,,,,,,,,,,1,,
F1R409,F1R409_DANRE,ENSDARP00000104209,DANRE,1.0,,,,,,,,,1,,,,,
F6QS73,F6QS73_XENTR,ENSXETP00000016526,XENTR,1.0,,,,,,,,,1,,,,,
H2QIV4,H2QIV4_PANTR,ENSPTRP00000021472,PANTR,1.0,,,,,,,,,1,,,,,
H2V480,H2V480_TAKRU,ENSTRUP00000044014,TAKRU,1.0,,,,,,,,,1,,,,,
H2SWR6,H2SWR6_TAKRU,ENSTRUP00000016854,TAKRU,1.0,,,,,,,,,1,,,,,
Q9VTS9,Q9VTS9_DROME,nan,DROME,1.0,,,,,,,,,1,,,,,
Q8F1U9,Q8F1U9_LEPIN,nan,LEPIN,1.0,,,,,,,,,,,1,,,
Q8RGU8,Q8RGU8_FUSNN,nan,FUSNN,1.0,,,,,,,,,,,1,,,
Q8T3S0,Q8T3S0_DROME,nan,DROME,1.0,,,,,,,,,,,,,1,
Q8WMX6,ASZ1_PANTR,ENSPTRP00000033595,PANTR,1.0,,,,,,,,,,,,1,,
Q9C0D5,TANC1_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
Q9HCD6,TANC2_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
Q9SN54,Q9SN54_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q9VAU5,Q9VAU5_DROME,nan,DROME,1.0,,,,,,,1,,,,,,,
Q9VB40,Q9VB40_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
Q9ZT74,Q9ZT74_ARATH,nan,ARATH,1.0,,,,,,,,,,,,,1,
