ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7Q515,Q7Q515_ANOGA,nan,ANOGA,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
B7P1U8,B7P1U8_IXOSC,nan,IXOSC,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
C4QKY6,C4QKY6_SCHMA,nan,SCHMA,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
P13395,SPTCA_DROME,nan,DROME,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
A9UST9,A9UST9_MONBE,nan,MONBE,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
nan,nan,ENSMODP00000029579,MONDO,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
F7AQ59,F7AQ59_ORNAN,ENSOANP00000018986,ORNAN,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
E1BFB0,E1BFB0_BOVIN,ENSBTAP00000020395,BOVIN,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
F7HLP9,F7HLP9_MACMU,ENSMMUP00000012219,MACMU,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
F1PAP5,F1PAP5_CANFA,ENSCAFP00000029705,CANFA,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
nan,nan,ENSPTRP00000036639,PANTR,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
Q21408,Q21408_CAEEL,nan,CAEEL,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
A3FG33,A3FG33_DANRE,nan,DANRE,10.0,1,1,1,1,,1,1,1,1,,,1,,1
P16086,SPTN1_RAT,nan,RAT,10.0,1,1,1,1,,1,1,1,1,,,1,,1
Q13813,SPTN1_HUMAN,nan,HUMAN,10.0,1,1,1,1,,1,1,1,1,,,1,,1
H2UIB1,H2UIB1_TAKRU,ENSTRUP00000036682,TAKRU,9.0,1,1,1,1,,1,,1,1,,,1,1,
P07751,SPTN1_CHICK,nan,CHICK,9.0,1,1,1,1,,1,1,1,1,,,,,1
P08032,SPTA1_MOUSE,nan,MOUSE,8.0,1,1,,1,1,1,,1,,,1,1,,
F6ZN81,F6ZN81_XENTR,ENSXETP00000034450,XENTR,5.0,1,1,,1,,1,,1,,,,,,
F1MMQ8,F1MMQ8_BOVIN,ENSBTAP00000053194,BOVIN,4.0,,,,,1,,,,,,1,1,1,
E2R1P6,E2R1P6_CANFA,ENSCAFP00000017145,CANFA,4.0,,,,,1,,,,,,1,1,1,
H2Q0C2,H2Q0C2_PANTR,ENSPTRP00000002543,PANTR,4.0,,,,,1,,,,,,1,1,1,
nan,nan,ENSMODP00000034589,MONDO,4.0,,,,,1,,,,,,1,1,1,
Q6C2I6,Q6C2I6_YARLI,nan,YARLI,3.0,,,,,,,,1,,,1,1,,
Q6XDA1,Q6XDA1_RAT,nan,RAT,3.0,,,,,1,,,,,,1,1,,
