ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
P13468,K10_DROME,nan,DROME,3.0,,,,1,,,,,,1,,1,,
A2FNH3,A2FNH3_TRIVA,nan,TRIVA,1.0,,,,1,,,,,,,,,,
A7RXQ2,A7RXQ2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A9UQZ8,A9UQZ8_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
E9PAL0,E9PAL0_HUMAN,ENSP00000279575,HUMAN,1.0,,,,,,,,,,,,1,,
G5E9X6,G5E9X6_HUMAN,ENSP00000420826,HUMAN,1.0,,,,,,,,,,,,1,,
O44447,O44447_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
P02812,PRB2_HUMAN,ENSP00000374013,HUMAN,1.0,,,,,,,,,,,,1,,
Q4QCD1,Q4QCD1_LEIMA,nan,LEIMA,1.0,,,,,,,,,,1,,,,
Q7QHN8,Q7QHN8_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q93238,Q93238_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
nan,nan,ENSXETP00000028923,XENTR,1.0,,,,1,,,,,,,,,,
