ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q7PVZ6,Q7PVZ6_ANOGA,nan,ANOGA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P91643,P91643_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B7PFZ8,B7PFZ8_IXOSC,nan,IXOSC,5.0,,,,,,1,,1,1,,,1,,1
H2SV61,H2SV61_TAKRU,ENSTRUP00000016299,TAKRU,3.0,,,,,,1,,1,1,,,,,
C4QBP4,nan,nan,nan,3.0,,,,,,1,,1,,,,1,,
Q6P2A4,Q6P2A4_RAT,nan,RAT,2.0,,,,,,,,,,,1,1,,
F6QRD4,F6QRD4_XENTR,ENSXETP00000030643,XENTR,2.0,,,,,,,,,1,,,1,,
Q9DEQ5,Q9DEQ5_CHICK,nan,CHICK,2.0,,,,,,,,,,,,1,1,
D3Z8D8,D3Z8D8_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
Q810C1,SLIK1_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q810B9,SLIK3_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
C3ZC45,C3ZC45_BRAFL,nan,BRAFL,2.0,,,,,,,1,,,,,,,1
F7DL38,F7DL38_MONDO,ENSMODP00000013894,MONDO,2.0,,,,,,,,1,1,,,,,
O94933,SLIK3_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,,1,1,
B7PG01,B7PG01_IXOSC,nan,IXOSC,2.0,,,,,,,,,,1,,1,,
B0S4U6,nan,nan,nan,2.0,,,,,,,,1,1,,,,,
B0R0D9,nan,nan,nan,2.0,,,,,,,,,,,1,,1,
A8WHP9,LRRC3_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSCAFP00000002422,CANFA,2.0,,,,,,,,1,1,,,,,
D4A062,D4A062_RAT,nan,RAT,2.0,,,,,,,,,,,,1,1,
A0JPN8,A0JPN8_RAT,nan,RAT,2.0,,,,,,,,1,1,,,,,
Q8K1S1,LGI4_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,1,1,,
A7RK32,A7RK32_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,1,,1,
F1NWG8,F1NWG8_CHICK,ENSGALP00000003863,CHICK,2.0,,,,,,,,,,,,1,1,
A4IFI5,A4IFI5_BOVIN,ENSBTAP00000006543,BOVIN,2.0,,,,,,,,1,1,,,,,
