ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q04787,BSH_DROME,nan,DROME,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
H2RYM3,H2RYM3_TAKRU,ENSTRUP00000005244,TAKRU,11.0,1,1,,,1,1,1,1,,1,1,1,1,1
Q7PVF1,Q7PVF1_ANOGA,nan,ANOGA,11.0,1,1,,,1,1,1,1,1,1,1,1,,1
A4IIF9,A4IIF9_XENTR,ENSXETP00000036924,XENTR,10.0,1,1,,,1,1,1,1,,1,1,1,,1
Q19937,Q19937_CAEEL,nan,CAEEL,10.0,1,1,,,1,1,1,1,,1,1,1,,1
H2Q4Z9,H2Q4Z9_PANTR,ENSPTRP00000007538,PANTR,10.0,1,1,,,1,1,1,1,,1,1,1,,1
Q3C1V8,BSH_HUMAN,nan,HUMAN,10.0,1,1,,,1,1,1,1,,1,1,1,,1
Q6R3Q6,BSH_DANRE,nan,DANRE,10.0,1,1,,,1,1,1,1,,1,1,1,,1
E2R0R6,E2R0R6_CANFA,ENSCAFP00000017172,CANFA,10.0,1,1,,,1,1,1,1,,1,1,1,,1
E1BAF5,E1BAF5_BOVIN,ENSBTAP00000018597,BOVIN,10.0,1,1,,,1,1,1,1,,1,1,1,,1
C3Y0U7,C3Y0U7_BRAFL,nan,BRAFL,10.0,1,1,,,1,1,1,1,,1,1,1,,1
C4QCS9,nan,nan,nan,9.0,1,1,,,1,1,1,1,,,1,1,,1
F7DC81,F7DC81_MONDO,ENSMODP00000016215,MONDO,8.0,,,,,1,1,1,1,,1,1,1,,1
D4A5F6,D4A5F6_RAT,nan,RAT,8.0,,,,,1,1,1,1,,1,1,1,,1
Q810B3,BSH_MOUSE,nan,MOUSE,8.0,,,,,1,1,1,1,,1,1,1,,1
Q6RFL5,BSH_CHICK,nan,CHICK,8.0,,,,,1,1,1,1,,1,1,1,,1
F6Y3H1,F6Y3H1_MACMU,ENSMMUP00000036633,MACMU,6.0,,,,,,1,1,1,,1,,1,,1
F7BLR9,F7BLR9_CIOIN,ENSCINP00000024460,CIOIN,6.0,,,,,1,1,,1,,,1,1,,1
A7RLW0,A7RLW0_NEMVE,nan,NEMVE,5.0,,,,,,1,1,1,,,,1,,1
B7PNI1,B7PNI1_IXOSC,nan,IXOSC,5.0,,,,,1,,,,,1,1,1,,1
F6SJA4,F6SJA4_ORNAN,ENSOANP00000016351,ORNAN,5.0,,,,,1,,,,,1,1,1,,1
A7SMK0,A7SMK0_NEMVE,nan,NEMVE,3.0,,,,,,,,1,,,,1,,1
B7PL89,B7PL89_IXOSC,nan,IXOSC,3.0,,,,,,1,1,1,,,,,,
F6S7V7,F6S7V7_MACMU,ENSMMUP00000020652,MACMU,3.0,,,,,,,,,,1,,1,,1
A7SMJ9,A7SMJ9_NEMVE,nan,NEMVE,3.0,,,,,,,,1,,,,1,,1
F7FGC6,F7FGC6_ORNAN,ENSOANP00000007391,ORNAN,3.0,,,,,,1,1,1,,,,,,
Q0UH61,Q0UH61_PHANO,nan,PHANO,2.0,,,,,1,,,,,,1,,,
H2TRX2,H2TRX2_TAKRU,ENSTRUP00000027430,TAKRU,2.0,,,,,,,,,,,1,1,,
A7RHQ5,A7RHQ5_NEMVE,nan,NEMVE,2.0,,,,,1,,,,,,1,,,
A7SIL1,A7SIL1_NEMVE,nan,NEMVE,2.0,,,,,1,,,,,,1,,,
Q568V6,Q568V6_DANRE,nan,DANRE,2.0,,,,,,,,,,,1,1,,
Q5KDM4,Q5KDM4_CRYNJ,nan,CRYNJ,2.0,,,,,1,,,,,,1,,,
B7PXB4,B7PXB4_IXOSC,nan,IXOSC,2.0,1,1,,,,,,,,,,,,
Q9DGM9,Q9DGM9_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q6GLH9,Q6GLH9_XENTR,ENSXETP00000036133,XENTR,1.0,,,,,,,,,,,,1,,
Q9NLC2,HM24_CAEEL,nan,CAEEL,1.0,,,,,,,,,1,,,,,
Q29ZM6,Q29ZM6_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,1,
Q9XVN4,Q9XVN4_CAEEL,nan,CAEEL,1.0,,,,,,,,,1,,,,,
P52955,LBX1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
Q804C9,Q804C9_XENTR,ENSXETP00000056265,XENTR,1.0,,,,,,,,,,,1,,,
Q28ET4,VENT1_XENTR,ENSXETP00000019491,XENTR,1.0,,,,,,,,,,,1,,,
