ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q8IGP1,Q8IGP1_DROME,nan,DROME,10.0,1,1,1,1,,1,1,1,1,1,,1,,
Q7Q6J7,Q7Q6J7_ANOGA,nan,ANOGA,9.0,1,1,1,1,,1,1,1,1,,,1,,
A2DLM0,A2DLM0_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
B5YN38,B5YN38_THAPS,nan,THAPS,1.0,,,,,,,,,,,,1,,
Q8MPX4,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q55GC7,SGMD_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
Q4QCX2,Q4QCX2_LEIMA,nan,LEIMA,1.0,,,,,,,,,,1,,,,
Q22265,Q22265_CAEEL,nan,CAEEL,1.0,,,,1,,,,,,,,,,
H2SWG6,H2SWG6_TAKRU,ENSTRUP00000016754,TAKRU,1.0,,,,1,,,,,,,,,,
C3Z390,C3Z390_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
B7QCR0,B7QCR0_IXOSC,nan,IXOSC,1.0,,,,,,1,,,,,,,,
A9V5S5,A9V5S5_MONBE,nan,MONBE,1.0,,,,,,,,,,,,1,,
A2E5Q5,A2E5Q5_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A9URK1,A9URK1_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
A7RNV6,A7RNV6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7RNK9,A7RNK9_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A2GFM6,A2GFM6_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A2GAT9,A2GAT9_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A2G9X6,A2G9X6_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A2G7J3,A2G7J3_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A2F5C2,A2F5C2_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
A2EUS8,A2EUS8_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCINP00000004986,CIOIN,1.0,,,,,,1,,,,,,,,
