ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6WPV3,F6WPV3_CIOIN,ENSCINP00000009476,CIOIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7QJW2,Q7QJW2_ANOGA,nan,ANOGA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q95SH0,Q95SH0_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q96RG2,PASK_HUMAN,nan,HUMAN,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
E1BJM5,E1BJM5_BOVIN,ENSBTAP00000001044,BOVIN,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
Q8CEE6,PASK_MOUSE,nan,MOUSE,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
B0S5Z9,B0S5Z9_DANRE,nan,DANRE,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
H2R2A5,H2R2A5_PANTR,ENSPTRP00000043649,PANTR,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
Q5PQT0,Q5PQT0_RAT,nan,RAT,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
A7ENR2,A7ENR2_SCLS1,nan,SCLS1,11.0,1,1,,,1,1,1,1,,1,1,1,1,1
F7FPL8,F7FPL8_MACMU,ENSMMUP00000021296,MACMU,11.0,1,1,,,1,1,1,1,1,1,1,1,,1
E2RCE4,E2RCE4_CANFA,ENSCAFP00000018915,CANFA,11.0,1,1,,,1,1,1,1,1,1,1,1,,1
A9V1F8,A9V1F8_MONBE,nan,MONBE,10.0,1,1,,,1,1,,1,1,1,1,1,,1
F7DR68,F7DR68_ORNAN,ENSOANP00000024597,ORNAN,10.0,,,,1,1,1,1,1,1,1,1,1,,1
Q7SBQ8,Q7SBQ8_NEUCR,nan,NEUCR,10.0,1,1,,,1,1,,1,,1,1,1,1,1
Q5A2W0,Q5A2W0_CANAL,nan,CANAL,10.0,1,1,,,1,1,,1,,1,1,1,1,1
Q9UTH3,PPK6_SCHPO,nan,SCHPO,10.0,1,1,,,1,1,,1,,1,1,1,1,1
Q0U9A4,Q0U9A4_PHANO,nan,PHANO,10.0,1,1,,,1,1,1,1,,1,1,,1,1
P31374,PSK1_YEAST,nan,YEAST,9.0,,1,,,1,1,1,1,,,1,1,1,1
Q6C310,Q6C310_YARLI,nan,YARLI,9.0,,,,,1,1,1,1,,1,1,1,1,1
B0XU93,B0XU93_ASPFC,nan,ASPFC,9.0,1,1,,,1,1,,1,,1,1,,1,1
Q5KIS4,Q5KIS4_CRYNJ,nan,CRYNJ,8.0,1,,,,1,1,,1,,1,1,1,,1
