ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9V817,MTH4_DROME,nan,DROME,8.0,,,,,,1,,1,1,1,1,1,1,1
A7UU57,A7UU57_ANOGA,nan,ANOGA,5.0,,,,,,,,,1,1,1,1,,1
A7S2L4,A7S2L4_NEMVE,nan,NEMVE,4.0,,,,,,,,1,1,,1,1,,
Q7PNT9,Q7PNT9_ANOGA,nan,ANOGA,4.0,,,,,,,,,1,,1,1,,1
B7QC59,B7QC59_IXOSC,nan,IXOSC,3.0,,,,,,,,,1,,1,,,1
A7RLX8,A7RLX8_NEMVE,nan,NEMVE,3.0,,,,,,,,,1,,1,1,,
A7RV14,A7RV14_NEMVE,nan,NEMVE,3.0,,,,,,,,,1,,1,1,,
Q7PNU0,Q7PNU0_ANOGA,nan,ANOGA,3.0,,,,,,,,,,1,1,1,,
A7RLX7,A7RLX7_NEMVE,nan,NEMVE,3.0,,,,,,,,,1,,1,1,,
A7SPE2,A7SPE2_NEMVE,nan,NEMVE,2.0,,,,,,,,1,,,1,,,
B7Q5E0,B7Q5E0_IXOSC,nan,IXOSC,2.0,,,,,,,,,,1,,1,,
A8DV40,A8DV40_NEMVE,nan,NEMVE,2.0,,,,,,,,,1,,,1,,
A7RJP1,A7RJP1_NEMVE,nan,NEMVE,2.0,,,,,,,,,1,,1,,,
A7SIT7,A7SIT7_NEMVE,nan,NEMVE,2.0,,,,,,,,,1,,1,,,
A7SBK6,A7SBK6_NEMVE,nan,NEMVE,2.0,,,,,,,,,1,,1,,,
E7F7Z9,E7F7Z9_DANRE,ENSDARP00000110693,DANRE,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCINP00000016973,CIOIN,1.0,,,,,,,,,,,,,1,
A7S0A5,A7S0A5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q96K78,GP128_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q8IZF3,GP115_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q86D86,Q86D86_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,1,
A7S3B6,A7S3B6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7SAS2,A7SAS2_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
F6VLS5,F6VLS5_CIOIN,ENSCINP00000014593,CIOIN,1.0,,,,,,,,,,,,1,,
F6SRQ9,F6SRQ9_CIOIN,ENSCINP00000016430,CIOIN,1.0,,,,,,,,,,,,1,,
F6RBY6,F6RBY6_CIOIN,ENSCINP00000006340,CIOIN,1.0,,,,,,,,,,,,1,,
F6QJP6,F6QJP6_MONDO,ENSMODP00000017622,MONDO,1.0,,,,,,,,,,,,1,,
F1MYG4,F1MYG4_BOVIN,ENSBTAP00000023376,BOVIN,1.0,,,,,,,,,,,,1,,
C4QNH8,nan,nan,nan,1.0,,,,,,1,,,,,,,,
A7STW1,A7STW1_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
C3Y3L5,C3Y3L5_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
C3XWL6,C3XWL6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3XV89,C3XV89_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
C3XV85,C3XV85_BRAFL,nan,BRAFL,1.0,,,,,,,,,1,,,,,
B7QCD7,B7QCD7_IXOSC,nan,IXOSC,1.0,,,,,,,,,1,,,,,
B7Q8M6,B7Q8M6_IXOSC,nan,IXOSC,1.0,,,,,,,,,1,,,,,
A7SD54,A7SD54_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7SFI6,A7SFI6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7SIH3,A7SIH3_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7SYI9,A7SYI9_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A7SU72,A7SU72_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
nan,nan,ENSCINP00000024947,CIOIN,1.0,,,,,,,,,,,,1,,
