ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9VLY6,Q9VLY6_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7Q4L1,Q7Q4L1_ANOGA,nan,ANOGA,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
C1LZ86,nan,nan,nan,3.0,,,,,1,,,,,,1,,1,
Q8TQM2,Q8TQM2_METAC,nan,METAC,3.0,,,,,,,,,1,1,1,,,
Q58715,Y1319_METJA,nan,METJA,3.0,,,,,,,,,1,1,1,,,
F6QVR2,F6QVR2_MONDO,ENSMODP00000022919,MONDO,2.0,,,,,1,,,,,,1,,,
Q8F511,Q8F511_LEPIN,nan,LEPIN,2.0,,,,,,,,,,1,1,,,
E1BQT4,E1BQT4_CHICK,nan,CHICK,2.0,,,,,1,,,,,,1,,,
Q8A1L9,Q8A1L9_BACTN,nan,BACTN,2.0,,,,,,,,,,1,1,,,
Q801U7,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
H2S405,H2S405_TAKRU,ENSTRUP00000007127,TAKRU,2.0,,,,,1,,,,,,1,,,
O07577,YHDH_BACSU,nan,BACSU,2.0,,,,,,,,,,1,1,,,
F6QN23,F6QN23_BOVIN,ENSBTAP00000040420,BOVIN,2.0,,,,,1,,,,,,1,,,
Q0UVE1,Q0UVE1_PHANO,nan,PHANO,2.0,,,,,,,,,1,,1,,,
Q3KMD1,Q3KMD1_CHLTA,nan,CHLTA,2.0,,,,,,,1,,,,1,,,
F6VI31,F6VI31_XENTR,ENSXETP00000007854,XENTR,2.0,,,,,1,,,,,,1,,,
P48056,S6A12_RAT,nan,RAT,2.0,,,,,1,,,,,,1,,,
P48065,S6A12_HUMAN,nan,HUMAN,2.0,,,,,1,,,,,,1,,,
Q0UQY0,Q0UQY0_PHANO,nan,PHANO,2.0,,,,,,,,,1,,1,,,
F7HP51,F7HP51_MACMU,ENSMMUP00000029060,MACMU,2.0,,,,,1,,,,,,1,,,
Q8MZK8,Q8MZK8_SCHMA,nan,SCHMA,2.0,,,,,,,,,,,1,,1,
Q8RHM5,Q8RHM5_FUSNN,nan,FUSNN,2.0,,,,,,,,,,1,1,,,
Q8RHQ5,Q8RHQ5_FUSNN,nan,FUSNN,2.0,,,,,,,,,,1,1,,,
A7SAX9,A7SAX9_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,1,,,1
O34383,YOCR_BACSU,nan,BACSU,2.0,,,,,,,,,,1,1,,,
nan,nan,ENSCINP00000018860,CIOIN,2.0,,,,,1,,,,,,1,,,
O45813,O45813_CAEEL,nan,CAEEL,2.0,,,,,1,,,,,,1,,,
A7S7X6,A7S7X6_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,1,,,1
O67854,O67854_AQUAE,nan,AQUAE,2.0,,,,,,,,,,1,1,,,
P27799,S6A12_CANFA,ENSCAFP00000023174,CANFA,2.0,,,,,1,,,,,,1,,,
B7QKT1,B7QKT1_IXOSC,nan,IXOSC,2.0,,,,1,,,,,,,,,,1
H2Q561,H2Q561_PANTR,ENSPTRP00000007701,PANTR,2.0,,,,,1,,,,,,1,,,
H2S5Y8,H2S5Y8_TAKRU,ENSTRUP00000007810,TAKRU,2.0,,,,,1,,,,,,1,,,
Q8VCS9,Q8VCS9_MOUSE,nan,MOUSE,2.0,,,,,1,,,,,,1,,,
B5YK84,B5YK84_THEYD,nan,THEYD,2.0,,,,,,,,,,1,1,,,
P31646,S6A13_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
P28571,SC6A9_MOUSE,nan,MOUSE,1.0,,,,1,,,,,,,,,,
P28572,SC6A9_RAT,nan,RAT,1.0,,,,1,,,,,,,,,,
P48067,SC6A9_HUMAN,nan,HUMAN,1.0,,,,1,,,,,,,,,,
P90890,P90890_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
P28573,SC6A7_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
O18300,nan,nan,nan,1.0,,,,,,,,,,,1,,,
P31649,S6A13_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
A5D8R6,A5D8R6_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q1JPS2,Q1JPS2_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q1LVI6,Q1LVI6_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
nan,nan,ENSOANP00000003634,ORNAN,1.0,,,,,,,,,,1,,,,
nan,nan,ENSGALP00000035355,CHICK,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCINP00000011366,CIOIN,1.0,,,,,,,,,,,,,,1
nan,nan,ENSCAFP00000007207,CANFA,1.0,,,,1,,,,,,,,,,
Q9XUG5,Q9XUG5_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
Q9U2E0,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q9NSD5,S6A13_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q99884,SC6A7_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q8TSA2,Q8TSA2_METAC,nan,METAC,1.0,,,,,,,,,,1,,,,
Q801U6,Q801U6_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q6PGE7,SC6A7_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q5JDK2,Q5JDK2_THEKO,nan,THEKO,1.0,,,,,,,,,,1,,,,
Q1LVJ1,Q1LVJ1_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q1LVJ0,Q1LVJ0_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q1LVI9,Q1LVI9_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
O18288,nan,nan,nan,1.0,,,,,,,,,,1,,,,
H2T1A7,H2T1A7_TAKRU,ENSTRUP00000018445,TAKRU,1.0,,,,,,,,,,,1,,,
H2UY33,H2UY33_TAKRU,ENSTRUP00000041862,TAKRU,1.0,,,,,,,,,,,1,,,
F6RWD7,F6RWD7_MACMU,ENSMMUP00000018052,MACMU,1.0,,,,,,,,,,,1,,,
F1QZU3,F1QZU3_DANRE,ENSDARP00000088027,DANRE,1.0,,,,,,,,,,,1,,,
F1PA54,F1PA54_CANFA,ENSCAFP00000026902,CANFA,1.0,,,,,,,,,,1,,,,
F1NG92,F1NG92_CHICK,ENSGALP00000009080,CHICK,1.0,,,,,,,,,,1,,,,
F1N097,F1N097_BOVIN,ENSBTAP00000007938,BOVIN,1.0,,,,1,,,,,,,,,,
C4Q8J6,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C4Q111,nan,nan,nan,1.0,,,,,,,,,,,1,,,
C3ZDU6,C3ZDU6_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,,,1
C3Z981,C3Z981_BRAFL,nan,BRAFL,1.0,,,,1,,,,,,,,,,
B7PZ27,B7PZ27_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,1,,
B7PPD7,B7PPD7_IXOSC,nan,IXOSC,1.0,,,,,,,,,,1,,,,
B0R9T3,B0R9T3_HALS3,nan,HALS3,1.0,,,,,,,,,,1,,,,
B0R5T4,B0R5T4_HALS3,nan,HALS3,1.0,,,,,,,,,,1,,,,
B0R5T3,B0R5T3_HALS3,nan,HALS3,1.0,,,,,,,,,,1,,,,
A7SXK0,A7SXK0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7SAX5,A7SAX5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7S978,A7S978_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7S977,A7S977_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7S7Q6,A7S7Q6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7RZ73,A7RZ73_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A7RHF4,A7RHF4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
A6QLU4,A6QLU4_BOVIN,ENSBTAP00000035062,BOVIN,1.0,,,,,,,,,,1,,,,
F6QV09,F6QV09_MONDO,ENSMODP00000022928,MONDO,1.0,,,,,,,,,,,1,,,
F6UD72,F6UD72_MACMU,ENSMMUP00000019875,MACMU,1.0,,,,1,,,,,,,,,,
H2USA0,H2USA0_TAKRU,ENSTRUP00000039823,TAKRU,1.0,,,,,,,,,,,1,,,
F6VHX0,F6VHX0_XENTR,ENSXETP00000007859,XENTR,1.0,,,,,,,,,,,1,,,
H2UQ59,H2UQ59_TAKRU,ENSTRUP00000039080,TAKRU,1.0,,,,,,,,,,,1,,,
H2U120,H2U120_TAKRU,ENSTRUP00000030631,TAKRU,1.0,,,,,,,,,,,1,,,
H2TT77,H2TT77_TAKRU,ENSTRUP00000027885,TAKRU,1.0,,,,,,,,,,,1,,,
H2T4U0,H2T4U0_TAKRU,ENSTRUP00000019678,TAKRU,1.0,,,,,,,,,,,1,,,
A5PJX7,S6A13_BOVIN,ENSBTAP00000019308,BOVIN,1.0,,,,,,,,,,,1,,,
H2SPI6,H2SPI6_TAKRU,ENSTRUP00000014323,TAKRU,1.0,,,,,,,,,,1,,,,
H2S5Y4,H2S5Y4_TAKRU,ENSTRUP00000007806,TAKRU,1.0,,,,,,,,,,,1,,,
H2S5R6,H2S5R6_TAKRU,ENSTRUP00000007738,TAKRU,1.0,,,,,,,,,,,1,,,
H2S3B4,H2S3B4_TAKRU,ENSTRUP00000006886,TAKRU,1.0,,,,,,,,,,,1,,,
