ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9W3G1,Q9W3G1_DROME,nan,DROME,11.0,1,1,1,1,,1,1,1,1,1,,1,,1
C3Z0Z1,C3Z0Z1_BRAFL,nan,BRAFL,5.0,,,,,,1,1,1,,,,1,,1
H2TD72,H2TD72_TAKRU,ENSTRUP00000022614,TAKRU,4.0,,,,,,1,,1,,,,1,,1
nan,nan,ENSCAFP00000026806,CANFA,4.0,,1,,,,1,,1,,,,1,,
A7SAM5,A7SAM5_NEMVE,nan,NEMVE,4.0,,,,,,1,1,,,,,1,,1
Q4PF35,Q4PF35_USTMA,nan,USTMA,3.0,,,1,1,,,,,,1,,,,
F7DLT2,F7DLT2_MONDO,ENSMODP00000020837,MONDO,3.0,,,,,,1,,,,,,1,,1
F7EQE4,F7EQE4_MACMU,ENSMMUP00000023735,MACMU,3.0,,,,,,1,,1,,,,1,,
H2QED4,H2QED4_PANTR,ENSPTRP00000016892,PANTR,3.0,,,,,,1,,1,,,,1,,
O75177,CREST_HUMAN,nan,HUMAN,3.0,,,,,,1,,1,,,,1,,
Q802V1,Q802V1_DANRE,nan,DANRE,3.0,,,,,,1,,1,,,,1,,
Q5XI66,Q5XI66_RAT,nan,RAT,3.0,,,,,,,1,1,,,,,,1
F1NW13,F1NW13_CHICK,ENSGALP00000008248,CHICK,3.0,,,,,,1,,,,,,1,,1
Q86HX9,MYBK_DICDI,nan,DICDI,3.0,1,1,,,,,,,1,,,,,
Q8BW22,CREST_MOUSE,nan,MOUSE,3.0,,,,,,1,,1,,,,,,1
Q9N4L9,Q9N4L9_CAEEL,nan,CAEEL,3.0,,,,,,1,1,,,,,1,,
F6WXG5,F6WXG5_XENTR,ENSXETP00000004288,XENTR,3.0,,,,,,1,,,,,,1,,1
A5D7A1,A5D7A1_BOVIN,ENSBTAP00000015327,BOVIN,3.0,,,,,,,,1,,,,1,,1
E1BUS5,E1BUS5_CHICK,nan,CHICK,2.0,,,,,,,,,,1,,1,,
F7FSI0,F7FSI0_MONDO,ENSMODP00000026870,MONDO,2.0,,,,,,,,1,,,,1,,
nan,nan,ENSOANP00000014424,ORNAN,2.0,,,,,,,,1,,,,1,,
nan,nan,ENSOANP00000005348,ORNAN,2.0,,,,,,1,,1,,,,,,
nan,nan,ENSBTAP00000003290,BOVIN,2.0,,,,,,,1,,,,,1,,
A9RBZ6,A9RBZ6_PHYPA,nan,PHYPA,2.0,,,,,,1,1,,,,,,,
Q9UHA2,S18L2_HUMAN,nan,HUMAN,2.0,,,,,,,1,,,,,1,,
Q5ZMA8,Q5ZMA8_CHICK,nan,CHICK,2.0,,,,,,,,1,,,,,,1
Q5XJV5,Q5XJV5_MOUSE,nan,MOUSE,2.0,,,,,,,,,,1,,1,,
Q567E9,Q567E9_DANRE,nan,DANRE,2.0,,,,,,,1,,,,,1,,
E1BUW3,E1BUW3_CHICK,nan,CHICK,2.0,,,,,,,1,,,,,1,,
H2RM52,H2RM52_TAKRU,ENSTRUP00000001215,TAKRU,2.0,,,,,,,,,,1,,1,,
H2QK84,H2QK84_PANTR,ENSPTRP00000023016,PANTR,2.0,,,,,,,,,,1,,1,,
C4Q8Z4,nan,nan,nan,2.0,,,,,,1,1,,,,,,,
F7G5E2,F7G5E2_MACMU,ENSMMUP00000014042,MACMU,2.0,,,,,,,,,,1,,1,,
Q14686,NCOA6_HUMAN,nan,HUMAN,2.0,,,,,,,,,,1,,1,,
nan,nan,ENSPTRP00000025505,PANTR,2.0,,,,,,,1,,,,,1,,
E2RFY0,E2RFY0_CANFA,ENSCAFP00000007892,CANFA,2.0,,,,,,,1,,,,,1,,
F7EHE8,F7EHE8_ORNAN,ENSOANP00000011049,ORNAN,2.0,,,,,,,,,,1,,1,,
F6XUT9,F6XUT9_XENTR,ENSXETP00000042180,XENTR,2.0,,,,,,,,,,1,,1,,
F7BIF2,F7BIF2_MONDO,ENSMODP00000016973,MONDO,2.0,,,,,,,1,,,,,1,,
E1BND5,E1BND5_BOVIN,ENSBTAP00000010424,BOVIN,2.0,,,,,,,,,,1,,1,,
E2R698,E2R698_CANFA,ENSCAFP00000011257,CANFA,2.0,,,,,,,,,,1,,1,,
D3ZMV6,nan,nan,nan,2.0,,,,,,1,,1,,,,,,
F7DI90,F7DI90_MONDO,ENSMODP00000003218,MONDO,2.0,,,,,,,,,,1,,1,,
Q9JLI4,NCOA6_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
A9V8D3,A9V8D3_MONBE,nan,MONBE,1.0,,,,1,,,,,,,,,,
nan,nan,ENSPTRP00000024449,PANTR,1.0,,,,1,,,,,,,,,,
Q8I4J4,Q8I4J4_CAEEL,nan,CAEEL,1.0,,,,1,,,,,,,,,,
Q8L8A5,GIF1_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
Q93VH6,GIF3_ARATH,nan,ARATH,1.0,,,,,,,1,,,,,,,
Q9D174,S18L2_MOUSE,nan,MOUSE,1.0,,,,,,,1,,,,,,,
Q9MAL9,GIF2_ARATH,nan,ARATH,1.0,,,,,,,,,,,,1,,
nan,nan,ENSCAFP00000031309,CANFA,1.0,,,,1,,,,,,,,,,
A9SKC9,A9SKC9_PHYPA,nan,PHYPA,1.0,,,,1,,,,,,,,,,
B0YC40,B0YC40_ASPFC,nan,ASPFC,1.0,,,,1,,,,,,,,,,
F1PU82,F1PU82_CANFA,ENSCAFP00000018480,CANFA,1.0,,,,,,,,1,,,,,,
E1BSI7,nan,nan,nan,1.0,,,,1,,,,,,,,,,
nan,nan,ENSBTAP00000032308,BOVIN,1.0,,,,,,1,,,,,,,,
nan,nan,ENSBTAP00000041023,BOVIN,1.0,,,,1,,,,,,,,,,
A7EPR1,A7EPR1_SCLS1,nan,SCLS1,1.0,,,,,,,,,,1,,,,
B0XPG9,B0XPG9_ASPFC,nan,ASPFC,1.0,,,,,,,,,,1,,,,
C4QU84,C4QU84_SCHMA,nan,SCHMA,1.0,,,,,,,,,,,,1,,
Q75JG1,Q75JG1_DICDI,nan,DICDI,1.0,,,,,,,,,,1,,,,
Q6C778,Q6C778_YARLI,nan,YARLI,1.0,,,,,,,,,,1,,,,
F7G861,F7G861_ORNAN,ENSOANP00000014266,ORNAN,1.0,,,,1,,,,,,,,,,
F7D8L5,F7D8L5_MACMU,ENSMMUP00000039016,MACMU,1.0,,,,,,,1,,,,,,,
A7E291,A7E291_DANRE,nan,DANRE,1.0,,,,1,,,,,,,,,,
H2UU38,H2UU38_TAKRU,ENSTRUP00000040462,TAKRU,1.0,,,,,,,1,,,,,,,
O01505,O01505_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
O14497,ARI1A_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
O62486,O62486_CAEEL,nan,CAEEL,1.0,,,,,,,,,,1,,,,
B8CE21,B8CE21_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
Q0U994,Q0U994_PHANO,nan,PHANO,1.0,,,,,,,,,,1,,,,
Q0VGY6,Q0VGY6_XENTR,ENSXETP00000015122,XENTR,1.0,,,,,,,,1,,,,,,
Q10571,MN1_HUMAN,nan,HUMAN,1.0,,,,1,,,,,,,,,,
Q15532,SSXT_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
B7PUY5,B7PUY5_IXOSC,nan,IXOSC,1.0,,,,1,,,,,,,,,,
F7BG83,F7BG83_ORNAN,ENSOANP00000015218,ORNAN,1.0,,,,,,,1,,,,,,,
Q5KA53,Q5KA53_CRYNJ,nan,CRYNJ,1.0,,,,1,,,,,,,,,,
B5YMG3,B5YMG3_THAPS,nan,THAPS,1.0,,,,1,,,,,,,,,,
F6XL97,F6XL97_XENTR,ENSXETP00000015123,XENTR,1.0,,,,,,,1,,,,,,,
Q62280,SSXT_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
