ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q9W534,MOODY_DROME,nan,DROME,12.0,1,,,1,1,1,1,1,1,1,1,1,1,1
Q2KI97,GPR84_BOVIN,ENSBTAP00000020710,BOVIN,6.0,,,,,,1,1,1,,,,1,1,1
D4ACK0,D4ACK0_RAT,nan,RAT,6.0,,,,,,1,1,1,,,,1,1,1
F6W0J1,F6W0J1_MACMU,ENSMMUP00000021919,MACMU,6.0,,,,,,1,1,1,,,,1,1,1
C3ZKP0,C3ZKP0_BRAFL,nan,BRAFL,6.0,,,,,1,1,1,1,,,1,1,,
F1PY02,F1PY02_CANFA,ENSCAFP00000009750,CANFA,6.0,,,,,,1,1,1,,,,1,1,1
B7PUN8,B7PUN8_IXOSC,nan,IXOSC,6.0,,,,,1,,,1,1,1,1,1,,
A8E4T2,A8E4T2_DANRE,nan,DANRE,6.0,,,,,,1,1,1,,,,1,1,1
F6XPH7,F6XPH7_XENTR,ENSXETP00000046019,XENTR,5.0,,,,,,1,,1,,,,1,1,1
F6THQ0,F6THQ0_CIOIN,ENSCINP00000002939,CIOIN,5.0,,,,,,1,,1,,,,1,1,1
F7A4K1,F7A4K1_ORNAN,ENSOANP00000020448,ORNAN,5.0,,,,,,1,,1,,,,1,1,1
H2Q642,H2Q642_PANTR,ENSPTRP00000008575,PANTR,5.0,,,,,,1,,1,,,,1,1,1
B7QK48,B7QK48_IXOSC,nan,IXOSC,5.0,,,,,,1,1,1,,,,1,,1
Q8CIM5,GPR84_MOUSE,nan,MOUSE,5.0,,,,,,1,,1,,,,1,1,1
Q9NQS5,GPR84_HUMAN,nan,HUMAN,5.0,,,,,,1,,1,,,,1,1,1
F7GTE4,F7GTE4_MACMU,ENSMMUP00000002171,MACMU,4.0,1,,,,,,,1,1,,,1,,
F1Q1H9,F1Q1H9_CANFA,ENSCAFP00000028239,CANFA,4.0,,,,1,,,,1,1,,,1,,
E1BHN7,E1BHN7_BOVIN,ENSBTAP00000028110,BOVIN,3.0,,,,,1,,,,,,1,1,,
H2R4H9,H2R4H9_PANTR,ENSPTRP00000047221,PANTR,3.0,,,,1,,,,,1,,,1,,
F6XQX5,F6XQX5_MONDO,ENSMODP00000029132,MONDO,3.0,,,,,1,,,,,,1,1,,
Q9EPB7,GPR88_MOUSE,nan,MOUSE,3.0,,,,,1,,,,,,1,1,,
C3ZEW4,C3ZEW4_BRAFL,nan,BRAFL,3.0,,,,,,,,,,,,1,1,1
F7EI88,F7EI88_XENTR,ENSXETP00000028989,XENTR,3.0,,,,,1,,,,,,1,1,,
F1RD36,F1RD36_DANRE,ENSDARP00000100577,DANRE,3.0,,,,,1,,,,,,1,1,,
H2PZH6,H2PZH6_PANTR,ENSPTRP00000001732,PANTR,3.0,,,,,1,,,,,,1,1,,
Q9GZN0,GPR88_HUMAN,nan,HUMAN,3.0,,,,,1,,,,,,1,1,,
Q9ESP4,GPR88_RAT,nan,RAT,3.0,,,,,1,,,,,,1,1,,
H2R515,H2R515_PANTR,ENSPTRP00000047712,PANTR,3.0,,,,,,,,1,,,,1,1,
P49288,MTR1C_CHICK,nan,CHICK,3.0,,,,,,,,1,,,,1,1,
B7PYE1,B7PYE1_IXOSC,nan,IXOSC,3.0,,,,,,,,1,1,,,1,,
Q7PXN8,Q7PXN8_ANOGA,nan,ANOGA,3.0,,,,,1,,,,,,1,1,,
E1C2M7,E1C2M7_CHICK,nan,CHICK,3.0,,,,,1,,,,,,1,1,,
H2SE17,H2SE17_TAKRU,ENSTRUP00000010648,TAKRU,3.0,,,,,,,,1,,,,1,1,
H2T0U7,H2T0U7_TAKRU,ENSTRUP00000018285,TAKRU,3.0,,,,,,1,,1,,,,1,,
nan,nan,ENSCAFP00000010886,CANFA,2.0,,,,,,,,1,,,,1,,
F6T3C8,F6T3C8_ORNAN,ENSOANP00000018434,ORNAN,2.0,,,,,,,,1,,,,1,,
F6T556,F6T556_ORNAN,ENSOANP00000020545,ORNAN,2.0,,,,,,,,1,,,,1,,
F1QHL7,F1QHL7_DANRE,ENSDARP00000053915,DANRE,2.0,,,,,,,,,,,,1,1,
P51046,MR1AA_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
H2UJ01,H2UJ01_TAKRU,ENSTRUP00000036922,TAKRU,2.0,,,,,,,,1,,,,1,,
F7ER13,F7ER13_MACMU,ENSMMUP00000023723,MACMU,2.0,,,,,,,,1,,,,1,,
F6WS20,F6WS20_CIOIN,ENSCINP00000004306,CIOIN,2.0,,,,,,,,,,,,1,,1
H2TPM1,H2TPM1_TAKRU,ENSTRUP00000026627,TAKRU,2.0,,,,,,,,1,,,,1,,
F7F3W3,F7F3W3_MACMU,ENSMMUP00000023336,MACMU,2.0,,,,,,,,1,,,,1,,
P51049,MR1BB_DANRE,nan,DANRE,2.0,,,,,,,,1,,,,1,,
F7HIC1,F7HIC1_MACMU,ENSMMUP00000039623,MACMU,2.0,,,,,1,,,,,,1,,,
Q8CIQ6,MTR1B_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
H2RZQ9,H2RZQ9_TAKRU,ENSTRUP00000005630,TAKRU,2.0,,,,,,,,1,,,,1,,
Q3V1S8,nan,nan,nan,2.0,,,,,,,,,1,,,1,,
Q13585,MTR1L_HUMAN,nan,HUMAN,2.0,,,,1,,,,,1,,,,,
A2BGT9,A2BGT9_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
E1BDC1,E1BDC1_BOVIN,ENSBTAP00000007808,BOVIN,2.0,,,,,,,,,1,,,1,,
F1NEF4,F1NEF4_CHICK,ENSGALP00000014739,CHICK,2.0,,,,,,,,,,,,1,1,
C3ZFI5,C3ZFI5_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,,1
B3DJ99,B3DJ99_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
C3YNJ8,C3YNJ8_BRAFL,nan,BRAFL,2.0,,,,,,,,,,,,1,,1
A7S9A0,A7S9A0_NEMVE,nan,NEMVE,2.0,,,,,1,,,,,,1,,,
F1PJI1,F1PJI1_CANFA,ENSCAFP00000006305,CANFA,1.0,,,,,,,,1,,,,,,
P51050,MTR1B_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
A7SIK3,A7SIK3_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A7SIK4,A7SIK4_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A7SJD0,A7SJD0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,,1,
Q0IJ00,Q0IJ00_XENTR,ENSXETP00000020323,XENTR,1.0,,,,,,,,,,,,1,,
A7SN28,A7SN28_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A7SLZ1,A7SLZ1_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
P51047,MR1AL_DANRE,nan,DANRE,1.0,,,,,,,,,,,,1,,
A7SPE4,A7SPE4_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
P49286,MTR1B_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
P49285,MTR1A_CHICK,nan,CHICK,1.0,,,,,,,,,,,,1,,
P48039,MTR1A_HUMAN,nan,HUMAN,1.0,,,,,,,,1,,,,,,
O17615,O17615_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q5E9H8,GP173_BOVIN,ENSBTAP00000023635,BOVIN,1.0,,,,,,,,,,,,1,,
Q7PPF7,Q7PPF7_ANOGA,nan,ANOGA,1.0,,,,,,,,,1,,,,,
Q61184,MTR1A_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
