ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
P63417,YHBS_ECOLI,nan,ECOLI,11.0,1,1,1,1,,,1,1,1,1,,1,1,1
A6VAQ6,A6VAQ6_PSEA7,nan,PSEA7,8.0,1,,,1,,,1,1,1,1,,1,1,
A9WHL8,A9WHL8_CHLAA,nan,CHLAA,8.0,1,1,,1,,,1,1,,1,,1,1,
Q6BZQ1,Q6BZQ1_YARLI,nan,YARLI,8.0,1,,,1,,,1,,1,1,,1,1,1
Q6YRU4,Q6YRU4_SYNY3,nan,SYNY3,8.0,1,,,1,,,1,1,1,1,,1,1,
Q7NJ60,Q7NJ60_GLOVI,nan,GLOVI,7.0,1,,,,,,1,1,1,1,,1,1,
Q8TQ51,Q8TQ51_METAC,nan,METAC,6.0,1,,,,,,1,,1,1,,1,1,
Q89CN7,Q89CN7_BRADU,nan,BRADU,5.0,,,,1,,,,,1,1,,1,1,
Q89SE1,Q89SE1_BRADU,nan,BRADU,5.0,,,,,,,1,,1,1,,1,1,
A2DR43,A2DR43_TRIVA,nan,TRIVA,4.0,,,,,,,,,1,1,,1,1,
Q74GR8,Q74GR8_GEOSL,nan,GEOSL,3.0,,,,,,,,,,1,,1,1,
Q9RD52,Q9RD52_STRCO,nan,STRCO,3.0,,,,,,,,,1,1,,,1,
C3Y1Q2,C3Y1Q2_BRAFL,nan,BRAFL,2.0,1,,,,,,1,,,,,,,
Q7UEA3,Q7UEA3_RHOBA,nan,RHOBA,2.0,,,1,,,,,,,1,,,,
F6V6E5,F6V6E5_MONDO,ENSMODP00000021143,MONDO,1.0,,,,,,,1,,,,,,,
Q7UEP5,Q7UEP5_RHOBA,nan,RHOBA,1.0,,,,,,,,,1,,,,,
