ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
P77402,YDIP_ECOLI,nan,ECOLI,11.0,1,,,1,1,,1,1,1,1,1,1,1,1
B8E2M5,B8E2M5_DICTD,nan,DICTD,6.0,,,,,,,1,1,,1,,1,1,1
P96660,YDEC_BACSU,nan,BACSU,4.0,,,,1,,,,1,,1,,,,1
Q8A333,Q8A333_BACTN,nan,BACTN,2.0,,,,,,,,,,,,1,1,
Q89ML3,Q89ML3_BRADU,nan,BRADU,2.0,,,,,1,,,,,,1,,,
Q89CX9,Q89CX9_BRADU,nan,BRADU,2.0,,,,,,,,,,,,1,1,
Q7UYE3,Q7UYE3_RHOBA,nan,RHOBA,2.0,,,,,,,,,,1,,,,1
Q89ZI1,Q89ZI1_BACTN,nan,BACTN,2.0,1,,,1,,,,,,,,,,
Q7UL84,Q7UL84_RHOBA,nan,RHOBA,2.0,,,,,1,,,,,,1,,,
Q747Y8,Q747Y8_GEOSL,nan,GEOSL,2.0,,,,,,,,,,,,1,1,
A6UXH8,A6UXH8_PSEA7,nan,PSEA7,2.0,,,,,1,,,,,,1,,,
A9WHL1,A9WHL1_CHLAA,nan,CHLAA,2.0,,,,,1,,,,,,1,,,
Q8A7Z2,Q8A7Z2_BACTN,nan,BACTN,2.0,,,,,1,,,,,,1,,,
Q9Z554,Q9Z554_STRCO,nan,STRCO,2.0,,,,,1,,,,,,1,,,
Q89P15,Q89P15_BRADU,nan,BRADU,2.0,,,,1,,,,,,,,1,,
Q89SR4,Q89SR4_BRADU,nan,BRADU,1.0,,,,,,,,,,,,1,,
Q8A3J7,Q8A3J7_BACTN,nan,BACTN,1.0,,,,,,,,,,1,,,,
Q8A1J4,Q8A1J4_BACTN,nan,BACTN,1.0,,,,,,,,,,,,1,,
Q89VD5,Q89VD5_BRADU,nan,BRADU,1.0,1,,,,,,,,,,,,,
Q9X0A0,Q9X0A0_THEMA,nan,THEMA,1.0,,,,,,,,,,,,,1,
Q9ZBG5,Q9ZBG5_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q7UUE4,Q7UUE4_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,,1,,
A6UY44,A6UY44_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,,1,,
Q7UTW3,Q7UTW3_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,,1,,
Q7APM9,Q7APM9_STRCO,nan,STRCO,1.0,,,,,,,,,,,1,,,
Q0UVA4,Q0UVA4_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
P40331,YISR_BACSU,nan,BACSU,1.0,,,,,,,,,1,,,,,
A9U7V7,A9U7V7_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,,1,
A7EUV3,A7EUV3_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
A6V6B5,A6V6B5_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,,1,,
A6V5F2,A6V5F2_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,1,,,
nan,nan,ENSXETP00000053942,XENTR,1.0,,,,,,,,,,,1,,,
