ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q8R6E9,Q8R6E9_FUSNN,nan,FUSNN,4.0,,,,,,,1,,,,1,1,,1
Q8A6X8,Q8A6X8_BACTN,nan,BACTN,3.0,,,,,,,,,,,1,1,,1
A2EDY6,A2EDY6_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,1,,,1
B8BQ74,B8BQ74_THAPS,nan,THAPS,2.0,,,,,,,,,,,1,,,1
Q74GZ6,Q74GZ6_GEOSL,nan,GEOSL,2.0,,,,,,,,,,,1,,,1
Q6C9H5,Q6C9H5_YARLI,nan,YARLI,2.0,,,,,,,1,,,,,,,1
Q27088,Q27088_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,1,,,1
A2EXN1,A2EXN1_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,1,,,1
P52647,NIFJ_ECOLI,nan,ECOLI,2.0,,,,,,,,,,,1,,,1
P52965,NIFJ_SYNY3,nan,SYNY3,2.0,,,,,,,,,,,1,,,1
A2F855,A2F855_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,1,,,1
A9WEX7,A9WEX7_CHLAA,nan,CHLAA,2.0,,,,,,,,,,,1,,,1
A8B852,A8B852_GIAIC,nan,GIAIC,2.0,,,,,,,,,,,1,,,1
B1L696,B1L696_KORCO,nan,KORCO,1.0,,,,,,,,,,,1,,,
Q57714,PORB_METJA,nan,METJA,1.0,,,,,,,,,,,1,,,
Q97V79,Q97V79_SULSO,nan,SULSO,1.0,,,,,,,,,,,1,,,
Q8TUN5,Q8TUN5_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
Q8TN86,Q8TN86_METAC,nan,METAC,1.0,,,,,,,,,,,1,,,
A2F2U9,A2F2U9_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
Q7S8U6,Q7S8U6_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,,,1
A2FLR6,A2FLR6_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,1,,,
A7EST3,A7EST3_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,,,,1
Q5K8J1,Q5K8J1_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,,,,1
Q5JIJ9,Q5JIJ9_THEKO,nan,THEKO,1.0,,,,,,,,,,,1,,,
Q5JIJ6,Q5JIJ6_THEKO,nan,THEKO,1.0,,,,,,,,,,,1,,,
Q59P60,Q59P60_CANAL,nan,CANAL,1.0,,,,,,,,,,,,,,1
Q4PAE1,Q4PAE1_USTMA,nan,USTMA,1.0,,,,,,,,,,,,,,1
B1L6G0,B1L6G0_KORCO,nan,KORCO,1.0,,,,,,,,,,,1,,,
Q1K9C2,MET5_SCHPO,nan,SCHPO,1.0,,,,,,,,,,,,,,1
Q0UHR4,Q0UHR4_PHANO,nan,PHANO,1.0,,,,,,,,,,,,,,1
P95904,P95904_SULSF,nan,SULSO,1.0,,,,,,,,,,,1,,,
A9UYI0,A9UYI0_MONBE,nan,MONBE,1.0,,,,,,,,,,,,,,1
P47169,MET5_YEAST,nan,YEAST,1.0,,,,,,,,,,,,,,1
O67255,O67255_AQUAE,nan,AQUAE,1.0,,,,,,,,,,,1,,,
O67230,O67230_AQUAE,nan,AQUAE,1.0,,,,,,,,,,,1,,,
E2RTZ1,E2RTZ1_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
B8DYW3,B8DYW3_DICTD,nan,DICTD,1.0,,,,,,,,,,,1,,,
B0XUK8,B0XUK8_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,,,,1
B5YKI1,B5YKI1_THEYD,nan,THEYD,1.0,,,,,,,,,,,1,,,
Q97YV0,Q97YV0_SULSO,nan,SULSO,1.0,,,,,,,,,,,1,,,
