ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q8REW9,Q8REW9_FUSNN,nan,FUSNN,10.0,1,,1,1,,,1,1,1,1,,1,1,1
Q58917,CBIE_METJA,nan,METJA,7.0,1,,1,1,,,1,1,,1,,,,1
A6V3I4,A6V3I4_PSEA7,nan,PSEA7,5.0,1,,,,,,,,1,,,1,1,1
A9WIP7,A9WIP7_CHLAA,nan,CHLAA,5.0,1,,,,,,,,1,,,1,1,1
Q55879,Q55879_SYNY3,nan,SYNY3,5.0,1,,,,,,,,1,,,1,1,1
Q7NNN3,Q7NNN3_GLOVI,nan,GLOVI,5.0,1,,,,,,,,1,,,1,1,1
Q89Q61,Q89Q61_BRADU,nan,BRADU,4.0,,,,,,,,,1,,,1,1,1
Q8EXP8,Q8EXP8_LEPIN,nan,LEPIN,4.0,,,,,,,,,1,,,1,1,1
Q748K5,Q748K5_GEOSL,nan,GEOSL,3.0,,,,,,,,,1,,,1,1,
Q93RX0,Q93RX0_STRCO,nan,STRCO,3.0,,,,,,,,,1,,,,1,1
Q97WD1,Q97WD1_SULSO,nan,SULSO,3.0,1,,,,,,1,,,1,,,,
Q9L1C7,Q9L1C7_STRCO,nan,STRCO,3.0,,,,,,,,,1,,,,1,1
Q8TTB7,Q8TTB7_METAC,nan,METAC,2.0,1,,,,,,,,,1,,,,
A9U7Y8,A9U7Y8_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,,,1
B0R5W7,B0R5W7_HALS3,nan,HALS3,1.0,,,,,,,,,,1,,,,
Q10671,nan,nan,nan,1.0,,,,,,,,,1,,,,,
