ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q74AE0,Q74AE0_GEOSL,nan,GEOSL,13.0,1,1,1,1,1,,1,1,1,1,1,1,1,1
Q89KW8,Q89KW8_BRADU,nan,BRADU,11.0,1,1,,1,1,,1,1,1,1,1,1,,1
Q3KMB6,Q3KMB6_CHLTA,nan,CHLTA,11.0,1,1,,1,1,,1,1,1,1,1,1,,1
Q8F4N1,Q8F4N1_LEPIN,nan,LEPIN,11.0,1,1,,1,1,,1,1,1,1,1,1,,1
A7F173,A7F173_SCLS1,nan,SCLS1,10.0,1,1,,1,1,,1,1,1,1,1,,,1
H2RZ13,H2RZ13_TAKRU,ENSTRUP00000005384,TAKRU,10.0,1,1,,1,1,,1,1,1,1,1,,,1
Q7QDU3,Q7QDU3_ANOGA,nan,ANOGA,10.0,1,1,,1,1,,1,1,1,1,1,,,1
O44451,ODPB_CAEEL,nan,CAEEL,10.0,1,1,,1,1,,1,1,1,1,1,,,1
P11177,ODPB_HUMAN,nan,HUMAN,10.0,1,1,,1,1,,1,1,1,1,1,,,1
P11966,ODPB_BOVIN,ENSBTAP00000028958,BOVIN,10.0,1,1,,1,1,,1,1,1,1,1,,,1
P32473,ODPB_YEAST,nan,YEAST,10.0,1,1,,1,1,,1,1,1,1,1,,,1
P73405,P73405_SYNY3,nan,SYNY3,10.0,1,1,,1,,,1,1,1,1,,1,1,1
Q7T368,Q7T368_DANRE,nan,DANRE,10.0,1,1,,1,1,,1,1,1,1,1,,,1
Q09171,ODPB_SCHPO,nan,SCHPO,10.0,1,1,,1,1,,1,1,1,1,1,,,1
Q0UIH2,Q0UIH2_PHANO,nan,PHANO,10.0,1,1,,1,1,,1,1,1,1,1,,,1
Q4P1A8,Q4P1A8_USTMA,nan,USTMA,10.0,1,1,,1,1,,1,1,1,1,1,,,1
Q4Q9R8,Q4Q9R8_LEIMA,nan,LEIMA,10.0,1,1,,1,1,,1,1,1,1,1,,,1
Q5A5V6,Q5A5V6_CANAL,nan,CANAL,10.0,1,1,,1,1,,1,1,1,1,1,,,1
Q5BKI5,Q5BKI5_XENTR,ENSXETP00000019009,XENTR,10.0,1,1,,1,1,,1,1,1,1,1,,,1
Q5K8I1,Q5K8I1_CRYNJ,nan,CRYNJ,10.0,1,1,,1,1,,1,1,1,1,1,,,1
Q6C4G4,Q6C4G4_YARLI,nan,YARLI,10.0,1,1,,1,1,,1,1,1,1,1,,,1
G2HF91,G2HF91_PANTR,ENSPTRP00000026010,PANTR,10.0,1,1,,1,1,,1,1,1,1,1,,,1
nan,nan,ENSCINP00000006609,CIOIN,10.0,1,1,,1,1,,1,1,1,1,1,,,1
F6R4J1,F6R4J1_MACMU,ENSMMUP00000020570,MACMU,10.0,1,1,,1,1,,1,1,1,1,1,,,1
Q86HX0,ODPB_DICDI,nan,DICDI,10.0,1,1,,1,1,,1,1,1,1,1,,,1
A7S6S9,A7S6S9_NEMVE,nan,NEMVE,10.0,1,1,,1,1,,1,1,1,1,1,,,1
Q9P3R3,Q9P3R3_NEUCS,nan,NEUCR,10.0,1,1,,1,1,,1,1,1,1,1,,,1
A9VB15,A9VB15_MONBE,nan,MONBE,10.0,1,1,,1,1,,1,1,1,1,1,,,1
A9WE29,A9WE29_CHLAA,nan,CHLAA,10.0,1,1,,,1,,1,1,1,1,1,1,,1
B0XZB4,B0XZB4_ASPFC,nan,ASPFC,10.0,1,1,,1,1,,1,1,1,1,1,,,1
B7PZE3,B7PZE3_IXOSC,nan,IXOSC,10.0,1,1,,1,1,,1,1,1,1,1,,,1
