ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A1L1S9,A1L1S9_DANRE,nan,DANRE,1.0,,,,,,1,,,,,,,,
A8BK78,A8BK78_GIAIC,nan,GIAIC,1.0,,,,,,1,,,,,,,,
D4ADF1,D4ADF1_RAT,nan,RAT,1.0,,,,,,1,,,,,,,,
E2RK95,E2RK95_CANFA,ENSCAFP00000021559,CANFA,1.0,,,,,,1,,,,,,,,
F1MV76,F1MV76_BOVIN,ENSBTAP00000004874,BOVIN,1.0,,,,,,1,,,,,,,,
F1NKC1,F1NKC1_CHICK,ENSGALP00000026095,CHICK,1.0,,,,,,1,,,,,,,,
F6Q6M8,F6Q6M8_ORNAN,ENSOANP00000010350,ORNAN,1.0,,,,,,1,,,,,,,,
F6UIZ7,F6UIZ7_MONDO,ENSMODP00000026365,MONDO,1.0,,,,,,1,,,,,,,,
F7AAH9,F7AAH9_XENTR,ENSXETP00000010467,XENTR,1.0,,,,,,1,,,,,,,,
F7EHL6,F7EHL6_MACMU,ENSMMUP00000004425,MACMU,1.0,,,,,,1,,,,,,,,
H2TV24,H2TV24_TAKRU,ENSTRUP00000028533,TAKRU,1.0,,,,,,1,,,,,,,,
O14607,UTY_HUMAN,nan,HUMAN,1.0,,,,,,1,,,,,,,,
P79457,UTY_MOUSE,nan,MOUSE,1.0,,,,,,1,,,,,,,,
nan,nan,ENSPTRP00000055045,PANTR,1.0,,,,,,1,,,,,,,,
