ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
P56289,IF5A1_SCHPO,nan,SCHPO,2.0,,,,,,,,,,,,1,1,
Q6EWQ7,IF5A1_BOVIN,ENSBTAP00000002616,BOVIN,2.0,,,,,,,,,,,,1,1,
P34563,IF5A1_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
P63241,IF5A1_HUMAN,ENSP00000336702,HUMAN,2.0,,,,,,,,,,,,1,1,
P63242,IF5A1_MOUSE,nan,MOUSE,2.0,,,,,,,,,,,,1,1,
Q09121,IF5A1_CHICK,nan,CHICK,2.0,,,,,,,,,,,,1,1,
Q20751,IF5A2_CAEEL,nan,CAEEL,2.0,,,,,,,,,,,,1,1,
Q4PM51,Q4PM51_IXOSC,nan,IXOSC,2.0,,,,,,,,,,,,1,1,
Q58625,IF5A_METJA,nan,METJA,2.0,,,,,,,,,,,,1,1,
Q6DK71,Q6DK71_XENTR,ENSXETP00000055749,XENTR,2.0,,,,,,,,,,,,1,1,
Q6NX89,Q6NX89_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
P19211,IF5A2_YEAST,nan,YEAST,2.0,,,,,,,,,,,,1,1,
Q7PSR5,Q7PSR5_ANOGA,nan,ANOGA,2.0,,,,,,,,,,,,1,1,
Q8I603,Q8I603_PLAF7,nan,PLAF7,2.0,,,,,,,,,,,,1,1,
Q8TJ03,IF5A_METAC,nan,METAC,2.0,,,,,,,,,,,,1,1,
Q93VP3,IF5A2_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q97ZE8,IF5A_SULSO,nan,SULSO,2.0,,,,,,,,,,,,1,1,
Q9GU68,IF5A_DROME,nan,DROME,2.0,,,,,,,,,,,,1,1,
Q9UST4,IF5A2_SCHPO,nan,SCHPO,2.0,,,,,,,,,,,,1,1,
Q9XI91,IF5A1_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
P23301,IF5A1_YEAST,nan,YEAST,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSRNOP00000037587,RAT,2.0,,,,,,,,,,,,1,1,
P13651,IF5A_DICDI,nan,DICDI,2.0,,,,,,,,,,,,1,1,
B1L7A5,IF5A_KORCO,nan,KORCO,2.0,,,,,,,,,,,,1,1,
C4Q7V7,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
B0Y434,B0Y434_ASPFC,nan,ASPFC,2.0,,,,,,,,,,,,1,1,
O94083,IF5A_CANAL,nan,CANAL,2.0,,,,,,,,,,,,1,1,
F1Q264,F1Q264_CANFA,ENSCAFP00000023771,CANFA,2.0,,,,,,,,,,,,1,1,
F7AJW2,F7AJW2_MONDO,ENSMODP00000022472,MONDO,2.0,,,,,,,,,,,,1,1,
A9V9A4,A9V9A4_MONBE,nan,MONBE,2.0,,,,,,,,,,,,1,1,
F7G3Z4,F7G3Z4_MONDO,ENSMODP00000008248,MONDO,2.0,,,,,,,,,,,,1,1,
F7HNN9,F7HNN9_MACMU,ENSMMUP00000008154,MACMU,2.0,,,,,,,,,,,,1,1,
H2QZN6,H2QZN6_PANTR,ENSPTRP00000039241,PANTR,2.0,,,,,,,,,,,,1,1,
H2TY85,H2TY85_TAKRU,ENSTRUP00000029644,TAKRU,2.0,,,,,,,,,,,,1,1,
A8BZ89,A8BZ89_GIAIC,nan,GIAIC,2.0,,,,,,,,,,,,1,1,
A7T0N1,A7T0N1_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,1,
B8BWG4,B8BWG4_THAPS,nan,THAPS,2.0,,,,,,,,,,,,1,1,
A9U3B9,A9U3B9_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,,1,
A9T3D3,A9T3D3_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,,1,
B0R6B4,IF5A_HALS3,nan,HALS3,1.0,,,,,,,,,,,,1,,
B0XNC1,B0XNC1_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,,1,,
Q5JI42,IF5A_THEKO,nan,THEKO,1.0,,,,,,,,,,,,,1,
Q6CCS7,Q6CCS7_YARLI,nan,YARLI,1.0,,,,,,,,,,,,1,,
Q5KHT0,Q5KHT0_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,,,,1,,
Q4QA21,Q4QA21_LEIMA,nan,LEIMA,1.0,,,,,,,,,,,,1,,
Q4PBR3,Q4PBR3_USTMA,nan,USTMA,1.0,,,,,,,,,,,,1,,
Q0UQU6,Q0UQU6_PHANO,nan,PHANO,1.0,,,,,,,,,,,,1,,
P87252,HEX1_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,,1,
A7EDY7,A7EDY7_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,,,1,
P38672,IF5A_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,1,,
A7E994,A7E994_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,,1,,
