ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B7PB71,B7PB71_IXOSC,nan,IXOSC,11.0,,,1,1,,1,1,1,1,1,1,1,1,1
C4QI09,nan,nan,nan,5.0,,,,,,,,,1,,1,1,1,1
A9UU35,A9UU35_MONBE,nan,MONBE,5.0,,,,,,,,1,1,,1,1,1,
C1M108,nan,nan,nan,5.0,,,,,,,,,1,,1,1,1,1
B8BXE9,B8BXE9_THAPS,nan,THAPS,5.0,,,,,,,,1,1,,1,1,1,
Q54QV7,GSTA5_DICDI,nan,DICDI,4.0,,,,,,,,,,,1,1,1,1
nan,nan,ENSCINP00000027732,CIOIN,4.0,,,,,,,,,1,,1,,1,1
F6S277,F6S277_CIOIN,ENSCINP00000022076,CIOIN,4.0,,,,,,,1,,,,1,,1,1
F6V9K6,F6V9K6_CIOIN,ENSCINP00000010811,CIOIN,4.0,,,,,,,,,1,,1,,1,1
A4IFG0,A4IFG0_BOVIN,ENSBTAP00000023622,BOVIN,3.0,,,,,,,,,1,,1,1,,
P15626,GSTM2_MOUSE,nan,MOUSE,3.0,,,,,,,,,1,,1,1,,
P10649,GSTM1_MOUSE,nan,MOUSE,3.0,,,,,,,,,1,,1,1,,
P08010,GSTM2_RAT,nan,RAT,3.0,,,,,,,,,1,,1,1,,
A1A4L7,A1A4L7_BOVIN,ENSBTAP00000021896,BOVIN,3.0,,,,,,,,,1,,1,1,,
P20136,GSTM2_CHICK,nan,CHICK,3.0,,,,,,,,,1,,1,1,,
P04905,GSTM1_RAT,nan,RAT,3.0,,,,,,,,,1,,1,1,,
O35660,GSTM6_MOUSE,nan,MOUSE,3.0,,,,,,,,,1,,1,1,,
H2SV40,H2SV40_TAKRU,ENSTRUP00000016278,TAKRU,3.0,,,,,,,,,1,,1,1,,
H2RV42,H2RV42_TAKRU,ENSTRUP00000004010,TAKRU,3.0,,,,,,,,,1,,1,1,,
H2RDF8,H2RDF8_PANTR,ENSPTRP00000058783,PANTR,3.0,,,,,,,,,1,,1,1,,
H2PZL4,H2PZL4_PANTR,ENSPTRP00000001837,PANTR,3.0,,,,,,,,,1,,1,1,,
P19639,GSTM4_MOUSE,nan,MOUSE,3.0,,,,,,,,,1,,1,1,,
Q5BK56,Q5BK56_RAT,nan,RAT,3.0,,,,,,,,,1,,1,1,,
P48774,GSTM5_MOUSE,nan,MOUSE,3.0,,,,,,,,,1,,1,1,,
Q55FF3,GSTA1_DICDI,nan,DICDI,3.0,,,,,,,,,,,1,1,1,
G2HFY3,G2HFY3_PANTR,ENSPTRP00000001838,PANTR,3.0,,,,,,,,,1,,1,1,,
Q6DIR0,Q6DIR0_XENTR,ENSXETP00000004318,XENTR,3.0,,,,,,,,,1,,1,1,,
Q6PFJ6,Q6PFJ6_DANRE,nan,DANRE,3.0,,,,,,,,,1,,1,1,,
Q80W21,GSTM7_MOUSE,nan,MOUSE,3.0,,,,,,,,,1,,1,1,,
Q86AU1,GSTA4_DICDI,nan,DICDI,3.0,,,,,,,,,,,1,1,1,
Q8R5I6,Q8R5I6_MOUSE,nan,MOUSE,3.0,,,,,,,,,1,,1,1,,
Q9N0V4,GSTM1_BOVIN,ENSBTAP00000023627,BOVIN,3.0,,,,,,,,,1,,1,1,,
Q9Z1B2,GSTM5_RAT,nan,RAT,3.0,,,,,,,,,1,,1,1,,
nan,nan,ENSBTAP00000002406,BOVIN,3.0,,,,,,,,,1,,1,1,,
nan,nan,ENSCINP00000017624,CIOIN,3.0,,,,,,,,,,,1,,1,1
nan,nan,ENSCINP00000027744,CIOIN,3.0,,,,,,,,,,,1,,1,1
H2PZL3,H2PZL3_PANTR,ENSPTRP00000001835,PANTR,3.0,,,,,,,,,1,,1,1,,
P08009,GSTM4_RAT,nan,RAT,3.0,,,,,,,,,1,,1,1,,
F7HNH7,F7HNH7_MACMU,ENSMMUP00000027441,MACMU,3.0,,,,,,,,,1,,1,1,,
F6S663,F6S663_MONDO,ENSMODP00000002287,MONDO,3.0,,,,,,,,,1,,1,1,,
