ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B7PEM1,B7PEM1_IXOSC,nan,IXOSC,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSCINP00000007010,CIOIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3Y5N3,C3Y5N3_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7RLB8,A7RLB8_NEMVE,nan,NEMVE,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q62833,GRK5_RAT,nan,RAT,13.0,,1,1,1,1,1,1,1,1,1,1,1,1,1
P34947,GRK5_HUMAN,nan,HUMAN,13.0,,1,1,1,1,1,1,1,1,1,1,1,1,1
Q09537,GRK1_CAEEL,nan,CAEEL,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
E2RBX1,E2RBX1_CANFA,ENSCAFP00000017912,CANFA,13.0,,1,1,1,1,1,1,1,1,1,1,1,1,1
F6UFC6,F6UFC6_XENTR,ENSXETP00000022557,XENTR,12.0,,1,1,,1,1,1,1,1,1,1,1,1,1
E1BQG4,E1BQG4_CHICK,nan,CHICK,12.0,,1,1,,1,1,1,1,1,1,1,1,1,1
C4PXR1,nan,nan,nan,12.0,1,1,,1,1,1,1,1,1,1,1,1,,1
F7DA21,F7DA21_MONDO,ENSMODP00000011586,MONDO,12.0,,1,1,,1,1,1,1,1,1,1,1,1,1
Q8VEB1,GRK5_MOUSE,nan,MOUSE,12.0,,1,1,,1,1,1,1,1,1,1,1,1,1
P32866,GPRK2_DROME,nan,DROME,12.0,1,1,,1,1,1,1,1,1,1,1,1,,1
Q7PQK8,Q7PQK8_ANOGA,nan,ANOGA,12.0,1,1,,1,1,1,1,1,1,1,1,1,,1
F7C8D0,F7C8D0_ORNAN,ENSOANP00000006953,ORNAN,11.0,,,1,1,1,,1,1,1,1,1,1,1,1
P43249,GRK5_BOVIN,ENSBTAP00000010492,BOVIN,11.0,,,1,1,1,,1,1,1,1,1,1,1,1
F7FY63,F7FY63_MACMU,ENSMMUP00000026052,MACMU,10.0,1,1,,,,1,1,1,1,,1,1,1,1
H2Q2N7,H2Q2N7_PANTR,ENSPTRP00000005279,PANTR,10.0,,,1,,1,,1,1,1,1,1,1,1,1
F6Q976,F6Q976_MACMU,ENSMMUP00000006107,MACMU,10.0,,,1,1,1,,,1,1,1,1,1,1,1
nan,nan,ENSOANP00000016058,ORNAN,9.0,1,1,,,,1,,1,1,,1,1,1,1
E7F3T7,E7F3T7_DANRE,ENSDARP00000022046,DANRE,9.0,,1,,,,1,1,1,1,,1,1,1,1
H2RQK7,H2RQK7_TAKRU,ENSTRUP00000002422,TAKRU,8.0,,1,,,,1,,1,1,,1,1,1,1
nan,nan,ENSPTRP00000041567,PANTR,8.0,,1,,,,1,,1,1,,1,1,1,1
E1BP29,E1BP29_BOVIN,ENSBTAP00000053464,BOVIN,8.0,,1,,,,1,,1,1,,1,1,1,1
H2SNU3,H2SNU3_TAKRU,ENSTRUP00000014080,TAKRU,7.0,,,,,,,1,1,1,,1,1,1,1
H2S551,H2S551_TAKRU,ENSTRUP00000007523,TAKRU,7.0,,,,,1,,,1,1,,1,1,1,1
F7B5F5,F7B5F5_XENTR,ENSXETP00000019722,XENTR,7.0,,,,,,,,1,1,1,1,1,1,1
Q6DF20,Q6DF20_XENTR,ENSXETP00000032255,XENTR,6.0,,,,,,,,1,1,,1,1,1,1
F6Y4M9,F6Y4M9_MONDO,ENSMODP00000005673,MONDO,6.0,,,,,,,,1,1,,1,1,1,1
nan,nan,ENSPTRP00000005278,PANTR,6.0,,,,,,,,1,1,,1,1,1,1
nan,nan,ENSMODP00000004524,MONDO,6.0,,,,,,,,1,1,,1,1,1,1
P32298,GRK4_HUMAN,nan,HUMAN,6.0,,,,,,,,1,1,,1,1,1,1
P97711,GRK6_RAT,nan,RAT,6.0,,,,,,,,1,1,,1,1,1,1
O70293,GRK6_MOUSE,nan,MOUSE,6.0,,,,,,,,1,1,,1,1,1,1
O70291,GRK4_MOUSE,nan,MOUSE,6.0,,,,,,,,1,1,,1,1,1,1
Q08CJ6,Q08CJ6_DANRE,nan,DANRE,6.0,,,,,,,,1,1,,1,1,1,1
H2VEQ6,H2VEQ6_TAKRU,ENSTRUP00000047701,TAKRU,6.0,,,,,,,,1,,1,1,1,1,1
P43250,GRK6_HUMAN,nan,HUMAN,6.0,,,,,,,,1,1,,1,1,1,1
F6X9W7,F6X9W7_CANFA,ENSCAFP00000024130,CANFA,6.0,,,,,,,,1,1,,1,1,1,1
Q5ZKL2,Q5ZKL2_CHICK,nan,CHICK,6.0,,,,,,,,1,1,,1,1,1,1
F1MN48,F1MN48_BOVIN,ENSBTAP00000001970,BOVIN,6.0,,,,,,,,1,1,,1,1,1,1
F1P1Z9,F1P1Z9_CHICK,ENSGALP00000022712,CHICK,6.0,,,,,,,,1,1,,1,1,1,1
F1P762,F1P762_CANFA,ENSCAFP00000021682,CANFA,6.0,,,,,,,,1,1,,1,1,1,1
P70507,GRK4_RAT,nan,RAT,6.0,,,,,,,,1,1,,1,1,1,1
F6VXX6,F6VXX6_XENTR,ENSXETP00000015742,XENTR,6.0,,,,,,,,1,1,,1,1,1,1
F6VR70,F6VR70_MACMU,ENSMMUP00000011004,MACMU,5.0,,,,,,,,,1,,1,1,1,1
D0EWS2,D0EWS2_DANRE,nan,DANRE,5.0,,,,,1,,,,,,1,1,1,1
B8JJ15,nan,nan,nan,4.0,,,,,,,,,,1,,1,1,1
Q4P7E0,Q4P7E0_USTMA,nan,USTMA,3.0,,,,,,,,,,1,,1,1,
B8BQL4,B8BQL4_THAPS,nan,THAPS,3.0,,,,,,,,1,,1,,1,,
Q5KM47,Q5KM47_CRYNJ,nan,CRYNJ,3.0,,,,,,,,,,1,,1,1,
Q39030,KPK2_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
Q8MYF1,Y2070_DICDI,nan,DICDI,2.0,,,,,,,,,,,,1,1,
A2FHJ2,A2FHJ2_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,,1,1,
A9V9G9,A9V9G9_MONBE,nan,MONBE,2.0,,,,,,,1,,,,1,,,
Q567A3,Q567A3_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q8WTQ7,GRK7_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q15835,RK_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q49HN1,Q49HN1_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q9WVL4,RK_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
