ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B7PGA0,B7PGA0_IXOSC,nan,IXOSC,7.0,1,,,,1,1,1,,,1,1,1,,
C3Y410,C3Y410_BRAFL,nan,BRAFL,6.0,1,,,,1,1,,,,1,1,1,,
F6PQV1,F6PQV1_MACMU,ENSMMUP00000022362,MACMU,5.0,,,,,1,1,1,,,1,1,,,
Q80U59,K0232_MOUSE,nan,MOUSE,5.0,,,,,1,1,1,,,1,1,,,
H2TEV1,H2TEV1_TAKRU,ENSTRUP00000023194,TAKRU,5.0,,,,,1,1,1,,,1,1,,,
H2QP67,H2QP67_PANTR,ENSPTRP00000027370,PANTR,5.0,,,,,1,1,1,,,1,1,,,
F7DTJ5,F7DTJ5_XENTR,ENSXETP00000049531,XENTR,5.0,,,,,1,1,1,,,1,1,,,
Q92628,K0232_HUMAN,nan,HUMAN,5.0,,,,,1,1,1,,,1,1,,,
F6PNF9,F6PNF9_MONDO,ENSMODP00000003538,MONDO,5.0,,,,,1,1,1,,,1,1,,,
F1P6K7,F1P6K7_CANFA,ENSCAFP00000021155,CANFA,5.0,,,,,1,1,1,,,1,1,,,
F1N9B9,F1N9B9_CHICK,ENSGALP00000025001,CHICK,5.0,,,,,1,1,1,,,1,1,,,
E1B9H2,E1B9H2_BOVIN,ENSBTAP00000025878,BOVIN,5.0,,,,,1,1,1,,,1,1,,,
D3ZYT3,D3ZYT3_RAT,nan,RAT,5.0,,,,,1,1,1,,,1,1,,,
F6YID1,F6YID1_CIOIN,ENSCINP00000003355,CIOIN,3.0,,,,,1,,,,,1,1,,,
F6YGT0,F6YGT0_ORNAN,ENSOANP00000018591,ORNAN,1.0,,,,,,,,,,1,,,,
F7FKV7,F7FKV7_ORNAN,ENSOANP00000017517,ORNAN,1.0,,,,,,,,,,1,,,,
A5PL50,A5PL50_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
