ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B7PI24,B7PI24_IXOSC,nan,IXOSC,11.0,1,1,1,1,,1,1,1,1,1,,1,,1
C3ZZ58,C3ZZ58_BRAFL,nan,BRAFL,9.0,1,1,1,1,,1,1,,1,1,,1,,
H2SVC5,H2SVC5_TAKRU,ENSTRUP00000016363,TAKRU,7.0,1,,,1,,1,,1,,1,,1,,1
Q9VQU8,Q9VQU8_DROME,nan,DROME,6.0,,,,,,1,1,1,,1,,1,,1
F7CCT7,F7CCT7_MACMU,ENSMMUP00000034245,MACMU,6.0,1,,,,,1,1,,,1,,1,,1
F6XSW0,F6XSW0_MONDO,ENSMODP00000024120,MONDO,5.0,,,,,,1,1,1,,1,,,,1
Q5TQE9,Q5TQE9_ANOGA,nan,ANOGA,5.0,,,,,,1,1,1,,1,,,,1
A7RQF1,A7RQF1_NEMVE,nan,NEMVE,5.0,,,,,,1,1,1,,,,1,,1
F6Z3V1,F6Z3V1_XENTR,ENSXETP00000037947,XENTR,5.0,,,,,,1,,1,,1,,1,,1
F7C2F6,F7C2F6_ORNAN,ENSOANP00000008677,ORNAN,5.0,,,,,,1,,1,,1,,1,,1
F1P6U3,F1P6U3_CANFA,ENSCAFP00000011105,CANFA,5.0,,,,,,1,,1,,1,,1,,1
F1MFR8,F1MFR8_BOVIN,ENSBTAP00000039748,BOVIN,5.0,,,,,,1,,1,,1,,1,,1
E1C317,E1C317_CHICK,ENSGALP00000024595,CHICK,5.0,,,,,,1,,1,,1,,1,,1
Q8BGR1,Q8BGR1_MOUSE,nan,MOUSE,4.0,,,,,,1,,,,1,,1,,1
Q4V7D5,Q4V7D5_RAT,nan,RAT,3.0,1,,,,,,,,,1,,,,1
E7F641,E7F641_DANRE,ENSDARP00000097836,DANRE,1.0,,,,,,,1,,,,,,,
F7DEJ7,F7DEJ7_XENTR,ENSXETP00000009926,XENTR,1.0,,,,,,,1,,,,,,,
F7EA84,F7EA84_ORNAN,ENSOANP00000023028,ORNAN,1.0,,,,,,,1,,,,,,,
H2R6V6,H2R6V6_PANTR,ENSPTRP00000049523,PANTR,1.0,,,,,,,1,,,,,,,
C3ZU12,C3ZU12_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
H2UVF9,H2UVF9_TAKRU,ENSTRUP00000040937,TAKRU,1.0,,,,,,,1,,,,,,,
A7T5W5,A7T5W5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q80VL0,ICEF1_RAT,nan,RAT,1.0,,,,,,,1,,,,,,,
Q8WWN9,ICEF1_HUMAN,nan,HUMAN,1.0,,,,,,,1,,,,,,,
A3KPH4,nan,nan,nan,1.0,1,,,,,,,,,,,,,
