ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B7PIY8,B7PIY8_IXOSC,nan,IXOSC,4.0,1,,,,,,,,1,1,,1,,
A7REU1,A7REU1_NEMVE,nan,NEMVE,2.0,1,,,,,,,,1,,,,,
A3QK27,nan,nan,nan,1.0,,,,,,,,,,1,,,,
H2SLL6,H2SLL6_TAKRU,ENSTRUP00000013302,TAKRU,1.0,,,,,,,,,,1,,,,
Q8TQM2,Q8TQM2_METAC,nan,METAC,1.0,,,,,,,,,,1,,,,
Q8RHQ5,Q8RHQ5_FUSNN,nan,FUSNN,1.0,,,,,,,,,,1,,,,
Q8RHM5,Q8RHM5_FUSNN,nan,FUSNN,1.0,,,,,,,,,,1,,,,
Q8F511,Q8F511_LEPIN,nan,LEPIN,1.0,,,,,,,,,,1,,,,
Q8A1L9,Q8A1L9_BACTN,nan,BACTN,1.0,,,,,,,,,,1,,,,
Q5JDK2,Q5JDK2_THEKO,nan,THEKO,1.0,,,,,,,,,,1,,,,
Q58715,Y1319_METJA,nan,METJA,1.0,,,,,,,,,,1,,,,
O67854,O67854_AQUAE,nan,AQUAE,1.0,,,,,,,,,,1,,,,
O34383,YOCR_BACSU,nan,BACSU,1.0,,,,,,,,,,1,,,,
O07577,YHDH_BACSU,nan,BACSU,1.0,,,,,,,,,,1,,,,
F7BHH8,F7BHH8_ORNAN,ENSOANP00000003205,ORNAN,1.0,,,,,,,,,,1,,,,
F7D1G0,F7D1G0_MACMU,ENSMMUP00000039055,MACMU,1.0,,,,,,,,,,1,,,,
A3QK28,nan,nan,nan,1.0,,,,,,,,,,1,,,,
F6X6P1,F6X6P1_MONDO,ENSMODP00000017303,MONDO,1.0,,,,,,,,,,1,,,,
F6WK55,F6WK55_XENTR,ENSXETP00000050794,XENTR,1.0,,,,,,,,,,1,,,,
B5YK84,B5YK84_THEYD,nan,THEYD,1.0,,,,,,,,,,1,,,,
B0R9T3,B0R9T3_HALS3,nan,HALS3,1.0,,,,,,,,,,1,,,,
B0R5T4,B0R5T4_HALS3,nan,HALS3,1.0,,,,,,,,,,1,,,,
B0R5T3,B0R5T3_HALS3,nan,HALS3,1.0,,,,,,,,,,1,,,,
A7US77,A7US77_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
A7T314,A7T314_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
A7S7Q6,A7S7Q6_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q8TSA2,Q8TSA2_METAC,nan,METAC,1.0,,,,,,,,,,1,,,,
