ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B7PT14,B7PT14_IXOSC,nan,IXOSC,6.0,,,,,,1,,1,1,1,,1,,1
C3YU15,C3YU15_BRAFL,nan,BRAFL,4.0,,,,,,1,,1,,,,1,,1
C3ZRH6,C3ZRH6_BRAFL,nan,BRAFL,3.0,,,,,,,,1,,,,1,,1
Q20766,Q20766_CAEEL,nan,CAEEL,2.0,,,,,,,,,1,1,,,,
C3YU27,C3YU27_BRAFL,nan,BRAFL,2.0,,,,,,,,1,,,,,,1
C3ZRG8,C3ZRG8_BRAFL,nan,BRAFL,2.0,,,,,,,,1,,,,,,1
F7CIY5,F7CIY5_XENTR,ENSXETP00000032132,XENTR,1.0,,,,,,,,,,1,,,,
F7GBS8,F7GBS8_ORNAN,ENSOANP00000014852,ORNAN,1.0,,,,,,,,,,1,,,,
P34641,CED11_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
F7C3C3,F7C3C3_ORNAN,ENSOANP00000010971,ORNAN,1.0,,,,,,,,,,1,,,,
F7GDX3,F7GDX3_MONDO,ENSMODP00000002675,MONDO,1.0,,,,,,,,,,1,,,,
H2Q9F1,H2Q9F1_PANTR,ENSPTRP00000012085,PANTR,1.0,,,,,,,,,,1,,,,
H2R1V3,H2R1V3_PANTR,ENSPTRP00000042955,PANTR,1.0,,,,,,,,,,1,,,,
H2RSK3,H2RSK3_TAKRU,ENSTRUP00000003119,TAKRU,1.0,,,,,,,,,,1,,,,
H2RX18,H2RX18_TAKRU,ENSTRUP00000004688,TAKRU,1.0,,,,,,,,,,1,,,,
H2SS59,H2SS59_TAKRU,ENSTRUP00000015246,TAKRU,1.0,,,,,,,,,,1,,,,
H2UXP7,H2UXP7_TAKRU,ENSTRUP00000041726,TAKRU,1.0,,,,,,,,,,1,,,,
A9V5A7,A9V5A7_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
Q17652,nan,nan,nan,1.0,,,,,,,,,1,,,,,
Q1MTB2,Q1MTB2_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
F6ZUA5,F6ZUA5_MACMU,ENSMMUP00000017215,MACMU,1.0,,,,,,,,,,1,,,,
Q8CIR4,TRPM6_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q923J1,TRPM7_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q925B3,TRPM7_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
Q96QT4,TRPM7_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q9BX84,TRPM6_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q9JJH7,TRPM5_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q9NZQ8,TRPM5_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
