ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2UUY3,H2UUY3_TAKRU,ENSTRUP00000040758,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B7PUW5,B7PUW5_IXOSC,nan,IXOSC,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6IDB6,Q6IDB6_ARATH,nan,ARATH,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5E9J7,ADAT2_BOVIN,ENSBTAP00000037541,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7Z6V5,ADAT2_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QTU8,H2QTU8_PANTR,ENSPTRP00000031859,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7AK44,F7AK44_XENTR,ENSXETP00000021557,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1P565,F1P565_CHICK,ENSGALP00000031149,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2R9C9,E2R9C9_CANFA,ENSCAFP00000000422,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6P6J0,ADAT2_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9VEM0,Q9VEM0_DROME,nan,DROME,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B1H1I4,B1H1I4_DANRE,nan,DANRE,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q5KFU2,Q5KFU2_CRYNJ,nan,CRYNJ,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
F7GAS0,F7GAS0_MACMU,ENSMMUP00000007091,MACMU,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
P47058,TAD2_YEAST,nan,YEAST,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
F6T4D9,F6T4D9_MONDO,ENSMODP00000021543,MONDO,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
Q95QD6,Q95QD6_CAEEL,nan,CAEEL,13.0,1,1,1,,1,1,1,1,1,1,1,1,1,1
B8BW62,B8BW62_THAPS,nan,THAPS,13.0,1,1,1,1,1,1,1,1,,1,1,1,1,1
Q6C5Z8,Q6C5Z8_YARLI,nan,YARLI,12.0,1,1,1,1,1,1,1,1,1,1,1,,,1
Q54JE5,Q54JE5_DICDI,nan,DICDI,12.0,1,1,,1,1,1,1,1,,1,1,1,1,1
