ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B7PUX0,B7PUX0_IXOSC,nan,IXOSC,6.0,,,1,1,,,,1,,1,,1,1,
A2RVN3,A2RVN3_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
A7E499,A7E499_SCLS1,nan,SCLS1,2.0,,,,,,,,,,,,1,1,
P05093,CP17A_HUMAN,nan,HUMAN,2.0,,,,,,,,1,,,,1,,
Q0UUU7,Q0UUU7_PHANO,nan,PHANO,2.0,,,,,,,,,,,,1,1,
Q9LHR3,Q9LHR3_ARATH,nan,ARATH,2.0,,,,,,,,,,,,1,1,
C3YXW5,C3YXW5_BRAFL,nan,BRAFL,2.0,,,1,1,,,,,,,,,,
Q9LKP9,nan,nan,nan,2.0,,,,,,,,,,,,1,1,
A7F4S8,A7F4S8_SCLS1,nan,SCLS1,2.0,,,,,,,,,,,,1,1,
Q0UC37,Q0UC37_PHANO,nan,PHANO,2.0,,,,,,,,,,,,1,1,
Q01741,CP1A2_CHICK,nan,CHICK,1.0,,,,,,,,,,1,,,,
Q27523,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q27470,Q27470_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q27465,Q27465_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q16874,Q16874_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
Q9VWR5,CP306_DROME,nan,DROME,1.0,,,,,,,,,,,,1,,
nan,nan,ENSBTAP00000043893,BOVIN,1.0,,,,,,,,1,,,,,,
P08686,CP21A_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,1,,
P27786,CP17A_MOUSE,nan,MOUSE,1.0,,,,,,,,1,,,,,,
P11715,CP17A_RAT,nan,RAT,1.0,,,,,,,,1,,,,,,
O16672,O16672_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
H2Q9T0,H2Q9T0_PANTR,ENSPTRP00000012463,PANTR,1.0,,,,,,,,1,,,,,,
F6WI15,F6WI15_MACMU,ENSMMUP00000023165,MACMU,1.0,,,,,,,,1,,,,,,
F6U9J6,F6U9J6_CIOIN,ENSCINP00000019138,CIOIN,1.0,,,,,,,,,,1,,,,
F1MJA7,F1MJA7_BOVIN,ENSBTAP00000019061,BOVIN,1.0,,,,,,,,1,,,,,,
B8BVW8,B8BVW8_THAPS,nan,THAPS,1.0,,,,,,,,,,,,1,,
A9T0S5,A9T0S5_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
A9RRT9,A9RRT9_PHYPA,nan,PHYPA,1.0,,,,,,,,,,,,,1,
A7S0I4,A7S0I4_NEMVE,nan,NEMVE,1.0,,,,,,,,1,,,,,,
nan,nan,ENSGALP00000002010,CHICK,1.0,,,,,,,,,,1,,,,
