ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B7Q418,B7Q418_IXOSC,nan,IXOSC,9.0,1,1,,,1,1,1,,,1,1,1,,1
F6XK41,F6XK41_MONDO,ENSMODP00000017680,MONDO,2.0,,,,,1,,,,,,1,,,
Q96DZ5,CLIP3_HUMAN,nan,HUMAN,2.0,,,,,1,,,,,,1,,,
H2TUZ0,H2TUZ0_TAKRU,ENSTRUP00000028499,TAKRU,2.0,,,,,1,,,,,,1,,,
P34531,YM92_CAEEL,nan,CAEEL,2.0,1,,,,,1,,,,,,,,
F1PR86,F1PR86_CANFA,ENSCAFP00000009956,CANFA,2.0,,,,,1,,,,,,1,,,
Q4PET7,Q4PET7_USTMA,nan,USTMA,2.0,1,1,,,,,,,,,,,,
F7CAQ9,F7CAQ9_MACMU,ENSMMUP00000025889,MACMU,2.0,,,,,1,,,,,,1,,,
E1BAL0,E1BAL0_BOVIN,ENSBTAP00000026221,BOVIN,2.0,,,,,1,,,,,,1,,,
D4A507,D4A507_RAT,nan,RAT,2.0,,,,,1,,,,,,1,,,
Q7S1L4,Q7S1L4_NEUCR,nan,NEUCR,2.0,,,,,,1,1,,,,,,,
H2QG54,H2QG54_PANTR,ENSPTRP00000018639,PANTR,2.0,,,,,1,,,,,,1,,,
C4Q2S0,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
C3Y9S5,C3Y9S5_BRAFL,nan,BRAFL,2.0,,,,,1,,,,,,1,,,
B9EHT4,CLIP3_MOUSE,nan,MOUSE,2.0,,,,,1,,,,,,1,,,
B0JZD5,B0JZD5_XENTR,ENSXETP00000006040,XENTR,2.0,,,,,1,,,,,,1,,,
Q1RP74,Q1RP74_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
H2QG58,H2QG58_PANTR,ENSPTRP00000018649,PANTR,1.0,,,,,,,,,,1,,,,
H2R8W0,H2R8W0_PANTR,ENSPTRP00000052065,PANTR,1.0,,,,,,,,,,,1,,,
H2T2V3,H2T2V3_TAKRU,ENSTRUP00000018991,TAKRU,1.0,,,,,,,,,,,,,,1
H2TNQ2,H2TNQ2_TAKRU,ENSTRUP00000026308,TAKRU,1.0,,,,,,,,,,,1,,,
H2TUB5,H2TUB5_TAKRU,ENSTRUP00000028274,TAKRU,1.0,,,,,,,,,,1,,,,
nan,nan,ENSPTRP00000009475,PANTR,1.0,,,,,,,,,,,,,,1
P30622,CLIP1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,,1
Q99426,TBCB_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
Q9JK25,Q9JK25_RAT,nan,RAT,1.0,,,,,,,,,,,,,,1
Q922J3,CLIP1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,,1
Q4QDC2,Q4QDC2_LEIMA,nan,LEIMA,1.0,1,,,,,,,,,,,,,
Q5A6R8,Q5A6R8_CANAL,nan,CANAL,1.0,,,,,,,,,,1,,,,
Q7PQM8,Q7PQM8_ANOGA,nan,ANOGA,1.0,,,,,,,,,,1,,,,
Q9D1E6,TBCB_MOUSE,nan,MOUSE,1.0,,,,,,,,,,1,,,,
Q8CI96,CLIP4_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
Q8N3C7,CLIP4_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q1W1V7,Q1W1V7_RAT,nan,RAT,1.0,,,,,,,,,,1,,,,
A7EZE1,A7EZE1_SCLS1,nan,SCLS1,1.0,,,,,,,,,,1,,,,
F7A412,F7A412_MACMU,ENSMMUP00000000707,MACMU,1.0,,,,,,,,,,1,,,,
E2QYN0,E2QYN0_CANFA,ENSCAFP00000009856,CANFA,1.0,,,,,,,,,,1,,,,
A9V6F9,A9V6F9_MONBE,nan,MONBE,1.0,,,,,,,,,,,,1,,
B8BZJ9,B8BZJ9_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
C3Z491,C3Z491_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
C4QAV3,nan,nan,nan,1.0,,,,,,,,,,1,,,,
C4QAV4,nan,nan,nan,1.0,,,,,,,,,,1,,,,
C4QAV5,nan,nan,nan,1.0,,,,,,,,,,1,,,,
D3ZS86,nan,nan,nan,1.0,,,,,,,,,,,1,,,
D3ZUK8,nan,nan,nan,1.0,,,,,,,,,,,,,,1
E1BTW2,E1BTW2_CHICK,nan,CHICK,1.0,,,,,,,,,,,1,,,
E2QWD0,E2QWD0_CANFA,ENSCAFP00000011688,CANFA,1.0,,,,,,,,,,,,,,1
E3W9A2,E3W9A2_BOVIN,ENSBTAP00000022319,BOVIN,1.0,,,,,,,,,,,,,,1
F6YGW0,F6YGW0_MONDO,ENSMODP00000015343,MONDO,1.0,,,,,,,,,,,,,,1
E7F582,E7F582_DANRE,ENSDARP00000099404,DANRE,1.0,,,,,,,,,,,,,,1
F1MUQ4,F1MUQ4_BOVIN,ENSBTAP00000009702,BOVIN,1.0,,,,,,,,,,,1,,,
F1PZ33,F1PZ33_CANFA,ENSCAFP00000007903,CANFA,1.0,,,,,,,,,,,1,,,
F6T4A4,F6T4A4_MACMU,ENSMMUP00000028874,MACMU,1.0,,,,,,,,,,,,,,1
F6U7B4,F6U7B4_MONDO,ENSMODP00000017723,MONDO,1.0,,,,,,,,,,1,,,,
F6VH63,F6VH63_MONDO,ENSMODP00000019392,MONDO,1.0,,,,,,,,,,,1,,,
F6WSY8,F6WSY8_ORNAN,ENSOANP00000009913,ORNAN,1.0,,,,,,,,,,,,,,1
F6X7X1,F6X7X1_ORNAN,ENSOANP00000022805,ORNAN,1.0,,,,,,,,,,,1,,,
A9UR15,A9UR15_MONBE,nan,MONBE,1.0,1,,,,,,,,,,,,,
F6Y2T0,F6Y2T0_MACMU,ENSMMUP00000036642,MACMU,1.0,,,,,,,,,,,1,,,
nan,nan,ENSXETP00000008212,XENTR,1.0,,,,,,,,,,,,,,1
