ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B7QDD6,B7QDD6_IXOSC,nan,IXOSC,7.0,1,1,1,1,,1,,,,1,,1,,
O01699,O01699_CAEEL,nan,CAEEL,3.0,1,1,,,,1,,,,,,,,
A7EQR4,A7EQR4_SCLS1,nan,SCLS1,1.0,,,,1,,,,,,,,,,
Q0TWB5,Q0TWB5_PHANO,nan,PHANO,1.0,,,,,,,,,,1,,,,
Q9RX57,Q9RX57_DEIRA,nan,DEIRA,1.0,,,,,,,,,,1,,,,
Q7PRM2,Q7PRM2_ANOGA,nan,ANOGA,1.0,,,1,,,,,,,,,,,
Q59PF6,Q59PF6_CANAL,nan,CANAL,1.0,,,,1,,,,,,,,,,
Q54YM3,Q54YM3_DICDI,nan,DICDI,1.0,,,,,,,,,,1,,,,
Q54W50,Q54W50_DICDI,nan,DICDI,1.0,,,,1,,,,,,,,,,
O69743,nan,nan,nan,1.0,,,,,,,,,,1,,,,
P72605,P72605_SYNY3,nan,SYNY3,1.0,,,,,,,,,,1,,,,
A7SXQ3,A7SXQ3_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
F6QG59,F6QG59_MACMU,ENSMMUP00000025299,MACMU,1.0,,,,1,,,,,,,,,,
E9ACW3,E9ACW3_LEIMA,nan,LEIMA,1.0,,,,1,,,,,,,,,,
A9WJC6,A9WJC6_CHLAA,nan,CHLAA,1.0,,,,,,,,,,1,,,,
A9WDS4,A9WDS4_CHLAA,nan,CHLAA,1.0,,,,,,,,,,1,,,,
Q9W4M2,Q9W4M2_DROME,nan,DROME,1.0,,,1,,,,,,,,,,,
