ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B7QDT2,B7QDT2_IXOSC,nan,IXOSC,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7PKK5,Q7PKK5_ANOGA,nan,ANOGA,13.0,1,1,1,1,1,1,1,1,1,1,1,1,,1
Q8T0D9,Q8T0D9_DROME,nan,DROME,13.0,1,1,1,1,1,1,1,1,1,1,1,1,,1
F7EHM4,F7EHM4_XENTR,ENSXETP00000025039,XENTR,10.0,,1,,,1,1,1,1,1,,1,1,1,1
C3YXN7,C3YXN7_BRAFL,nan,BRAFL,10.0,1,1,,,1,1,,1,1,,1,1,1,1
D3ZSI6,D3ZSI6_RAT,nan,RAT,9.0,,,,,1,1,1,1,1,,1,1,1,1
H2Q4Q5,H2Q4Q5_PANTR,ENSPTRP00000007325,PANTR,9.0,,1,,,1,1,,1,1,,1,1,1,1
Q9C0D7,ZC12C_HUMAN,nan,HUMAN,8.0,,1,,,1,,,1,1,,1,1,1,1
E1BV30,E1BV30_CHICK,nan,CHICK,8.0,,1,,,,1,,1,1,,1,1,1,1
G3X9I7,G3X9I7_MOUSE,ENSMUSP00000080820,MOUSE,8.0,,1,,,,1,,1,1,,1,1,1,1
F1PY50,F1PY50_CANFA,ENSCAFP00000004893,CANFA,8.0,,,,,,1,1,1,1,,1,1,1,1
A2CF02,nan,nan,nan,8.0,,,,,,1,1,1,1,,1,1,1,1
Q5DTV4,ZC12C_MOUSE,nan,MOUSE,7.0,,,,,1,,,1,1,,1,1,1,1
F7ANE2,F7ANE2_ORNAN,ENSOANP00000003265,ORNAN,7.0,,,,,,1,,1,1,,1,1,1,1
F1P7A3,F1P7A3_CANFA,ENSCAFP00000021101,CANFA,7.0,,1,,,1,,,1,1,,1,1,,1
F6V0S6,F6V0S6_ORNAN,ENSOANP00000009990,ORNAN,7.0,,,,,1,,1,1,1,,1,1,,1
E7FGC9,E7FGC9_DANRE,ENSDARP00000061719,DANRE,7.0,,1,,,,,,1,1,,1,1,1,1
A6QQJ8,ZC12A_BOVIN,ENSBTAP00000015041,BOVIN,7.0,,,,,,1,,1,1,,1,1,1,1
Q5HYM0,ZC12B_HUMAN,nan,HUMAN,7.0,,,,,,1,,1,1,,1,1,1,1
E1BTA2,E1BTA2_CHICK,nan,CHICK,7.0,,,,,,,1,1,1,,1,1,1,1
F6RGY4,F6RGY4_MACMU,ENSMMUP00000013530,MACMU,7.0,,1,,,,,,1,1,,1,1,1,1
F7CZ87,F7CZ87_MONDO,ENSMODP00000022187,MONDO,7.0,,,,,,1,,1,1,,1,1,1,1
H2TPR0,H2TPR0_TAKRU,ENSTRUP00000026666,TAKRU,7.0,,,,,1,,1,1,,,1,1,1,1
Q5D1E7,ZC12A_MOUSE,nan,MOUSE,7.0,,,,,,,1,1,1,,1,1,1,1
H2PYN9,H2PYN9_PANTR,ENSPTRP00000000962,PANTR,7.0,,,,,,,1,1,1,,1,1,1,1
Q5D1E8,ZC12A_HUMAN,nan,HUMAN,7.0,,,,,,,1,1,1,,1,1,1,1
F7E8N8,F7E8N8_MONDO,ENSMODP00000018180,MONDO,6.0,,,,,1,,,1,1,,1,1,,1
F7A243,F7A243_MONDO,ENSMODP00000006413,MONDO,6.0,,1,,,,,,1,1,,1,1,,1
F6VZ41,F6VZ41_MACMU,ENSMMUP00000002992,MACMU,6.0,,,,,1,,,1,1,,1,1,,1
F6VDI2,F6VDI2_MACMU,ENSMMUP00000019662,MACMU,6.0,,,,,,,1,1,,,1,1,1,1
F6UZL1,F6UZL1_MACMU,ENSMMUP00000016082,MACMU,6.0,,,,,,1,,1,1,,1,1,,1
H2SRU6,H2SRU6_TAKRU,ENSTRUP00000015133,TAKRU,6.0,,,,,,1,,1,1,,1,1,,1
F6R2P3,F6R2P3_MONDO,ENSMODP00000021006,MONDO,6.0,,,,,,,1,1,,,1,1,1,1
H2U1P0,H2U1P0_TAKRU,ENSTRUP00000030851,TAKRU,6.0,,1,,,,,,1,1,,1,1,,1
A0JPN4,ZC12A_RAT,nan,RAT,6.0,,,,,,,,1,1,,1,1,1,1
C4Q8Z2,nan,nan,nan,6.0,,,,,1,1,1,1,,1,1,,,
D4ACQ4,D4ACQ4_RAT,nan,RAT,6.0,,,,,,,,1,1,,1,1,1,1
