ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
B1L3P1,B1L3P1_KORCO,nan,KORCO,11.0,1,1,1,1,1,,1,1,,1,1,1,1,
A9WAQ9,A9WAQ9_CHLAA,nan,CHLAA,7.0,1,1,,1,,,1,1,,,,1,1,
Q64442,DHSO_MOUSE,nan,MOUSE,5.0,1,1,,,,,1,1,,1,,,,
Q6C648,Q6C648_YARLI,nan,YARLI,5.0,1,1,,,,,1,1,,1,,,,
B0XNP1,B0XNP1_ASPFC,nan,ASPFC,5.0,1,,1,1,,,1,1,,,,,,
B8BSM0,B8BSM0_THAPS,nan,THAPS,5.0,1,,,1,,,1,1,,1,,,,
A7EYS9,A7EYS9_SCLS1,nan,SCLS1,5.0,1,,1,1,,,1,1,,,,,,
Q06004,DHSO_BACSU,nan,BACSU,4.0,,1,,,,,1,1,,1,,,,
Q89JK5,Q89JK5_BRADU,nan,BRADU,4.0,,1,,,,,1,1,,1,,,,
Q9RIY6,Q9RIY6_STRCO,nan,STRCO,4.0,,,,,1,,1,1,,,1,,,
Q5JI69,TDH_THEKO,nan,THEKO,4.0,1,,,1,,,,1,,1,,,,
H2V504,H2V504_TAKRU,ENSTRUP00000044288,TAKRU,4.0,1,,,,,,1,1,,1,,,,
B7QAN4,B7QAN4_IXOSC,nan,IXOSC,4.0,1,1,,,,,,1,,1,,,,
F7GFN5,F7GFN5_MONDO,ENSMODP00000022049,MONDO,4.0,1,1,,,,,,1,,1,,,,
Q9WYD4,Q9WYD4_THEMA,nan,THEMA,4.0,1,1,,1,,,,1,,,,,,
Q7UT38,Q7UT38_RHOBA,nan,RHOBA,4.0,1,1,,,,,1,1,,,,,,
A6V001,A6V001_PSEA7,nan,PSEA7,4.0,,1,,,,,1,1,,1,,,,
C4Q967,nan,nan,nan,3.0,,,,,,,1,,,1,,,1,
P0DMQ6,DHSO_CHICK,ENSGALP00000003637,CHICK,3.0,1,,,,,,,1,,1,,,,
F1PXG0,F1PXG0_CANFA,ENSCAFP00000020140,CANFA,3.0,1,,,,,,,1,,1,,,,
F6XVN0,F6XVN0_MACMU,ENSMMUP00000021010,MACMU,3.0,1,,,,,,,1,,1,,,,
Q4Q4F7,Q4Q4F7_LEIMA,nan,LEIMA,3.0,1,,,,,,1,,,1,,,,
B8DZN7,B8DZN7_DICTD,nan,DICTD,3.0,,,1,,,,,1,,1,,,,
H2Q9C4,H2Q9C4_PANTR,ENSPTRP00000012010,PANTR,3.0,1,,,,,,,1,,1,,,,
C3ZND0,C3ZND0_BRAFL,nan,BRAFL,3.0,,,1,,,,1,1,,,,,,
Q00796,DHSO_HUMAN,nan,HUMAN,3.0,1,,,,,,,1,,1,,,,
P36624,DHSO_SCHPO,nan,SCHPO,3.0,1,,,,,,1,1,,,,,,
Q89Z65,Q89Z65_BACTN,nan,BACTN,3.0,,,,1,1,,,,,,1,,,
Q97VB8,Q97VB8_SULSO,nan,SULSO,3.0,,,,,1,,,,,1,1,,,
A9V4H2,A9V4H2_MONBE,nan,MONBE,3.0,1,,,,,,1,1,,,,,,
A8E5K1,A8E5K1_DANRE,nan,DANRE,3.0,1,,,,,,,1,,1,,,,
Q5AGM8,Q5AGM8_CANAL,nan,CANAL,2.0,,,,,,,1,1,,,,,,
P77280,YDJJ_ECOLI,nan,ECOLI,2.0,,,,,,,,1,,1,,,,
nan,nan,ENSBTAP00000048854,BOVIN,2.0,,,,,,,,,,,,1,1,
Q9X9X1,Q9X9X1_STRCO,nan,STRCO,2.0,1,,1,,,,,,,,,,,
Q9RTU4,TDH_DEIRA,nan,DEIRA,2.0,,,,1,,,,1,,,,,,
Q07993,XYL2_YEAST,nan,YEAST,2.0,,,,,,,1,1,,,,,,
Q0UDN4,Q0UDN4_PHANO,nan,PHANO,2.0,,,,,,,1,1,,,,,,
Q21702,Q21702_CAEEL,nan,CAEEL,2.0,,,,,,,1,1,,,,,,
Q4PHK1,Q4PHK1_USTMA,nan,USTMA,2.0,,,,,,,1,1,,,,,,
Q7NLF7,Q7NLF7_GLOVI,nan,GLOVI,2.0,,,,,,,,,,,,1,1,
Q9RDN5,Q9RDN5_STRCO,nan,STRCO,2.0,,,,,,,,,,1,,,1,
P39714,BDH1_YEAST,nan,YEAST,2.0,,,,1,,,,1,,,,,,
Q5KJK1,Q5KJK1_CRYNJ,nan,CRYNJ,2.0,,,1,,,,,1,,,,,,
Q97UH6,GLCD2_SULSO,nan,SULSO,2.0,,,,,,,,,,,,1,1,
Q8TTL3,Q8TTL3_METAC,nan,METAC,2.0,1,,,,,,1,,,,,,,
Q8A1P2,Q8A1P2_BACTN,nan,BACTN,2.0,1,,,,,,,1,,,,,,
Q7UKR2,Q7UKR2_RHOBA,nan,RHOBA,2.0,,,,,,,,,,,,1,1,
Q7NNP1,Q7NNP1_GLOVI,nan,GLOVI,2.0,,,,1,,,1,,,,,,,
Q74FN3,Q74FN3_GEOSL,nan,GEOSL,2.0,1,1,,,,,,,,,,,,
Q9FJ95,DHSO_ARATH,nan,ARATH,2.0,,,,,,,,1,,1,,,,
nan,nan,ENSXETP00000027022,XENTR,2.0,,,,,,,1,1,,,,,,
O53904,nan,nan,nan,2.0,,,,,,,1,1,,,,,,
P38105,RSPB_ECOLI,nan,ECOLI,2.0,,,,,,,1,1,,,,,,
A7RKY5,A7RKY5_NEMVE,nan,NEMVE,2.0,,,,,,,1,1,,,,,,
P27867,DHSO_RAT,nan,RAT,2.0,,,,,,,1,1,,,,,,
B5YJ85,B5YJ85_THEYD,nan,THEYD,2.0,,,,,,,1,1,,,,,,
B0R896,B0R896_HALS3,nan,HALS3,2.0,,,,,,,1,,,1,,,,
O97479,O97479_DROME,nan,DROME,2.0,,,,,,,1,1,,,,,,
A7SKJ4,A7SKJ4_NEMVE,nan,NEMVE,2.0,,,,1,,,,1,,,,,,
B0R3D8,B0R3D8_HALS3,nan,HALS3,2.0,,,,,,,,,,,,1,1,
B0XX56,B0XX56_ASPFC,nan,ASPFC,2.0,,,,,1,,,,,,1,,,
O93715,GLCDH_SULSF,nan,SULSO,2.0,,,,,,,,,,,,1,1,
A9TU37,A9TU37_PHYPA,nan,PHYPA,2.0,,,,,,,1,1,,,,,,
F6W2S7,F6W2S7_CIOIN,ENSCINP00000004620,CIOIN,2.0,,,,,,,1,1,,,,,,
P39400,LGOD_ECOLI,nan,ECOLI,1.0,,,,,,,,1,,,,,,
B0Y156,B0Y156_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
B0YAG7,B0YAG7_ASPFC,nan,ASPFC,1.0,,,,,,,,1,,,,,,
Q89G16,Q89G16_BRADU,nan,BRADU,1.0,,,,1,,,,,,,,,,
B0YC65,XYL2_ASPFC,nan,ASPFC,1.0,,,,,,,,1,,,,,,
Q89F70,Q89F70_BRADU,nan,BRADU,1.0,,,,,,,,1,,,,,,
Q7UU62,Q7UU62_RHOBA,nan,RHOBA,1.0,,,,,,,,,,1,,,,
Q7US13,Q7US13_RHOBA,nan,RHOBA,1.0,,,,1,,,,,,,,,,
Q8F8S7,Q8F8S7_LEPIN,nan,LEPIN,1.0,,,,,,,1,,,,,,,
Q97YT7,Q97YT7_SULSO,nan,SULSO,1.0,,,,1,,,,,,,,,,
Q97TZ4,Q97TZ4_SULSO,nan,SULSO,1.0,,,,,,,,1,,,,,,
Q97U21,GLCD3_SULSO,nan,SULSO,1.0,,,,,,,,,,,,,1,
B5YKT8,B5YKT8_THEYD,nan,THEYD,1.0,,,,,,,,1,,,,,,
A9V0K5,A9V0K5_MONBE,nan,MONBE,1.0,,,,,,,,1,,,,,,
A9RYI0,A9RYI0_PHYPA,nan,PHYPA,1.0,,,,,,,,1,,,,,,
A7SU04,A7SU04_NEMVE,nan,NEMVE,1.0,1,,,,,,,,,,,,,
Q9RZE4,Q9RZE4_DEIRA,nan,DEIRA,1.0,,,,,,,1,,,,,,,
Q9WYP3,Q9WYP3_THEMA,nan,THEMA,1.0,,,,,,,1,,,,,,,
Q9WYR7,Q9WYR7_THEMA,nan,THEMA,1.0,,,,,,,,,,1,,,,
A7EKY1,A7EKY1_SCLS1,nan,SCLS1,1.0,,,,,,,,1,,,,,,
Q7UR16,Q7UR16_RHOBA,nan,RHOBA,1.0,,,,,,,,1,,,,,,
Q7QAQ6,Q7QAQ6_ANOGA,nan,ANOGA,1.0,,,,,,,,1,,,,,,
Q7T2J4,Q7T2J4_DANRE,nan,DANRE,1.0,,,,,,,1,,,,,,,
Q7SFE0,Q7SFE0_NEUCR,nan,NEUCR,1.0,,,,,,,,1,,,,,,
P73138,FRMA_SYNY3,nan,SYNY3,1.0,,,,,,,,,,1,,,,
P35497,DHSO1_YEAST,nan,YEAST,1.0,,,,,,,,1,,,,,,
P0A9S3,GATD_ECOLI,nan,ECOLI,1.0,,,,,,,,1,,,,,,
Q07786,DHSO2_YEAST,nan,YEAST,1.0,,,,,,,,1,,,,,,
Q0TXS2,Q0TXS2_PHANO,nan,PHANO,1.0,,,,,,,,1,,,,,,
Q0UA24,Q0UA24_PHANO,nan,PHANO,1.0,,,,,,,,1,,,,,,
O96299,O96299_DROME,nan,DROME,1.0,,,,,,,,1,,,,,,
Q21703,Q21703_CAEEL,nan,CAEEL,1.0,,,,,,,,1,,,,,,
Q4PCL3,Q4PCL3_USTMA,nan,USTMA,1.0,,,,,,,,1,,,,,,
Q4PHJ5,Q4PHJ5_USTMA,nan,USTMA,1.0,,,,,,,,1,,,,,,
O35045,YJMD_BACSU,nan,BACSU,1.0,,,,,,,,1,,,,,,
Q54TC2,ADHX_DICDI,nan,DICDI,1.0,,,,,,,,,,1,,,,
Q58D31,DHSO_BOVIN,ENSBTAP00000035716,BOVIN,1.0,,,,,,,,1,,,,,,
Q5AG92,Q5AG92_CANAL,nan,CANAL,1.0,,,,,,,,1,,,,,,
O34788,BDHA_BACSU,nan,BACSU,1.0,,,,,,,,,,1,,,,
O07737,Y1895_MYCTU,nan,MYCTU,1.0,,,,1,,,,,,,,,,
