ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q4Q6K7,Q4Q6K7_LEIMA,nan,LEIMA,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
B8BU66,B8BU66_THAPS,nan,THAPS,11.0,1,1,1,1,,1,,1,1,1,,1,1,1
Q58487,MVK_METJA,nan,METJA,10.0,1,1,1,1,,,1,1,,1,,1,1,1
Q980D2,MVK_SULSO,nan,SULSO,10.0,1,1,1,1,,,1,1,,1,,1,1,1
Q7PWI8,Q7PWI8_ANOGA,nan,ANOGA,9.0,1,1,,,,1,1,1,1,1,,1,1,
Q09780,KIME_SCHPO,nan,SCHPO,9.0,1,,,1,,1,1,1,1,1,,1,1,
Q5APF6,Q5APF6_CANAL,nan,CANAL,9.0,1,,,1,,1,1,1,1,1,,1,1,
B0Y5X1,B0Y5X1_ASPFC,nan,ASPFC,9.0,1,1,,,,1,1,1,1,1,,1,1,
B1L5T4,B1L5T4_KORCO,nan,KORCO,9.0,1,1,1,1,,,,1,,1,,1,1,1
Q8TT37,Q8TT37_METAC,nan,METAC,9.0,1,1,1,1,,,,1,,1,,1,1,1
A2E1U7,A2E1U7_TRIVA,nan,TRIVA,8.0,1,,,1,,1,,1,1,1,,1,1,
A7EL84,A7EL84_SCLS1,nan,SCLS1,8.0,1,,,,,1,1,1,1,1,,1,1,
Q5JJC6,MVK_THEKO,nan,THEKO,8.0,1,1,1,1,,,1,1,,1,,,1,
Q7K2V9,Q7K2V9_DROME,nan,DROME,8.0,1,,,,,1,1,1,1,1,,1,1,
A9WH18,A9WH18_CHLAA,nan,CHLAA,8.0,1,1,,1,,,,1,,1,,1,1,1
B0R4Z1,B0R4Z1_HALS3,nan,HALS3,7.0,1,,1,1,,,,1,,1,,1,1,
P46086,KIME_ARATH,nan,ARATH,7.0,,,,1,,1,,1,1,1,,1,1,
Q9C2B7,Q9C2B7_NEUCS,nan,NEUCR,7.0,,,,,,1,1,1,1,1,,1,1,
Q5U3I7,Q5U3I7_DANRE,nan,DANRE,7.0,1,,,1,,1,1,,1,1,,,1,
C3Z3Y3,C3Z3Y3_BRAFL,nan,BRAFL,6.0,,,,1,,1,,,1,1,,1,1,
A7SJK4,A7SJK4_NEMVE,nan,NEMVE,6.0,,,,,,1,,1,1,1,,1,1,
A9TKI3,A9TKI3_PHYPA,nan,PHYPA,6.0,,,,1,,1,,1,1,1,,,1,
P07277,KIME_YEAST,nan,YEAST,6.0,,,,,,1,1,,1,1,,1,1,
F6TD59,F6TD59_XENTR,ENSXETP00000040277,XENTR,6.0,,,,,,1,1,,1,1,,1,1,
Q6CEF6,Q6CEF6_YARLI,nan,YARLI,6.0,,,,,,1,1,,1,1,,1,1,
F6S111,F6S111_ORNAN,ENSOANP00000027165,ORNAN,5.0,,,,,,1,,,1,1,,1,1,
F1MMC8,F1MMC8_BOVIN,ENSBTAP00000006828,BOVIN,5.0,,,,,,,1,,1,1,,1,1,
Q65XX9,Q65XX9_CAEEL,nan,CAEEL,5.0,1,,,,,,,,1,1,,1,1,
Q86AG7,KIME_DICDI,nan,DICDI,5.0,,,,,,1,,,1,1,,1,1,
Q0UWF5,Q0UWF5_PHANO,nan,PHANO,4.0,,,,,,1,,1,1,1,,,,
Q03426,KIME_HUMAN,nan,HUMAN,4.0,,,,,,,,,1,1,,1,1,
P17256,KIME_RAT,nan,RAT,4.0,,,,,,,,,1,1,,1,1,
Q9R008,KIME_MOUSE,nan,MOUSE,4.0,,,,,,,,,1,1,,1,1,
H2UNX7,H2UNX7_TAKRU,ENSTRUP00000038648,TAKRU,4.0,,,,,,,,,1,1,,1,1,
E1BZ79,E1BZ79_CHICK,nan,CHICK,4.0,,,,,,,,,1,1,,1,1,
A8B9D7,A8B9D7_GIAIC,nan,GIAIC,4.0,1,,,,,1,1,,1,,,,,
H2Q6U7,H2Q6U7_PANTR,ENSPTRP00000009208,PANTR,4.0,,,,,,,,,1,1,,1,1,
F7HGV8,F7HGV8_MACMU,ENSMMUP00000015309,MACMU,4.0,,,,,,,,,1,1,,1,1,
C4Q8S6,nan,nan,nan,4.0,,,,,,,,,1,1,,1,1,
F6VQR5,F6VQR5_MONDO,ENSMODP00000005543,MONDO,4.0,,,,,,,,,1,1,,1,1,
F1PJQ9,F1PJQ9_CANFA,ENSCAFP00000015951,CANFA,4.0,,,,,,,,,1,1,,1,1,
B7PKR3,B7PKR3_IXOSC,nan,IXOSC,4.0,,,,,,,,,1,1,,1,1,
nan,nan,ENSOANP00000015214,ORNAN,3.0,,,,,,,,,,1,,1,1,
F6ZS66,F6ZS66_CIOIN,ENSCINP00000028204,CIOIN,3.0,1,1,,,,,,1,,,,,,
Q4P317,Q4P317_USTMA,nan,USTMA,2.0,,,,,,,,,,,,1,1,
F7EGU0,F7EGU0_MONDO,ENSMODP00000002948,MONDO,2.0,1,,,,,,,1,,,,,,
Q5K9J3,Q5K9J3_CRYNJ,nan,CRYNJ,2.0,,,,,,,,,,,,1,1,
C3Y252,C3Y252_BRAFL,nan,BRAFL,1.0,1,,,,,,,,,,,,,
H2TLB4,H2TLB4_TAKRU,ENSTRUP00000025469,TAKRU,1.0,1,,,,,,,,,,,,,
A7RIH5,A7RIH5_NEMVE,nan,NEMVE,1.0,1,,,,,,,,,,,,,
C4QIE7,nan,nan,nan,1.0,1,,,,,,,,,,,,,
nan,nan,ENSMODP00000009478,MONDO,1.0,,,,,,,,1,,,,,,
Q9SEE5,GALK1_ARATH,nan,ARATH,1.0,1,,,,,,,,,,,,,
F1MFK7,F1MFK7_BOVIN,ENSBTAP00000005236,BOVIN,1.0,1,,,,,,,,,,,,,
Q6DJ33,Q6DJ33_XENTR,ENSXETP00000019298,XENTR,1.0,1,,,,,,,,,,,,,
E2RDA6,E2RDA6_CANFA,ENSCAFP00000021956,CANFA,1.0,1,,,,,,,,,,,,,
Q68FH4,GALK2_MOUSE,nan,MOUSE,1.0,1,,,,,,,,,,,,,
Q01415,GALK2_HUMAN,nan,HUMAN,1.0,1,,,,,,,,,,,,,
Q5XIG6,GALK2_RAT,nan,RAT,1.0,1,,,,,,,,,,,,,
F6X9G1,F6X9G1_CIOIN,ENSCINP00000010220,CIOIN,1.0,,,,,,,,1,,,,,,
Q54DN6,GALK_DICDI,nan,DICDI,1.0,1,,,,,,,,,,,,,
F7G430,F7G430_MACMU,ENSMMUP00000033650,MACMU,1.0,1,,,,,,,,,,,,,
nan,nan,ENSPTRP00000012056,PANTR,1.0,1,,,,,,,,,,,,,
