ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q4Q7P6,Q4Q7P6_LEIMA,nan,LEIMA,12.0,1,1,1,1,,1,1,1,1,,1,1,1,1
F6XR36,F6XR36_CIOIN,ENSCINP00000017140,CIOIN,4.0,1,,,,,1,,1,,,1,,,
Q5KHP6,Q5KHP6_CRYNJ,nan,CRYNJ,3.0,,,,,,,,1,,,1,,,1
Q8I6M5,Q8I6M5_DROME,nan,DROME,3.0,1,1,,,,,,,,,1,,,
O22040,ANP1_ARATH,nan,ARATH,3.0,,,,,,1,,1,,,1,,,
E9QDE8,E9QDE8_DANRE,ENSDARP00000114050,DANRE,3.0,1,1,,,,,,,,,1,,,
H2R5K3,H2R5K3_PANTR,ENSPTRP00000048240,PANTR,3.0,1,1,,,,,,,,,1,,,
Q0UKQ0,Q0UKQ0_PHANO,nan,PHANO,2.0,,,,,,,,,,,1,,,1
P28829,BYR2_SCHPO,nan,SCHPO,2.0,,,,,,,,,,,1,,,1
B0S8J3,B0S8J3_DANRE,nan,DANRE,2.0,,,,,,,,1,,,1,,,
B0Y3E9,B0Y3E9_ASPFC,nan,ASPFC,2.0,,,,,,,,,,,1,,,1
B8BSW7,B8BSW7_THAPS,nan,THAPS,2.0,,,,,,,,,,,1,,,1
C3XTE7,C3XTE7_BRAFL,nan,BRAFL,2.0,1,,,,,,,,,,1,,,
Q7RVY6,Q7RVY6_NEUCR,nan,NEUCR,2.0,,,,,,,,,,,1,,,1
Q10407,MKH1_SCHPO,nan,SCHPO,2.0,1,,,,,,,,,,1,,,
A9URU1,A9URU1_MONBE,nan,MONBE,2.0,,,,,,,,,,,1,,,1
F1NKW3,F1NKW3_CHICK,ENSGALP00000026448,CHICK,2.0,1,,,,,,,,,,1,,,
Q3ECR2,nan,nan,nan,2.0,,,,,,,,1,,,,,,1
Q5TMZ4,Q5TMZ4_ANOGA,nan,ANOGA,2.0,,,1,1,,,,,,,,,,
Q5KAF9,Q5KAF9_CRYNJ,nan,CRYNJ,2.0,,,,,,,,1,,,1,,,
Q5AHF2,Q5AHF2_CANAL,nan,CANAL,2.0,,,,,,,,,,,1,,,1
E7EXX1,E7EXX1_DANRE,ENSDARP00000079367,DANRE,2.0,,,,,,1,,1,,,,,,
P23561,STE11_YEAST,nan,YEAST,2.0,,,,,,,,,,,1,,,1
Q7Z8J5,Q7Z8J5_YARLL,nan,YARLI,2.0,,,,,,,,,,,1,,,1
A7S149,A7S149_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,1,,,1
O22042,M3K3_ARATH,nan,ARATH,2.0,,,,,,,,1,,,1,,,
A7E5N1,A7E5N1_SCLS1,nan,SCLS1,2.0,,,,,,,,,,,1,,,1
Q9LPH2,Q9LPH2_ARATH,nan,ARATH,2.0,,,,,,,,1,,,,,,1
Q9FZ36,M3K2_ARATH,nan,ARATH,2.0,,,,,,,,1,,,1,,,
F7EB20,F7EB20_MACMU,ENSMMUP00000016267,MACMU,2.0,,,,,,,1,,,,1,,,
O35099,M3K5_MOUSE,nan,MOUSE,2.0,1,,,,,,,,,,1,,,
Q13233,M3K1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q13177,PAK2_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
Q13153,PAK1_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
Q4P5N0,STE20_USTMA,nan,USTMA,1.0,,,,,,,,,1,,,,,
Q12469,SKM1_YEAST,nan,YEAST,1.0,,,,,,,,,1,,,,,
Q17850,PAK1_CAEEL,nan,CAEEL,1.0,,,,,,,,,1,,,,,
Q18637,nan,nan,nan,1.0,,,,,,,,,1,,,,,
Q19KC5,nan,nan,nan,1.0,,,,,,,,,1,,,,,
H2TNG8,H2TNG8_TAKRU,ENSTRUP00000026224,TAKRU,1.0,,,,,,,1,,,,,,,
Q21029,Q21029_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
H2TM27,H2TM27_TAKRU,ENSTRUP00000025732,TAKRU,1.0,,,,,,,,,,,1,,,
Q3ULB5,PAK6_MOUSE,nan,MOUSE,1.0,,,,,,,,,1,,,,,
H2TIP9,H2TIP9_TAKRU,ENSTRUP00000024551,TAKRU,1.0,,,,,,,,,1,,,,,
Q4P6K5,Q4P6K5_USTMA,nan,USTMA,1.0,,,,,,,,,,,,,,1
Q4PE01,Q4PE01_USTMA,nan,USTMA,1.0,,,,,,,,1,,,,,,
H2U726,H2U726_TAKRU,ENSTRUP00000032742,TAKRU,1.0,,,,,,,,,1,,,,,
H2T822,H2T822_TAKRU,ENSTRUP00000020812,TAKRU,1.0,,,,,,,,,1,,,,,
Q4V9B9,Q4V9B9_DANRE,nan,DANRE,1.0,,,,,,,,,1,,,,,
H2SSQ5,H2SSQ5_TAKRU,ENSTRUP00000015442,TAKRU,1.0,,,,,,,,,,,1,,,
H2SHM8,H2SHM8_TAKRU,ENSTRUP00000011910,TAKRU,1.0,,,,,,,,,1,,,,,
Q54QI2,Y9877_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q54R82,MKKA_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
H2SDT7,H2SDT7_TAKRU,ENSTRUP00000010568,TAKRU,1.0,,,,,,,,,1,,,,,
H2RQT9,H2RQT9_TAKRU,ENSTRUP00000002505,TAKRU,1.0,,,,,,,,,,,1,,,
Q11090,YWY3_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
O53510,nan,nan,nan,1.0,,,,,,,,,,,,1,,
H2UIJ7,H2UIJ7_TAKRU,ENSTRUP00000036768,TAKRU,1.0,,,,,,,,,1,,,,,
Q56UN5,M3K19_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
O75914,PAK3_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
O88643,PAK1_MOUSE,nan,MOUSE,1.0,,,,,,,,,1,,,,,
O95382,M3K6_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
O96013,PAK4_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
P35465,PAK1_RAT,nan,RAT,1.0,,,,,,,,,1,,,,,
P48562,CLA4_YEAST,nan,YEAST,1.0,,,,,,,,,1,,,,,
P50527,STE20_SCHPO,nan,SCHPO,1.0,,,,,,,,,1,,,,,
P53349,M3K1_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
O02105,O02105_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,1,,,
P53599,SSK2_YEAST,nan,YEAST,1.0,,,,,,,1,,,,,,,
P65730,nan,nan,nan,1.0,,,,,,,,,,,,1,,
P74451,P74451_SYNY3,nan,SYNY3,1.0,,,,,,,,,,,,1,,
Q10056,SHK2_SCHPO,nan,SCHPO,1.0,,,,,,,,,1,,,,,
H9L0H2,H9L0H2_CHICK,ENSGALP00000023083,CHICK,1.0,,,,,,,,,1,,,,,
P74745,SPKC_SYNY3,nan,SYNY3,1.0,,,,,,,,,,,,1,,
P95078,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q01389,BCK1_YEAST,nan,YEAST,1.0,,,,,,,,,,,1,,,
Q03497,STE20_YEAST,nan,YEAST,1.0,,,,,,,,,1,,,,,
H2V1B2,H2V1B2_TAKRU,ENSTRUP00000042992,TAKRU,1.0,,,,,,,,,1,,,,,
Q08E52,PAK1_BOVIN,ENSBTAP00000013448,BOVIN,1.0,,,,,,,,,1,,,,,
H2UX21,H2UX21_TAKRU,ENSTRUP00000041500,TAKRU,1.0,,,,,,,,,1,,,,,
Q0U6X8,Q0U6X8_PHANO,nan,PHANO,1.0,,,,,,,,,1,,,,,
Q0UG58,Q0UG58_PHANO,nan,PHANO,1.0,,,,,,,,,1,,,,,
O64741,O64741_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q55F27,Y8656_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,,1
A0JP99,A0JP99_XENTR,ENSXETP00000011654,XENTR,1.0,,,,,,,,,1,,,,,
Q5A5B8,Q5A5B8_CANAL,nan,CANAL,1.0,1,,,,,,,,,,,,,
Q9HEL1,Q9HEL1_NEUCS,nan,NEUCR,1.0,,,,,,,1,,,,,,,
Q8A435,Q8A435_BACTN,nan,BACTN,1.0,,,,,,,,,,,1,,,
Q8AW67,Q8AW67_DANRE,nan,DANRE,1.0,,,,,,,,,1,,,,,
Q8BTW9,PAK4_MOUSE,nan,MOUSE,1.0,,,,,,,,,1,,,,,
Q8C015,PAK7_MOUSE,nan,MOUSE,1.0,,,,,,,,,1,,,,,
Q8CIN4,PAK2_MOUSE,nan,MOUSE,1.0,,,,,,,,,1,,,,,
Q8LPH3,Q8LPH3_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q8S9K4,Q8S9K4_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q92212,nan,nan,nan,1.0,,,,,,,,,1,,,,,
Q94AB2,Q94AB2_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q99683,M3K5_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
Q9C5H5,Q9C5H5_ARATH,nan,ARATH,1.0,,,,,,,,1,,,,,,
Q9C9U5,Q9C9U5_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9CAD5,YODA_ARATH,nan,ARATH,1.0,,,,,,,,1,,,,,,
Q9FPR3,EDR1_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9LMK8,Q9LMK8_ARATH,nan,ARATH,1.0,,,,,,,,,,,1,,,
Q5AP73,nan,nan,nan,1.0,,,,,,,,,1,,,,,
Q9NQU5,PAK6_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
Q9P286,PAK7_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
Q9P496,Q9P496_YARLL,nan,YARLI,1.0,,,,,,,,,1,,,,,
Q9RRH3,RQKA_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,,1,,
Q9RV17,Q9RV17_DEIRA,nan,DEIRA,1.0,,,,,,,,,,,,1,,
Q9VEV1,Q9VEV1_DROME,nan,DROME,1.0,,,,,,,,,1,,,,,
Q9VXE5,PAKM_DROME,nan,DROME,1.0,,,,,,,,,1,,,,,
Q9WTR2,M3K6_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
nan,nan,ENSCAFP00000006761,CANFA,1.0,,,,,,,1,,,,,,,
nan,nan,ENSCAFP00000013214,CANFA,1.0,,,,,,,,,1,,,,,
nan,nan,ENSGALP00000018718,CHICK,1.0,,,,,,,1,,,,,,,
nan,nan,ENSMODP00000032737,MONDO,1.0,,,,,,,,,1,,,,,
nan,nan,ENSPTRP00000038191,PANTR,1.0,,,,,,,,,1,,,,,
nan,nan,ENSPTRP00000047028,PANTR,1.0,,,,,,,,,1,,,,,
Q876Z5,Q876Z5_NEUCS,nan,NEUCR,1.0,1,,,,,,,,,,,,,
Q803Z0,Q803Z0_DANRE,nan,DANRE,1.0,,,,,,,,,1,,,,,
Q7UWP5,Q7UWP5_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,,1,,
Q7UWP3,Q7UWP3_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,,1,,
Q5APR8,CLA4_CANAL,nan,CANAL,1.0,,,,,,,,,1,,,,,
Q5KFY6,Q5KFY6_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,1,,,,,
Q5KHP3,Q5KHP3_CRYNJ,nan,CRYNJ,1.0,,,,,,,,,1,,,,,
Q62925,M3K1_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
Q64303,PAK2_RAT,nan,RAT,1.0,,,,,,,,,1,,,,,
Q6C2D2,Q6C2D2_YARLI,nan,YARLI,1.0,,,,,,,,,,,1,,,
Q6C3D7,STE20_YARLI,nan,YARLI,1.0,,,,,,,,,1,,,,,
Q6CDN7,Q6CDN7_YARLI,nan,YARLI,1.0,,,,1,,,,,,,,,,
Q6GMI1,Q6GMI1_DANRE,nan,DANRE,1.0,,,,,,,,,1,,,,,
Q6IWN3,Q6IWN3_USTMD,nan,USTMA,1.0,,,,,,,,,1,,,,,
