ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q4QJJ4,Q4QJJ4_LEIMA,nan,LEIMA,4.0,1,,,,,1,1,,1,,,,,
A9RPX0,A9RPX0_PHYPA,nan,PHYPA,3.0,1,,,,,1,,,1,,,,,
Q54L59,Q54L59_DICDI,nan,DICDI,3.0,,,,,,1,1,,1,,,,,
B8BS07,B8BS07_THAPS,nan,THAPS,2.0,,,,,,1,,,1,,,,,
A6UYD9,RPPH_PSEA7,nan,PSEA7,1.0,,,,,,,,,1,,,,,
P0A776,RPPH_ECOLI,nan,ECOLI,1.0,,,,,,,,,1,,,,,
Q54FR0,Q54FR0_DICDI,nan,DICDI,1.0,,,,,,,,,1,,,,,
Q89X77,Q89X77_BRADU,nan,BRADU,1.0,,,,,,,,,1,,,,,
Q89X78,RPPH_BRADU,nan,BRADU,1.0,,,,,,,,,1,,,,,
Q8EZ79,Q8EZ79_LEPIN,nan,LEPIN,1.0,,,,,,,,,1,,,,,
Q9C6Z2,NUD25_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9CAF2,NUD26_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9FNH4,NUD27_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
