ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6XJT7,F6XJT7_MACMU,ENSMMUP00000031810,MACMU,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
Q9H0M5,ZN700_HUMAN,nan,HUMAN,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
H2QFE7,H2QFE7_PANTR,ENSPTRP00000017935,PANTR,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
B7PLY3,B7PLY3_IXOSC,nan,IXOSC,2.0,,,,,,,,,1,,,,1,
H9H831,H9H831_MONDO,ENSMODP00000026952,MONDO,2.0,,,,,,,,,,,1,1,,
H9H5X5,H9H5X5_MONDO,ENSMODP00000001755,MONDO,2.0,,,,,,,,,,,,1,1,
F7G7E1,F7G7E1_MONDO,ENSMODP00000001473,MONDO,2.0,,,,,,,,,,,1,1,,
F7G0L1,F7G0L1_MONDO,ENSMODP00000030629,MONDO,2.0,,,,,,,,,,,,1,1,
F7ERB5,F7ERB5_XENTR,ENSXETP00000051767,XENTR,2.0,,,,,,,,,,,,1,1,
F7DLN2,F7DLN2_MONDO,ENSMODP00000018528,MONDO,2.0,,,,,,,,,,,1,1,,
F6SIU6,F6SIU6_MONDO,ENSMODP00000027946,MONDO,2.0,,,,,,,,,,,,1,1,
nan,nan,ENSXETP00000052324,XENTR,2.0,,,,,,,,,,,,1,1,
A7SEP2,A7SEP2_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
A7SMP5,A7SMP5_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
H9GZE5,H9GZE5_DANRE,ENSDARP00000112280,DANRE,1.0,,,,,,,,,,,1,,,
A7RL73,A7RL73_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
H9H726,H9H726_MONDO,ENSMODP00000021206,MONDO,1.0,,,,,,,,,,,,1,,
A7RIQ4,A7RIQ4_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
H9H878,H9H878_MONDO,ENSMODP00000026999,MONDO,1.0,,,,,,,,,,,,,1,
H9H9H2,H9H9H2_MONDO,ENSMODP00000027452,MONDO,1.0,,,,,,,,,,,,1,,
K9J7P9,K9J7P9_XENTR,ENSXETP00000007822,XENTR,1.0,,,,,,,,,,,,,1,
L7N1Y9,L7N1Y9_MOUSE,ENSMUSP00000072912,MOUSE,1.0,,,,,,,,,,,,1,,
O01961,O01961_CAEEL,nan,CAEEL,1.0,,,,,,,,,1,,,,,
O76910,O76910_DROME,nan,DROME,1.0,,,,,,,,,,,1,,,
O88245,O88245_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,1,,
O96395,O96395_DROME,nan,DROME,1.0,,,,,,,,,1,,,,,
Q0IGS1,Q0IGS1_DROME,nan,DROME,1.0,,,,,,,,,1,,,,,
Q1LVU3,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q4PIC7,Q4PIC7_USTMA,nan,USTMA,1.0,,,,,,,,,1,,,,,
Q5CZU2,Q5CZU2_DANRE,nan,DANRE,1.0,,,,,,,,,,,1,,,
Q5SXJ1,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q5TR94,Q5TR94_ANOGA,nan,ANOGA,1.0,,,,,,,,,1,,,,,
Q7PJP7,Q7PJP7_ANOGA,nan,ANOGA,1.0,,,,,,,,,1,,,,,
Q7PMJ1,Q7PMJ1_ANOGA,nan,ANOGA,1.0,,,,,,,,,1,,,,,
Q7PWZ3,Q7PWZ3_ANOGA,nan,ANOGA,1.0,,,,,,,,,1,,,,,
H2UH19,H2UH19_TAKRU,ENSTRUP00000036240,TAKRU,1.0,,,,,,,,,,,1,,,
H2U2C4,H2U2C4_TAKRU,ENSTRUP00000031085,TAKRU,1.0,,,,,,,,,,,1,,,
H2R6C9,H2R6C9_PANTR,ENSPTRP00000049004,PANTR,1.0,,,,,,,,,,,1,,,
A7S2E0,A7S2E0_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
F7C1I2,F7C1I2_MONDO,ENSMODP00000037320,MONDO,1.0,,,,,,,,,,,,1,,
F7C9S0,F7C9S0_MONDO,ENSMODP00000028058,MONDO,1.0,,,,,,,,,,,1,,,
F7CL56,F7CL56_MONDO,ENSMODP00000037183,MONDO,1.0,,,,,,,,,,,,,1,
F7CUA9,F7CUA9_MONDO,ENSMODP00000011032,MONDO,1.0,,,,,,,,,,,,,1,
F7DEK8,F7DEK8_MONDO,ENSMODP00000030189,MONDO,1.0,,,,,,,,,,,,,1,
A7S4B6,A7S4B6_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
F7DQI3,F7DQI3_MONDO,ENSMODP00000013189,MONDO,1.0,,,,,,,,,,,,1,,
F7DV52,F7DV52_MONDO,ENSMODP00000016567,MONDO,1.0,,,,,,,,,,,,1,,
F7DYL1,F7DYL1_MONDO,ENSMODP00000004051,MONDO,1.0,,,,,,,,,,,,1,,
F7EVM8,F7EVM8_MONDO,ENSMODP00000004568,MONDO,1.0,,,,,,,,,,,,,1,
A7RPM1,A7RPM1_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
F7F0Y0,F7F0Y0_MONDO,ENSMODP00000033819,MONDO,1.0,,,,,,,,,,,,,1,
F7F2R1,F7F2R1_MONDO,ENSMODP00000022336,MONDO,1.0,,,,,,,,,,,,,1,
F7FPW1,F7FPW1_MONDO,ENSMODP00000030641,MONDO,1.0,,,,,,,,,,,,,1,
F7FRN9,F7FRN9_ORNAN,ENSOANP00000005737,ORNAN,1.0,,,,,,,,,,,,,1,
A7RU32,A7RU32_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
F7G2J1,F7G2J1_MONDO,ENSMODP00000007911,MONDO,1.0,,,,,,,,,,,,,1,
A7RSV6,A7RSV6_NEMVE,nan,NEMVE,1.0,,,,,,,,,1,,,,,
F7GKL2,F7GKL2_MONDO,ENSMODP00000030443,MONDO,1.0,,,,,,,,,,,,,1,
G3X9T2,G3X9T2_MOUSE,ENSMUSP00000103650,MOUSE,1.0,,,,,,,,,,,1,,,
Q7Q0E6,Q7Q0E6_ANOGA,nan,ANOGA,1.0,,,,,,,,,1,,,,,
Q7Q4J8,Q7Q4J8_ANOGA,nan,ANOGA,1.0,,,,,,,,,1,,,,,
Q80XR7,Q80XR7_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
nan,nan,ENSMODP00000029817,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000014374,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000015789,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000019013,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000022416,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000026031,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000027311,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000027439,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000029661,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000029678,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000029938,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000012041,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000029974,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000030200,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000030350,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000030524,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000030649,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000030674,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000032546,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000037281,MONDO,1.0,,,,,,,,,,,,1,,
nan,nan,ENSMODP00000037325,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000014152,MONDO,1.0,,,,,,,,,,,,,1,
nan,nan,ENSMODP00000010647,MONDO,1.0,,,,,,,,,,,,,1,
Q84MZ4,Q84MZ4_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q9VG72,Q9VG72_DROME,nan,DROME,1.0,,,,,,,,,1,,,,,
