ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7AEP5,F7AEP5_MACMU,ENSMMUP00000039000,MACMU,6.0,,,1,1,1,,,,,1,1,1,,
P22531,SPR2E_HUMAN,nan,HUMAN,4.0,,,1,,1,,,,,,1,1,,
D4A3A8,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
D3ZS07,D3ZS07_RAT,nan,RAT,2.0,,,,,1,,,,,,1,,,
O70559,SPR2H_MOUSE,nan,MOUSE,2.0,,,1,,,,,,,,1,,,
Q96RM1,SPR2F_HUMAN,nan,HUMAN,2.0,,,,,,,,,,,1,1,,
O70558,SPR2G_MOUSE,nan,MOUSE,2.0,,,,,1,,,,,,1,,,
O70556,SPR2E_MOUSE,nan,MOUSE,2.0,,,,,1,,,,,,1,,,
D3ZDH1,D3ZDH1_RAT,nan,RAT,2.0,,,,,,,,,,1,1,,,
D3ZBZ0,D3ZBZ0_RAT,nan,RAT,2.0,,,1,,,,,,,,1,,,
D3ZB69,nan,nan,nan,2.0,,,,,1,,,,,,1,,,
Q9CQK8,SPR2A_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
nan,nan,ENSCAFP00000019181,CANFA,1.0,,,,,,,,,,,1,,,
Q32L04,LELP1_BOVIN,ENSBTAP00000044090,BOVIN,1.0,,,,,,,,,,,1,,,
O70562,SPR2K_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
O70561,SPR2J_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
nan,nan,ENSCINP00000028427,CIOIN,1.0,,,,,,,,,,,1,,,
A7TCB2,A7TCB2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,1,,,
H9KZL5,H9KZL5_CHICK,ENSGALP00000014929,CHICK,1.0,,,,,,,,,,1,,,,
O70555,SPR2D_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
O70554,SPR2B_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,1,,,
B7Q7P5,B7Q7P5_IXOSC,nan,IXOSC,1.0,,,,1,,,,,,,,,,
H2R8M4,H2R8M4_PANTR,ENSPTRP00000051754,PANTR,1.0,,,1,,,,,,,,,,,
F7G6B7,F7G6B7_ORNAN,ENSOANP00000026662,ORNAN,1.0,,,,,,,,,,,1,,,
F6SK50,F6SK50_MONDO,ENSMODP00000021727,MONDO,1.0,,,,,,,,,,,1,,,
D3ZQA8,D3ZQA8_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
D3ZDF6,nan,nan,nan,1.0,,,,,,,,,,,1,,,
D3ZAR3,D3ZAR3_RAT,nan,RAT,1.0,,,,,,,,,,,1,,,
nan,nan,ENSRNOP00000048004,RAT,1.0,,,,,,,,,,,,1,,
