ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7FRC4,F7FRC4_MACMU,ENSMMUP00000029809,MACMU,11.0,1,1,1,1,,1,1,1,1,,,1,1,1
Q8K3K1,USH2A_RAT,nan,RAT,10.0,1,1,1,1,,1,1,1,1,,,1,,1
C3Y0F7,C3Y0F7_BRAFL,nan,BRAFL,6.0,1,1,,,,1,1,1,,,,1,,
A9V3M5,A9V3M5_MONBE,nan,MONBE,5.0,,,,,,1,1,1,,,,,1,1
F6UX68,F6UX68_ORNAN,ENSOANP00000013599,ORNAN,4.0,,,,,,1,1,1,,,,1,,
Q1MTD2,Q1MTD2_DANRE,nan,DANRE,4.0,,,,,,1,1,1,,,,1,,
E1BP05,E1BP05_BOVIN,ENSBTAP00000053495,BOVIN,4.0,,,,,,1,1,1,,,,1,,
E1C9H7,E1C9H7_CHICK,nan,CHICK,4.0,,,,,,1,1,1,,,,1,,
Q2QI47,USH2A_MOUSE,nan,MOUSE,4.0,,,,,,1,1,1,,,,1,,
F1PPM1,F1PPM1_CANFA,ENSCAFP00000015796,CANFA,4.0,,,,,,1,1,1,,,,1,,
F6RF18,F6RF18_CIOIN,ENSCINP00000009921,CIOIN,4.0,,,,,,1,1,1,,,,1,,
F6UDP9,F6UDP9_MONDO,ENSMODP00000005098,MONDO,4.0,,,,,,1,1,1,,,,1,,
A7RNY3,A7RNY3_NEMVE,nan,NEMVE,4.0,,,,,,1,1,1,,,,1,,
H2RCS4,H2RCS4_PANTR,ENSPTRP00000057764,PANTR,4.0,,,,,,1,1,1,,,,1,,
H2RVE5,H2RVE5_TAKRU,ENSTRUP00000004113,TAKRU,4.0,,,,,,1,1,1,,,,1,,
O75445,USH2A_HUMAN,nan,HUMAN,4.0,,,,,,1,1,1,,,,1,,
A7RNY2,A7RNY2_NEMVE,nan,NEMVE,3.0,1,,,,,,,1,,,,1,,
Q17494,Q17494_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
F1NZ77,F1NZ77_CHICK,ENSGALP00000015712,CHICK,1.0,,,,,,,,1,,,,,,
C3ZA73,C3ZA73_BRAFL,nan,BRAFL,1.0,,,,,,,,,,,,1,,
nan,nan,ENSRNOP00000031076,RAT,1.0,,,,,,,,,,,,1,,
nan,nan,ENSRNOP00000062529,RAT,1.0,,,,,,,,,,,,1,,
