ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7GMZ8,F7GMZ8_MACMU,ENSMMUP00000010547,MACMU,11.0,,,1,1,1,1,1,1,1,1,1,1,1,
O60224,SSX4_HUMAN,nan,HUMAN,9.0,,,1,,1,1,1,1,,1,1,1,1,
H2QYJ6,H2QYJ6_PANTR,ENSPTRP00000037524,PANTR,8.0,,,1,1,1,,1,,,1,1,1,1,
E2R1B0,E2R1B0_CANFA,ENSCAFP00000009001,CANFA,7.0,,,1,,,,,1,1,1,1,1,1,
G3X7T5,G3X7T5_BOVIN,ENSBTAP00000042576,BOVIN,7.0,,,,,,1,,1,1,1,1,1,1,
Q6XAR7,Q6XAR7_MOUSE,nan,MOUSE,6.0,,,,,,,,1,1,1,1,1,1,
B1AUS7,B1AUS7_MOUSE,nan,MOUSE,6.0,,,,,,,,1,1,1,1,1,1,
A2BI93,A2BI93_MOUSE,nan,MOUSE,6.0,,,,1,,,,,1,1,1,1,1,
A2BI74,A2BI74_MOUSE,nan,MOUSE,5.0,,,,,,,,,1,1,1,1,1,
Q9CPU1,Q9CPU1_MOUSE,nan,MOUSE,5.0,,,,,,,,,1,1,1,1,1,
Q6XAS4,Q6XAS4_MOUSE,nan,MOUSE,5.0,,,,,,,,,1,1,1,1,1,
Q6XAS3,Q6XAS3_MOUSE,nan,MOUSE,5.0,,,,,,,,,1,1,1,1,1,
F1M0F5,F1M0F5_RAT,ENSRNOP00000037344,RAT,5.0,,,,,,,,,1,1,1,1,1,
Q6XAS2,Q6XAS2_MOUSE,nan,MOUSE,5.0,,,,,,,,,1,1,1,1,1,
Q8C5Z3,Q8C5Z3_MOUSE,nan,MOUSE,4.0,,,,,,,,,1,1,1,1,,
nan,nan,ENSPTRP00000047433,PANTR,3.0,,,,,,1,,1,1,,,,,
D3ZMV2,D3ZMV2_RAT,nan,RAT,3.0,,,,,,,,,1,1,1,,,
Q16385,SSX2_HUMAN,nan,HUMAN,2.0,,,,,,,,1,,1,,,,
D3ZMV2,D3ZMV2_RAT,ENSRNOP00000039558,RAT,2.0,,,,,,,,,,,,1,1,
O60225,SSX5_HUMAN,nan,HUMAN,2.0,,,,,,,,1,,1,,,,
Q16384,SSX1_HUMAN,nan,HUMAN,1.0,,,,,,,,,1,,,,,
H2QYM9,H2QYM9_PANTR,ENSPTRP00000037636,PANTR,1.0,,,,,,,,,,1,,,,
Q7RTT3,SSX9_HUMAN,nan,HUMAN,1.0,,,,,,,,1,,,,,,
Q7RTT5,SSX7_HUMAN,nan,HUMAN,1.0,,,,,,,,1,,,,,,
A6NNU9,nan,nan,nan,1.0,,,,,,,,,,1,,,,
Q99909,SSX3_HUMAN,nan,HUMAN,1.0,,,,,,,,1,,,,,,
A6NEJ1,SSX10_HUMAN,nan,HUMAN,1.0,,,,,,,,,,1,,,,
nan,nan,ENSPTRP00000037635,PANTR,1.0,,,,,,,,,,1,,,,
nan,nan,ENSPTRP00000042469,PANTR,1.0,,,,,,,,,,1,,,,
