ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7H522,F7H522_MACMU,ENSMMUP00000022520,MACMU,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
Q6ZVE7,GOT1A_HUMAN,nan,HUMAN,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
Q2NKV8,GOT1A_BOVIN,ENSBTAP00000013429,BOVIN,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
H2R876,H2R876_PANTR,ENSPTRP00000051291,PANTR,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
D3ZFB0,D3ZFB0_RAT,nan,RAT,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
F1PGA3,F1PGA3_CANFA,ENSCAFP00000014153,CANFA,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
E7F770,E7F770_DANRE,ENSDARP00000110882,DANRE,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
nan,nan,ENSOANP00000011392,ORNAN,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
Q9DCQ3,GOT1A_MOUSE,nan,MOUSE,10.0,1,1,1,1,1,1,1,1,1,,1,,,
F7AP26,F7AP26_MONDO,ENSMODP00000001789,MONDO,10.0,,,1,1,1,1,1,1,,1,1,1,1,
Q5AK48,Q5AK48_CANAL,nan,CANAL,8.0,,,,1,,1,1,1,1,,1,1,1,
Q7S9F1,Q7S9F1_NEUCR,nan,NEUCR,8.0,,,,,,1,1,1,1,1,1,1,1,
B0YER3,B0YER3_ASPFC,nan,ASPFC,8.0,,,,,,1,1,1,1,1,1,1,1,
Q0V1L3,Q0V1L3_PHANO,nan,PHANO,8.0,,,,,,1,1,1,1,1,1,1,1,
A9UQJ2,A9UQJ2_MONBE,nan,MONBE,7.0,,,,,,1,1,1,1,,1,1,1,
Q6CFG5,Q6CFG5_YARLI,nan,YARLI,7.0,,,,,,1,1,1,1,,1,1,1,
Q9SCL4,Q9SCL4_ARATH,nan,ARATH,7.0,,,,,,1,,1,1,1,1,1,1,
Q5KIG9,Q5KIG9_CRYNJ,nan,CRYNJ,7.0,,,,,,1,1,1,1,,1,1,1,
B8C5D4,B8C5D4_THAPS,nan,THAPS,7.0,,,,,,1,1,1,1,,1,1,1,
Q59E43,Q59E43_DROME,nan,DROME,7.0,,,,,,1,,1,1,1,1,1,1,
A2FRZ7,A2FRZ7_TRIVA,nan,TRIVA,6.0,,,,,,1,,1,1,1,,1,1,
A7F641,A7F641_SCLS1,nan,SCLS1,6.0,,,,,,1,1,,1,1,,1,1,
Q4QDM7,Q4QDM7_LEIMA,nan,LEIMA,6.0,,,,,,1,1,1,1,,,1,1,
Q54CL4,GOT1_DICDI,nan,DICDI,6.0,,,1,,,1,,1,1,,,1,1,
Q9USJ2,GOT1_SCHPO,nan,SCHPO,6.0,,,,,,1,1,1,1,,,1,1,
Q03554,GOT1_YEAST,nan,YEAST,6.0,,,,,,,1,1,1,,1,1,1,
A9SRD3,A9SRD3_PHYPA,nan,PHYPA,5.0,,,,,,1,,1,1,,1,,1,
Q20263,GOT1_CAEEL,nan,CAEEL,5.0,,,,,,1,,1,1,,,1,1,
A7S7J0,A7S7J0_NEMVE,nan,NEMVE,5.0,,,,,,,,,1,1,1,1,1,
B7Q4Q5,B7Q4Q5_IXOSC,nan,IXOSC,5.0,,,,,,,,,1,1,1,1,1,
Q7QBY0,Q7QBY0_ANOGA,nan,ANOGA,4.0,,,,,,,,,1,,1,1,1,
Q8I1P5,Q8I1P5_PLAF7,nan,PLAF7,4.0,,,,,,,,,1,,1,1,1,
C3Z1V5,C3Z1V5_BRAFL,nan,BRAFL,4.0,,,,,,1,,,1,,,1,1,
C1M002,C1M002_SCHMA,nan,SCHMA,4.0,,,,,,,,1,1,,,1,1,
B8C495,B8C495_THAPS,nan,THAPS,4.0,,,,,,,,1,1,,,1,1,
Q6NMM1,Q6NMM1_ARATH,nan,ARATH,4.0,,,,,,,,1,1,,,1,1,
Q8GWH4,Q8GWH4_ARATH,nan,ARATH,3.0,,,,,,,,1,,,,1,1,
A2FMN8,A2FMN8_TRIVA,nan,TRIVA,2.0,,,,,,,,,1,,1,,,
Q6Y4S4,KISS1_MOUSE,ENSMUSP00000007433,MOUSE,2.0,,,,,,,,,,,,1,1,
A6V8B2,A6V8B2_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,1,,,
Q7S749,nan,nan,nan,1.0,,,,,,,,,,,1,,,
A7EU62,A7EU62_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
A7F640,A7F640_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,,1,,
A8BAE4,A8BAE4_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
D3KGF6,D3KGF6_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
B8C432,B8C432_THAPS,nan,THAPS,1.0,,,,,,,,,,,1,,,
A9V251,A9V251_MONBE,nan,MONBE,1.0,,,,,,,,,,,1,,,
A8BSZ8,A8BSZ8_GIAIC,nan,GIAIC,1.0,,,,,,,,,,,1,,,
