ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q8TNP0,Q8TNP0_METAC,nan,METAC,11.0,1,1,1,1,,,1,1,1,1,1,1,1,
F6VEX7,F6VEX7_XENTR,ENSXETP00000011433,XENTR,6.0,1,1,,1,,,1,1,,,1,,,
A7SZW2,A7SZW2_NEMVE,nan,NEMVE,5.0,1,,,1,,,1,1,,,1,,,
C4QU90,nan,nan,nan,5.0,1,1,,1,,,,1,,,1,,,
Q55489,Q55489_SYNY3,nan,SYNY3,4.0,,,,,,,1,,,,1,1,1,
B5YI72,B5YI72_THEYD,nan,THEYD,4.0,,,,,,,1,1,,,,1,1,
Q8VDU0,GPSM2_MOUSE,nan,MOUSE,4.0,1,1,,,,,,1,,,1,,,
Q7PWG1,Q7PWG1_ANOGA,nan,ANOGA,4.0,1,,,,,,1,1,,,1,,,
D4A528,D4A528_RAT,nan,RAT,4.0,1,1,,,,,,1,,,1,,,
H2RPF8,H2RPF8_TAKRU,ENSTRUP00000002021,TAKRU,3.0,,,,,,,1,1,,,1,,,
E1BS79,E1BS79_CHICK,nan,CHICK,3.0,,,,,,,1,1,,,1,,,
H2R624,H2R624_PANTR,ENSPTRP00000048673,PANTR,3.0,,,,,,,1,1,,,1,,,
H2UQA8,H2UQA8_TAKRU,ENSTRUP00000039129,TAKRU,3.0,,,,1,,,,,1,,1,,,
F1MF87,F1MF87_BOVIN,ENSBTAP00000031582,BOVIN,3.0,,,,,,,1,1,,,1,,,
F7CVY1,F7CVY1_MONDO,ENSMODP00000002770,MONDO,3.0,,1,,,,,,1,,,1,,,
F6QEW5,F6QEW5_CIOIN,ENSCINP00000018421,CIOIN,3.0,,,,,,,1,1,,,1,,,
Q6IR34,GPSM1_MOUSE,nan,MOUSE,3.0,,,,,,,1,1,,,1,,,
F7FWV6,F7FWV6_ORNAN,ENSOANP00000014058,ORNAN,3.0,,,,,,,1,1,,,1,,,
Q7SYC6,Q7SYC6_DANRE,nan,DANRE,3.0,,,,,,,1,1,,,1,,,
Q86YR5,GPSM1_HUMAN,nan,HUMAN,3.0,,,,,,,1,1,,,1,,,
F6X7B8,F6X7B8_ORNAN,ENSOANP00000008527,ORNAN,3.0,1,,,,,,,1,,,1,,,
F7DSI4,F7DSI4_MACMU,ENSMMUP00000004113,MACMU,3.0,,,,,,,1,1,,,1,,,
B7Q8K9,B7Q8K9_IXOSC,nan,IXOSC,3.0,,,,,,,1,1,,,1,,,
F7DQU8,F7DQU8_XENTR,ENSXETP00000004812,XENTR,3.0,,,,,,,,1,,,,1,1,
Q9VB22,Q9VB22_DROME,nan,DROME,3.0,,,,,,,1,1,,,1,,,
Q9R080,GPSM1_RAT,nan,RAT,3.0,,,,,,,1,1,,,1,,,
P81274,GPSM2_HUMAN,nan,HUMAN,2.0,,,,,,,,1,,,1,,,
A7SXS8,A7SXS8_NEMVE,nan,NEMVE,2.0,,,,,,,,1,,,1,,,
E1BJL1,E1BJL1_BOVIN,ENSBTAP00000028986,BOVIN,2.0,,,,,,,,,1,,1,,,
E1BIX7,E1BIX7_BOVIN,ENSBTAP00000022762,BOVIN,2.0,,,,,,,,1,,,1,,,
A7SWV2,A7SWV2_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,1,
A7SWV6,A7SWV6_NEMVE,nan,NEMVE,2.0,,,,,,,,,,,,1,1,
H2VD85,H2VD85_TAKRU,ENSTRUP00000047179,TAKRU,2.0,,,,,,,,1,,,1,,,
D3ZPG2,D3ZPG2_RAT,nan,RAT,2.0,,,,,,,,,1,,1,,,
H2VE36,H2VE36_TAKRU,ENSTRUP00000047481,TAKRU,2.0,,,,,,,,1,,,1,,,
O32294,RAPG_BACSU,nan,BACSU,2.0,,,,,,,,,,,1,1,,
A7STE7,A7STE7_NEMVE,nan,NEMVE,2.0,,,,,,,,1,,,1,,,
C3ZW56,C3ZW56_BRAFL,nan,BRAFL,2.0,,,,,,,,,1,,1,,,
O42393,RAPSN_CHICK,nan,CHICK,2.0,,,,,,,,,1,,1,,,
P12672,RAPSN_MOUSE,nan,MOUSE,2.0,,,,,,,,,1,,1,,,
C3ZRM3,C3ZRM3_BRAFL,nan,BRAFL,2.0,,,,,,,,1,,,1,,,
A9UUA3,A9UUA3_MONBE,nan,MONBE,2.0,,,,,,,,1,,,1,,,
C3ZLH6,C3ZLH6_BRAFL,nan,BRAFL,2.0,,,,,,,,,,1,,1,,
C3ZHS2,C3ZHS2_BRAFL,nan,BRAFL,2.0,,,1,,,,,,,1,,,,
Q00828,RAPA_BACSU,nan,BACSU,2.0,,,,,,,1,,,,,1,,
Q09485,RAPSN_CAEEL,nan,CAEEL,2.0,,,,,,,,,1,,1,,,
E1BR28,E1BR28_CHICK,nan,CHICK,2.0,,,,,,,,1,,,1,,,
E2R7U6,E2R7U6_CANFA,ENSCAFP00000011492,CANFA,2.0,,,,,,,,,,,1,1,,
E2R0Q9,E2R0Q9_CANFA,ENSCAFP00000029140,CANFA,2.0,,,,,,,,1,,,1,,,
F6V2B9,F6V2B9_CANFA,ENSCAFP00000029453,CANFA,2.0,,,,,,,,1,,,1,,,
A2FM14,A2FM14_TRIVA,nan,TRIVA,2.0,,,,,,,,,,,1,1,,
F7DZ61,F7DZ61_ORNAN,ENSOANP00000012570,ORNAN,2.0,,,,,,,,,1,,1,,,
F7A9N7,F7A9N7_CIOIN,ENSCINP00000023639,CIOIN,2.0,,,,,,,,,1,,1,,,
F6YU04,F6YU04_MACMU,ENSMMUP00000012423,MACMU,2.0,,,,,,,,,1,,1,,,
nan,nan,ENSMODP00000024840,MONDO,2.0,,,,,,,,,1,,1,,,
A7RK43,A7RK43_NEMVE,nan,NEMVE,2.0,,,,,,,,,1,,1,,,
F6VIK9,F6VIK9_XENTR,ENSXETP00000019823,XENTR,2.0,,,,,,,,,1,,1,,,
F6V3D2,F6V3D2_CANFA,ENSCAFP00000012765,CANFA,2.0,,,,,,,,,1,,1,,,
F6UPU9,F6UPU9_MONDO,ENSMODP00000029532,MONDO,2.0,,,,,,,,1,,,1,,,
C3Z7Y7,C3Z7Y7_BRAFL,nan,BRAFL,2.0,1,,,,,,,,,,1,,,
H2PZJ5,H2PZJ5_PANTR,ENSPTRP00000001792,PANTR,2.0,,,,,,,,1,,,1,,,
F6QN66,F6QN66_MACMU,ENSMMUP00000001417,MACMU,2.0,,,,,,,,1,,,1,,,
F1PHV9,F1PHV9_CANFA,ENSCAFP00000017446,CANFA,2.0,,,,,,,,1,,,1,,,
H2R056,H2R056_PANTR,ENSPTRP00000040207,PANTR,2.0,,,,,,,,,1,,1,,,
Q9VSK6,Q9VSK6_DROME,nan,DROME,2.0,,,,,,,,1,,,1,,,
H2SXN7,H2SXN7_TAKRU,ENSTRUP00000017175,TAKRU,2.0,,,,,,,,1,,,1,,,
E7F6A6,E7F6A6_DANRE,ENSDARP00000030591,DANRE,2.0,,,,1,,,,1,,,,,,
H2ULX6,H2ULX6_TAKRU,ENSTRUP00000037947,TAKRU,2.0,,,,,,,,1,,,1,,,
Q13702,RAPSN_HUMAN,nan,HUMAN,2.0,,,,,,,,,1,,1,,,
nan,nan,ENSPTRP00000024453,PANTR,2.0,,,,,,,,1,,,1,,,
Q64HS5,Q64HS5_DANRE,nan,DANRE,2.0,,,,,,,,1,,,1,,,
Q7PQW2,Q7PQW2_ANOGA,nan,ANOGA,2.0,,,,,,,,1,,,1,,,
A7SYB6,A7SYB6_NEMVE,nan,NEMVE,2.0,,,,,,,,,1,,1,,,
C3Z401,C3Z401_BRAFL,nan,BRAFL,2.0,,,,,,,,1,,,1,,,
A9VDF3,A9VDF3_MONBE,nan,MONBE,2.0,,,,,,,,1,,,1,,,
Q7K4Y8,Q7K4Y8_DROME,nan,DROME,2.0,,,,,,,,,1,,1,,,
Q96AY4,TTC28_HUMAN,nan,HUMAN,2.0,,,,,,,,1,,,1,,,
Q5XIZ8,Q5XIZ8_DANRE,nan,DANRE,2.0,,,,,,,,1,,,1,,,
Q8QGW4,Q8QGW4_DANRE,nan,DANRE,2.0,,,,,,,,,1,,1,,,
nan,nan,ENSBTAP00000035585,BOVIN,1.0,,,,,,,,,,,1,,,
H2QF67,H2QF67_PANTR,ENSPTRP00000017683,PANTR,1.0,,,,,,,,,,,1,,,
H2QSR3,H2QSR3_PANTR,ENSPTRP00000030760,PANTR,1.0,,,,,,,,,,,1,,,
Q8NA56,TTC29_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,1,,,
