ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A7EHL3,A7EHL3_SCLS1,nan,SCLS1,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q0UX12,Q0UX12_PHANO,nan,PHANO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2RB98,E2RB98_CANFA,ENSCAFP00000002855,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3YBZ8,C3YBZ8_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B8BZI1,B8BZI1_THAPS,nan,THAPS,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7G822,F7G822_MONDO,ENSMODP00000013290,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QUX0,H2QUX0_PANTR,ENSPTRP00000033177,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2UAB9,H2UAB9_TAKRU,ENSTRUP00000033886,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A9V7S8,A9V7S8_MONBE,nan,MONBE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P10614,CP51_YEAST,nan,YEAST,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P49602,CP51_USTMA,nan,USTMA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q0KKP5,Q0KKP5_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q09736,CP51_SCHPO,nan,SCHPO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q16850,CP51A_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q1ZXH9,CP51_DICDI,nan,DICDI,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8K0C4,CP51A_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7SDI6,Q7SDI6_NEUCR,nan,NEUCR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6RIA7,Q6RIA7_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6CFP4,Q6CFP4_YARLI,nan,YARLI,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6SH93,F6SH93_XENTR,ENSXETP00000007437,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5KQ65,Q5KQ65_CRYNJ,nan,CRYNJ,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q4QGX0,Q4QGX0_LEIMA,nan,LEIMA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q4PJW3,CP51A_BOVIN,ENSBTAP00000002582,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q64654,CP51A_RAT,nan,RAT,13.0,,1,1,1,1,1,1,1,1,1,1,1,1,1
F6S7W9,F6S7W9_ORNAN,ENSOANP00000020769,ORNAN,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q9SAA9,CP511_ARATH,nan,ARATH,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
A9SSM5,A9SSM5_PHYPA,nan,PHYPA,12.0,1,1,1,1,1,1,1,1,1,,1,,1,1
P0A512,nan,nan,nan,12.0,1,1,1,1,1,,1,1,,1,1,1,1,1
B0YC83,B0YC83_ASPFC,nan,ASPFC,10.0,,1,1,,1,1,,1,1,,1,1,1,1
P10613,CP51_CANAL,nan,CANAL,9.0,,,1,,1,1,1,1,1,,1,,1,1
nan,nan,ENSRNOP00000056097,RAT,7.0,,,,,,,,1,1,1,1,1,1,1
B0Y5N0,B0Y5N0_ASPFC,nan,ASPFC,7.0,,,,,,,1,1,1,,1,1,1,1
Q9P4W0,Q9P4W0_CANAX,nan,CANAL,5.0,,,,,,,,1,1,,,1,1,1
Q89YD4,Q89YD4_BRADU,nan,BRADU,2.0,,,,,1,,,,,,1,,,
Q9K498,EIZFM_STRCO,nan,STRCO,2.0,,,,,,,,1,,,,,1,
F6TL65,F6TL65_CIOIN,ENSCINP00000019172,CIOIN,2.0,,,,,,1,,,,,,,1,
Q89VZ9,Q89VZ9_BRADU,nan,BRADU,2.0,,,,,,,,1,,1,,,,
Q54QD0,C5174_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
A7RXU5,A7RXU5_NEMVE,nan,NEMVE,1.0,,,,,,,,,,1,,,,
Q5ZHU7,Q5ZHU7_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,1,
Q5U3D5,Q5U3D5_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
A7RYZ4,A7RYZ4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q59990,CP120_SYNY3,nan,SYNY3,1.0,,,,,,,,,,1,,,,
Q54QD2,C5171_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
F1N3N3,F1N3N3_BOVIN,ENSBTAP00000052728,BOVIN,1.0,,,,,,,,,,,,,1,
A7RWT2,A7RWT2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q54NY3,C554A_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
Q502F8,Q502F8_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
A7S7V0,A7S7V0_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
A7S865,A7S865_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q27477,Q27477_CAEEL,nan,CAEEL,1.0,,,,,,,1,,,,,,,
A7SAR4,A7SAR4_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q64680,CP2DI_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
A7RWT1,A7RWT1_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q6GUQ6,Q6GUQ6_MACMU,ENSMMUP00000020386,MACMU,1.0,,,,,,,,,,,,,1,
Q6P8N9,Q6P8N9_MOUSE,nan,MOUSE,1.0,,,,,,,,,,,,,1,
A7SG24,A7SG24_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q7S3P0,Q7S3P0_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,1,,
Q7S683,Q7S683_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,1,,
A7RQ60,A7RQ60_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q7SDQ4,Q7SDQ4_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,1,,
Q7ZU60,Q7ZU60_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
Q89R90,Q89R90_BRADU,nan,BRADU,1.0,,,,,,,,,,,,,1,
A7RHE7,A7RHE7_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q98T96,Q98T96_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
Q9DG54,Q9DG54_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
Q9FX29,Q9FX29_ARATH,nan,ARATH,1.0,,,,,,,,,,1,,,,
Q9MZY0,CP2E1_CANFA,ENSCAFP00000034940,CANFA,1.0,,,,,,,,,,,,,1,
A7RG47,A7RG47_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q1ZXF3,C5172_DICDI,nan,DICDI,1.0,,,,,,,,,,,1,,,
A7SKW2,A7SKW2_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
F1NT96,F1NT96_CHICK,ENSGALP00000017725,CHICK,1.0,,,,,,,,,,,,,1,
A7SNF8,A7SNF8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
B7P522,B7P522_IXOSC,nan,IXOSC,1.0,,,,,,,1,,,,,,,
H2RQB2,H2RQB2_TAKRU,ENSTRUP00000002327,TAKRU,1.0,,,,,,,,,,,,,1,
H2RJ53,H2RJ53_TAKRU,ENSTRUP00000000166,TAKRU,1.0,,,,,,,,,,,,,1,
B7P816,B7P816_IXOSC,nan,IXOSC,1.0,,,,1,,,,,,,,,,
H2Q2B2,H2Q2B2_PANTR,ENSPTRP00000004854,PANTR,1.0,,,,,,,,,,,,,1,
H2PYZ6,H2PYZ6_PANTR,ENSPTRP00000001226,PANTR,1.0,,,,,,,,,,,,,1,
B8A5Q1,B8A5Q1_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
F7D7J7,F7D7J7_MACMU,ENSMMUP00000027058,MACMU,1.0,,,,,,,,,,,,,1,
F6XVL2,F6XVL2_MACMU,ENSMMUP00000021012,MACMU,1.0,,,,,,,,,,,,,1,
F6XQK6,F6XQK6_MACMU,ENSMMUP00000005343,MACMU,1.0,,,,,,,,,,,,,1,
E2RKV5,E2RKV5_CANFA,ENSCAFP00000015117,CANFA,1.0,,,,,,,,,,,,,1,
F1MTI6,F1MTI6_BOVIN,ENSBTAP00000013230,BOVIN,1.0,,,,,,,,,,,,,1,
F6PLM8,F6PLM8_CIOIN,ENSCINP00000009887,CIOIN,1.0,,,,,,,,,,,,,1,
F1PLR6,F1PLR6_CANFA,ENSCAFP00000006781,CANFA,1.0,,,,,,,,,,,,,1,
F1NUG2,F1NUG2_CHICK,ENSGALP00000014191,CHICK,1.0,,,,,,,,,,,,,1,
H2UEF4,H2UEF4_TAKRU,ENSTRUP00000035323,TAKRU,1.0,,,,,,,,,,,,,1,
H2VAH0,H2VAH0_TAKRU,ENSTRUP00000046211,TAKRU,1.0,,,,,,,,,,,,,1,
H2VD54,H2VD54_TAKRU,ENSTRUP00000047148,TAKRU,1.0,,,,,,,,,,,,,1,
P19099,C11B2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
A7T2W8,A7T2W8_NEMVE,nan,NEMVE,1.0,,,,,,,,,,,,1,,
Q02928,CP4AB_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
P95099,nan,nan,nan,1.0,,,,,,,,,,1,,,,
P51590,CP2J3_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
P51589,CP2J2_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
A7UWN9,A7UWN9_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,1,,
P11711,CP2A1_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
M0QW09,M0QW09_BOVIN,ENSBTAP00000018202,BOVIN,1.0,,,,,,,,,,,,,1,
P10632,CP2C8_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
A7UWX1,A7UWX1_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,,1,,
A9WAV4,A9WAV4_CHLAA,nan,CHLAA,1.0,,,,,,,,,,,,,1,
P05182,CP2E1_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
P05181,CP2E1_HUMAN,nan,HUMAN,1.0,,,,,,,,,,,,,1,
A7F1T0,A7F1T0_SCLS1,nan,SCLS1,1.0,,,,,,,,,,,1,,,
O34926,CYPX_BACSU,nan,BACSU,1.0,,,,1,,,,,,,,,,
