ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
A9VB30,A9VB30_MONBE,nan,MONBE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B8LD59,B8LD59_THAPS,nan,THAPS,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7SHQ1,Q7SHQ1_NEUCR,nan,NEUCR,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
A7ELJ2,A7ELJ2_SCLS1,nan,SCLS1,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
P53206,CYSK_YEAST,nan,YEAST,12.0,1,1,,1,1,1,1,1,1,,1,1,1,1
Q5KCX2,Q5KCX2_CRYNJ,nan,CRYNJ,12.0,1,1,,1,1,1,1,1,1,,1,1,1,1
Q6C6L3,Q6C6L3_YARLI,nan,YARLI,12.0,1,,,1,1,1,1,1,1,1,1,1,1,1
P87131,CYSK2_SCHPO,nan,SCHPO,11.0,1,,,1,1,1,1,1,1,,1,1,1,1
Q6NKY5,Q6NKY5_ARATH,nan,ARATH,11.0,1,1,,,1,1,1,1,1,,1,1,1,1
Q4PCE5,Q4PCE5_USTMA,nan,USTMA,11.0,1,1,,,1,1,1,1,1,,1,1,1,1
Q5ABX6,Q5ABX6_CANAL,nan,CANAL,11.0,1,,,1,1,1,1,1,1,,1,1,1,1
A9T924,A9T924_PHYPA,nan,PHYPA,11.0,1,1,,1,1,1,1,1,1,,1,,1,1
B0Y9U7,B0Y9U7_ASPFC,nan,ASPFC,8.0,,,,1,1,,1,,1,,1,1,1,1
A9JX40,A9JX40_PHANO,nan,PHANO,7.0,,,1,1,,,1,,1,,,1,1,1
Q54CN7,CYSK_DICDI,nan,DICDI,4.0,,,,,1,,,,1,1,1,,,
B1L5E5,B1L5E5_KORCO,nan,KORCO,3.0,,,,,,,1,1,,,,1,,
B0R3R8,B0R3R8_HALS3,nan,HALS3,2.0,,,,,,,,1,,1,,,,
P72662,P72662_SYNY3,nan,SYNY3,2.0,1,,,,,,,,,1,,,,
Q5AC97,Q5AC97_CANAL,nan,CANAL,2.0,,,,,,,,1,,,,,,1
A6UYK9,A6UYK9_PSEA7,nan,PSEA7,1.0,,,,,,,1,,,,,,,
Q7UFE1,Q7UFE1_RHOBA,nan,RHOBA,1.0,,,,1,,,,,,,,,,
Q7USP3,Q7USP3_RHOBA,nan,RHOBA,1.0,,,,,,,,,,1,,,,
Q89XR6,1A1D_BRADU,nan,BRADU,1.0,,,,,,,,,,,1,,,
Q8F5G2,Q8F5G2_LEPIN,nan,LEPIN,1.0,,,,,,,,,,1,,,,
Q980F2,Q980F2_SULSO,nan,SULSO,1.0,,,,,,,,1,,,,,,
Q9C262,Q9C262_NEUCS,nan,NEUCR,1.0,,,,,,,,,,,1,,,
Q9RW80,Q9RW80_DEIRA,nan,DEIRA,1.0,,,,,,,,,,1,,,,
Q89LU0,Q89LU0_BRADU,nan,BRADU,1.0,,,,,,,,,,1,,,,
Q0UAH5,Q0UAH5_PHANO,nan,PHANO,1.0,,,,,,,,,,,1,,,
Q5JIZ7,Q5JIZ7_THEKO,nan,THEKO,1.0,,,,,,,,1,,,,,,
Q4PAX1,Q4PAX1_USTMA,nan,USTMA,1.0,,,,,,,,,,,1,,,
Q0UV41,Q0UV41_PHANO,nan,PHANO,1.0,,,,,,,,,,,,,,1
Q0TYJ1,Q0TYJ1_PHANO,nan,PHANO,1.0,1,,,,,,,,,,,,,
P76316,DCYD_ECOLI,nan,ECOLI,1.0,,,,,,,,,,,1,,,
O67507,CYSM_AQUAE,nan,AQUAE,1.0,,,,,,,,1,,,,,,
O05393,MCCA_BACSU,nan,BACSU,1.0,,,,,,,,,,1,,,,
F7BVD4,F7BVD4_XENTR,ENSXETP00000038318,XENTR,1.0,,,,,,,,,,,,1,,
B8DYI6,B8DYI6_DICTD,nan,DICTD,1.0,,,,,,,,,,1,,,,
B0YEG4,B0YEG4_ASPFC,nan,ASPFC,1.0,,,,,,,,,,,1,,,
B0Y229,B0Y229_ASPFC,nan,ASPFC,1.0,1,,,,,,,,,,,,,
A9TXJ4,A9TXJ4_PHYPA,nan,PHYPA,1.0,,,,,,,,,,1,,,,
Q9WY68,1A1D_THEMA,nan,THEMA,1.0,,,,,,,,,,,1,,,
