ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
Q566C7,NUDT3_RAT,nan,RAT,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
E1C4K9,E1C4K9_CHICK,nan,CHICK,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
F6SCR6,F6SCR6_MONDO,ENSMODP00000017421,MONDO,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,
nan,nan,ENSCAFP00000031171,CANFA,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
H2QSU7,H2QSU7_PANTR,ENSPTRP00000030851,PANTR,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
Q9JI46,NUDT3_MOUSE,nan,MOUSE,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
O95989,NUDT3_HUMAN,nan,HUMAN,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
F6W8P7,F6W8P7_ORNAN,ENSOANP00000000247,ORNAN,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
F7CRJ0,F7CRJ0_MACMU,ENSMMUP00000025661,MACMU,12.0,1,1,1,1,1,1,1,1,1,,1,1,1,
A7S5S1,A7S5S1_NEMVE,nan,NEMVE,10.0,,1,1,,,1,1,1,1,1,1,1,1,
Q5XJC2,Q5XJC2_DANRE,nan,DANRE,10.0,,1,1,,1,1,1,1,1,,1,1,1,
Q95XC4,Q95XC4_CAEEL,nan,CAEEL,9.0,,,1,,,1,1,1,1,1,1,1,1,
Q7Q196,Q7Q196_ANOGA,nan,ANOGA,8.0,,,,,,1,1,1,1,1,1,1,1,
F6YX22,F6YX22_CIOIN,ENSCINP00000024551,CIOIN,7.0,,,,,,1,,1,1,1,1,1,1,
Q7JVG2,Q7JVG2_DROME,nan,DROME,6.0,,,,,,,,1,1,1,1,1,1,
Q6CHV1,Q6CHV1_YARLI,nan,YARLI,6.0,,,1,,,,,1,1,,1,1,1,
A2VE79,NUDT3_BOVIN,ENSBTAP00000026239,BOVIN,6.0,,,,1,1,,1,,,,1,1,1,
B7Q2D8,B7Q2D8_IXOSC,nan,IXOSC,6.0,,,,,,,,1,1,1,1,1,1,
A9UY32,A9UY32_MONBE,nan,MONBE,5.0,,,,,,,,1,1,,1,1,1,
Q93ZY7,NUD12_ARATH,nan,ARATH,5.0,,,,,,,1,,1,,1,1,1,
Q7ZUM4,Q7ZUM4_DANRE,nan,DANRE,5.0,,,,,,,,1,1,,1,1,1,
Q8VY81,NUD21_ARATH,nan,ARATH,4.0,,,,,,,,1,1,,1,1,,
Q9LQU5,NUD18_ARATH,nan,ARATH,4.0,,,,,,,,,1,1,1,1,,
Q5AGF0,Q5AGF0_CANAL,nan,CANAL,4.0,,,,,,1,,,1,,1,1,,
Q9ZU95,NUD17_ARATH,nan,ARATH,4.0,,,,,,,,,1,1,1,1,,
Q52K88,NUD13_ARATH,nan,ARATH,3.0,,,,,,,,,1,,1,1,,
B0XTA2,B0XTA2_ASPFC,nan,ASPFC,3.0,,,,,,,,,1,1,1,,,
C3Y1F5,C3Y1F5_BRAFL,nan,BRAFL,3.0,,,,,,1,,1,,,1,,,
A7EYT2,A7EYT2_SCLS1,nan,SCLS1,3.0,,,,,,,,,1,1,1,,,
Q0ULH4,Q0ULH4_PHANO,nan,PHANO,3.0,,,,,,,,,1,1,1,,,
Q8X052,Q8X052_NEUCS,nan,NEUCR,3.0,,,,,,,,,1,1,1,,,
Q09790,APS1_SCHPO,nan,SCHPO,3.0,,,,,,,,,1,,1,1,,
A9SKD7,A9SKD7_PHYPA,nan,PHYPA,3.0,,,,,,,,,1,,1,,1,
Q99321,DDP1_YEAST,nan,YEAST,3.0,,,,,,,,,1,,1,1,,
A9SHX4,A9SHX4_PHYPA,nan,PHYPA,3.0,,,,,,,,,1,,1,,1,
Q9LE73,NUDT4_ARATH,nan,ARATH,3.0,,,,,,,,,1,,1,1,,
Q9LHK1,NUD16_ARATH,nan,ARATH,3.0,,,,,,,,,1,,1,1,,
B5YNM3,B5YNM3_THAPS,nan,THAPS,2.0,,,,,,,,,,1,1,,,
Q4PF28,Q4PF28_USTMA,nan,USTMA,2.0,,,,,,,,,1,,1,,,
O06972,YVCI_BACSU,nan,BACSU,1.0,,,,,,,,,,,,1,,
B0R3G2,B0R3G2_HALS3,nan,HALS3,1.0,,,,,,,1,,,,,,,
Q1L8L1,Q1L8L1_DANRE,nan,DANRE,1.0,,,,,,,,,,1,,,,
