ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6TIL2,F6TIL2_MONDO,ENSMODP00000014596,MONDO,7.0,,,1,,,,,1,1,1,1,1,1,
F6Y5N2,F6Y5N2_XENTR,ENSXETP00000043364,XENTR,3.0,,,,,,,,,,,1,1,1,
Q2PRG1,Q2PRG1_DANRE,nan,DANRE,3.0,,,,,,,,,,,1,1,1,
Q2PRG4,Q2PRG4_DANRE,nan,DANRE,3.0,,,,,,,,,,,1,1,1,
Q6UV19,Q6UV19_DANRE,nan,DANRE,3.0,,,,,,,,,1,,,1,1,
Q7TRP2,Q7TRP2_MOUSE,nan,MOUSE,3.0,,,1,,,,,,1,,1,,,
H2R5L5,H2R5L5_PANTR,ENSPTRP00000048275,PANTR,3.0,,,1,,,,,,1,,1,,,
Q96RD3,O52E6_HUMAN,nan,HUMAN,3.0,,,1,,,,,,1,,1,,,
Q9I8Y8,Q9I8Y8_DANRE,nan,DANRE,3.0,,,,,,,,,,,1,1,1,
Q2PRA8,Q2PRA8_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
Q2PRC8,Q2PRC8_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
Q2PRD2,Q2PRD2_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
Q2PRD7,Q2PRD7_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
Q2PRD9,Q2PRD9_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
Q2PRE8,Q2PRE8_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
Q2PRE1,Q2PRE1_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
Q2PRA9,Q2PRA9_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
Q2PRE9,Q2PRE9_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
Q2PRF3,Q2PRF3_DANRE,nan,DANRE,2.0,,,,,,,,,,,,1,1,
