ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6TYV3,F6TYV3_MONDO,ENSMODP00000003921,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1B8B1,E1B8B1_BOVIN,ENSBTAP00000040289,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q96CN5,LRC45_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8CIM1,LRC45_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q5ZI11,LRC45_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QE40,H2QE40_PANTR,ENSPTRP00000016653,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7FSL4,F7FSL4_MACMU,ENSMMUP00000014293,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6USL9,F6USL9_CIOIN,ENSCINP00000009219,CIOIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E2QY97,E2QY97_CANFA,ENSCAFP00000008866,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSDARP00000076733,CRYNJ,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
B1WBY9,B1WBY9_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6TQY0,F6TQY0_ORNAN,ENSOANP00000015341,ORNAN,11.0,1,1,,1,,1,1,1,1,1,,1,1,1
F7EJX6,F7EJX6_XENTR,ENSXETP00000006549,XENTR,6.0,,,,,,1,1,1,,1,,1,,1
A9U0H2,A9U0H2_PHYPA,nan,PHYPA,5.0,1,,,,,1,1,,1,,,,,1
F7FDU3,F7FDU3_ORNAN,ENSOANP00000028014,ORNAN,2.0,,,,,1,,,,,,1,,,
Q7SD99,Q7SD99_NEUCR,nan,NEUCR,2.0,,,,,1,,,,,,1,,,
Q4QJI8,Q4QJI8_LEIMA,nan,LEIMA,2.0,,,,,,,,,,1,,,1,
Q7UG24,Q7UG24_RHOBA,nan,RHOBA,1.0,,,,,,,,,,,,,1,
Q84VY2,NET4B_ARATH,nan,ARATH,1.0,,,,1,,,,,,,,,,
H2UVM6,H2UVM6_TAKRU,ENSTRUP00000041004,TAKRU,1.0,,,,,,,,,,,,,1,
A2FL80,A2FL80_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
Q7RXI9,Q7RXI9_NEUCR,nan,NEUCR,1.0,,,,,,,,,,,1,,,
A6V139,A6V139_PSEA7,nan,PSEA7,1.0,,,,,,,,,,,,,1,
Q58718,RAD50_METJA,nan,METJA,1.0,,,,,,,,,,,,,1,
A2FCS7,A2FCS7_TRIVA,nan,TRIVA,1.0,,,,,,,,,,1,,,,
Q9X0R4,Q9X0R4_THEMA,nan,THEMA,1.0,,,,,,,,,,,,,1,
Q4V7B0,CI117_RAT,nan,RAT,1.0,,,,,,,,,,,,,1,
B5YN46,B5YN46_THAPS,nan,THAPS,1.0,1,,,,,,,,,,,,,
A8B544,A8B544_GIAIC,nan,GIAIC,1.0,,,,1,,,,,,,,,,
B7Q432,B7Q432_IXOSC,nan,IXOSC,1.0,1,,,,,,,,,,,,,
A9UUU0,A9UUU0_MONBE,nan,MONBE,1.0,,,,1,,,,,,,,,,
F6UJC0,F6UJC0_XENTR,ENSXETP00000053285,XENTR,1.0,,,,,,,,,,,,,1,
A2F5V2,A2F5V2_TRIVA,nan,TRIVA,1.0,,,,1,,,,,,,,,,
A9V2S3,A9V2S3_MONBE,nan,MONBE,1.0,,,,,,,,,,1,,,,
D3KH83,D3KH83_GIAIC,nan,GIAIC,1.0,,,,,,,,,,1,,,,
C7FZZ3,C7FZZ3_DICDI,nan,DICDI,1.0,,,,,,,,,,,,1,,
C3ZAE5,C3ZAE5_BRAFL,nan,BRAFL,1.0,,,,,,,,,,1,,,,
B8C8U4,B8C8U4_THAPS,nan,THAPS,1.0,,,,,,,,,,1,,,,
B8BS92,B8BS92_THAPS,nan,THAPS,1.0,,,,,,,1,,,,,,,
A2E268,A2E268_TRIVA,nan,TRIVA,1.0,,,,,,,,,,,,1,,
