ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F6XJZ1,F6XJZ1_MONDO,ENSMODP00000017688,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9UER7,DAXX_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1MGU0,F1MGU0_BOVIN,ENSBTAP00000022388,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1PRZ2,F1PRZ2_CANFA,ENSCAFP00000001395,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6ZLZ0,F6ZLZ0_MACMU,ENSMMUP00000005735,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2QST5,H2QST5_PANTR,ENSPTRP00000030818,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O35613,DAXX_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q8VIB2,DAXX_RAT,nan,RAT,13.0,1,1,1,1,1,1,1,1,1,1,1,,1,1
Q1LUU4,Q1LUU4_DANRE,nan,DANRE,12.0,1,1,,1,1,1,1,1,1,1,1,1,,1
F6RSW6,F6RSW6_CIOIN,ENSCINP00000011909,CIOIN,11.0,1,1,,,1,1,1,1,1,1,1,1,,1
F6RWB7,F6RWB7_XENTR,ENSXETP00000043970,XENTR,11.0,1,1,,,1,1,1,1,1,1,1,1,,1
A7UR23,A7UR23_ANOGA,nan,ANOGA,11.0,1,1,,,1,1,1,1,1,1,1,1,,1
H2S991,H2S991_TAKRU,ENSTRUP00000008967,TAKRU,11.0,1,1,,,1,1,1,1,1,1,1,1,,1
C3ZPA3,C3ZPA3_BRAFL,nan,BRAFL,9.0,,,,,1,1,1,1,1,1,1,1,,1
Q9VMD0,Q9VMD0_DROME,nan,DROME,8.0,,,,,1,1,1,1,,1,1,1,,1
C4QH52,nan,nan,nan,8.0,,,,,1,1,1,1,,1,1,1,,1
B7QEI0,B7QEI0_IXOSC,nan,IXOSC,7.0,,,,,,1,1,1,1,1,,1,,1
A7RYU1,A7RYU1_NEMVE,nan,NEMVE,6.0,,,,,,1,1,1,,1,,1,,1
