ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
F7DZC7,F7DZC7_ORNAN,ENSOANP00000000597,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F1Q438,F1Q438_CANFA,ENSCAFP00000028998,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q7TSS3,Q7TSS3_MOUSE,nan,MOUSE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q95KU9,NEMO_BOVIN,ENSBTAP00000008224,BOVIN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7GMH1,F7GMH1_MACMU,ENSMMUP00000040743,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7ADE2,F7ADE2_MONDO,ENSMODP00000011449,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q6TMG5,NEMO_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q9Y6K9,NEMO_HUMAN,nan,HUMAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
H2RZL1,H2RZL1_TAKRU,ENSTRUP00000005582,TAKRU,13.0,1,1,,1,1,1,1,1,1,1,1,1,1,1
Q4G3H3,Q4G3H3_DANRE,nan,DANRE,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
C3YPU4,C3YPU4_BRAFL,nan,BRAFL,8.0,1,,,,,1,1,1,1,1,1,1,,
Q7Q6B7,Q7Q6B7_ANOGA,nan,ANOGA,6.0,,,1,1,,1,,,,1,1,1,,
Q9GYV5,NEMO_DROME,nan,DROME,2.0,,,,,,,,,,1,,1,,
F7BJ31,F7BJ31_CIOIN,ENSCINP00000017954,CIOIN,2.0,,,,,,,,,,,,1,1,
Q9GRZ9,Q9GRZ9_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
Q5TRB5,Q5TRB5_ANOGA,nan,ANOGA,1.0,,,,,,,,,,,,1,,
Q9X0R4,Q9X0R4_THEMA,nan,THEMA,1.0,,,,,,,,,,,,,1,
Q90631,KTN1_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,1,
Q8I0Z1,Q8I0Z1_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,,1,
A0JMK8,BICR2_DANRE,nan,DANRE,1.0,,,,,,,,,,,,,1,
O17117,O17117_CAEEL,nan,CAEEL,1.0,,,,,,,,,,,,1,,
Q58718,RAD50_METJA,nan,METJA,1.0,,,,,,,,,,,,,1,
Q55GG3,Q55GG3_DICDI,nan,DICDI,1.0,,,,,,,,,,,,,1,
Q12234,RUD3_YEAST,nan,YEAST,1.0,,,,1,,,,,,,,,,
B2GUP4,B2GUP4_XENTR,ENSXETP00000004450,XENTR,1.0,,,,,,,,,,,,,1,
O16626,O16626_CAEEL,nan,CAEEL,1.0,,,,1,,,,,,,,,,
H2V3Y0,H2V3Y0_TAKRU,ENSTRUP00000043914,TAKRU,1.0,,,,,,,,,,,,,1,
F7HJZ8,F7HJZ8_MACMU,ENSMMUP00000012067,MACMU,1.0,,,,,,,,,,,,1,,
F6ZR29,F6ZR29_CIOIN,ENSCINP00000023664,CIOIN,1.0,,,,1,,,,,,,,,,
E1C2P9,E1C2P9_CHICK,nan,CHICK,1.0,,,,,,,,,,,,,1,
B7Q619,B7Q619_IXOSC,nan,IXOSC,1.0,,,,,,,,,1,,,,,
B7P2K8,B7P2K8_IXOSC,nan,IXOSC,1.0,,,,,,,,,,,,,1,
nan,nan,ENSXETP00000056579,XENTR,1.0,,,,,,,,,,,,,1,
