ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
D3ZPT1,D3ZPT1_RAT,nan,RAT,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
E1BYP9,E1BYP9_CHICK,nan,CHICK,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6YFM3,F6YFM3_ORNAN,ENSOANP00000001732,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7AJR7,F7AJR7_XENTR,ENSXETP00000014692,XENTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7CZ69,F7CZ69_MONDO,ENSMODP00000006957,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7H1B2,F7H1B2_MACMU,ENSMMUP00000008937,MACMU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q568L7,Q568L7_DANRE,nan,DANRE,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSCAFP00000028205,CANFA,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSPTRP00000055802,PANTR,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nan,nan,ENSBTAP00000049577,BOVIN,13.0,1,1,1,1,1,1,1,1,1,,1,1,1,1
Q9D1F3,CX040_MOUSE,nan,MOUSE,12.0,1,1,1,1,1,1,1,1,1,1,1,,,1
Q8TE69,CX04A_HUMAN,nan,HUMAN,10.0,,,1,,1,1,1,1,1,,1,1,1,1
G3X6F4,G3X6F4_BOVIN,ENSBTAP00000005676,BOVIN,5.0,,,,,,,,,,1,1,1,1,1
G5E5J7,G5E5J7_BOVIN,ENSBTAP00000022149,BOVIN,5.0,,,,,,,,,,1,1,1,1,1
D6RA72,nan,nan,nan,4.0,,,,,,,,1,1,,,,1,1
Q9D1F3,CX040_MOUSE,ENSMUSP00000052765,MOUSE,2.0,,,,,,,,,,,,1,1,
