ACC,ENTRY,ENS,SPEC,COUNT,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RBH,RSD,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,EggNOG
H2SQT3,H2SQT3_TAKRU,ENSTRUP00000014770,TAKRU,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F6UQ34,F6UQ34_ORNAN,ENSOANP00000003108,ORNAN,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C3XR20,C3XR20_BRAFL,nan,BRAFL,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
F7G0F1,F7G0F1_MONDO,ENSMODP00000023653,MONDO,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A7RJ75,A7RJ75_NEMVE,nan,NEMVE,13.0,1,1,1,1,1,1,1,1,1,1,1,,1,1
F1PC06,F1PC06_CANFA,ENSCAFP00000002825,CANFA,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
E7F9G1,E7F9G1_DANRE,ENSDARP00000007089,DANRE,12.0,1,1,,,1,1,1,1,1,1,1,1,1,1
F7GBN0,F7GBN0_MACMU,ENSMMUP00000033603,MACMU,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
H2R790,H2R790_PANTR,ENSPTRP00000050069,PANTR,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q148D4,Q148D4_BOVIN,ENSBTAP00000012561,BOVIN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q15013,MD2BP_HUMAN,nan,HUMAN,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q5I0J2,Q5I0J2_RAT,nan,RAT,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q9DCX1,MD2BP_MOUSE,nan,MOUSE,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
nan,nan,ENSGALP00000016747,CHICK,12.0,1,1,1,1,,1,1,1,1,1,,1,1,1
Q5Q0J3,Q5Q0J3_ARATH,nan,ARATH,2.0,,,,,,1,,,1,,,,,
Q9VCG0,Q9VCG0_DROME,nan,DROME,2.0,,,,,1,,,,,,1,,,
F7B4R2,F7B4R2_CIOIN,ENSCINP00000005004,CIOIN,1.0,,,,,,,,,,,,1,,
C4QLC2,nan,nan,nan,1.0,,,,,,,,,,,,1,,
Q5Q0J2,Q5Q0J2_ARATH,nan,ARATH,1.0,,,,,,,,,1,,,,,
Q7PZF1,Q7PZF1_ANOGA,nan,ANOGA,1.0,,,,,,1,,,,,,,,
